Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
matchup__seed_diff,matchup_context,0.0,646,28,-0.5164360146516042,0.5266784903098876,1.0,1.0,0.09595238469145001,0.6225835031844409,True,True,True,1.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__massey__strength_mean,massey_consensus,0.0,646,646,0.48494438583769406,0.4893089748190699,1.0,1.0,0.05051774948968357,0.5995353628178588,True,True,True,6.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,646,487,0.4722601123955591,0.4865769631486512,1.0,1.0,0.04372790803031168,0.5957050507171631,True,True,True,2.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,646,646,0.4684013752717109,0.4592777266932906,1.0,1.0,0.15685207225520026,0.5772275284823478,True,True,True,5.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,646,640,0.4507677924234663,0.4416013261328693,1.0,1.0,0.1413274379644961,0.56548445335836,True,True,True,3.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,646,571,0.42038896830696904,0.41064555953050297,1.0,1.0,0.12194989900804071,0.5447174456418529,True,True,True,4.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,646,377,0.5179753011034124,0.5354855806292005,1.0,1.0,0.11314886648445893,0.6264616902853887,False,True,True,67.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,646,646,0.5136286525053038,0.5114682458954386,1.0,1.0,0.08476671741617342,0.6151123928843304,False,True,True,78.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,646,646,0.5083025842713148,0.5066500158402234,1.0,1.0,0.09944380093925942,0.6110408241054262,False,True,True,25.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,646,646,0.5065947176897941,0.507302235035888,1.0,1.0,0.09890255190564046,0.6109998086327553,False,True,True,26.0,selected,rich_M_2016,rich_M_2016_inner_2013,hist_classifier,Team1Win,True
