Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__massey__strength_mean,massey_consensus,0.0,646,646,0.6500375411659403,0.6343651023982643,1.0,1.0,0.08354095882251467,0.7041618698547731,True,True,True,6.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,646,487,0.6364298027169235,0.6251970262541322,1.0,1.0,0.08786937072574252,0.6965943543706768,True,True,True,2.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
matchup__seed_diff,matchup_context,0.0,646,28,-0.6251023760830843,0.6100806194550488,1.0,1.0,0.08283146113232787,0.6870479616314088,True,True,True,1.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,646,646,0.5801684650953886,0.5790295822980465,1.0,1.0,0.09068867675947434,0.6619437147536689,True,True,True,5.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__compact__margin_trim02,compact_performance,0.0,646,640,0.558191845599901,0.557419156551896,1.0,1.0,0.09613282677697277,0.6465180881058094,True,True,True,3.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,646,571,0.5487656167688093,0.5577206713649986,1.0,1.0,0.1026998076295828,0.644326365639154,True,True,True,4.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,646,646,0.6486631123135103,0.655256385777789,1.0,1.0,0.10083884353995509,0.7131953961407128,False,True,True,19.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,646,646,0.6399073882801901,0.6508697916796646,1.0,1.0,0.10662646422029587,0.708932066859069,False,True,True,20.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__rating__colley__z,within_season_normalization,0.0,646,646,0.6433244040176147,0.6456897446944081,1.0,1.0,0.09523967148768986,0.7076528594776835,False,True,True,21.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,646,646,0.6362869309623117,0.6371012386000355,1.0,1.0,0.07138017042457989,0.7029365125227425,False,True,True,22.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__massey__system_mor,massey_consensus,0.0,646,523,0.6360317692059921,0.6318621725158629,1.0,1.0,0.09524794572529893,0.6994109142039204,False,True,True,7.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,646,646,0.6272888182035632,0.6383286245204796,1.0,1.0,0.12644253355143542,0.6993435784325567,False,True,True,23.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,646,646,0.6196080499912829,0.6322160734848765,1.0,1.0,0.0935221815329852,0.6960365990095037,False,True,True,24.0,selected,rich_M_2016,rich_M_2016_inner_2013,xgb_margin,Team1Margin,True
