Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
matchup__seed_diff,matchup_context,0.0,713,28,-0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,True,True,True,1.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__strength_mean,massey_consensus,0.0,713,713,0.4780887496785066,0.48615524491051415,1.0,1.0,0.07016717841517944,0.5957273553497111,True,True,True,6.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,713,518,0.4598292319200555,0.4857013913007062,1.0,1.0,0.05386465385985645,0.5921445126923569,True,True,True,2.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,713,713,0.4621205466905165,0.4573843717200805,1.0,1.0,0.13769615169524863,0.5757031726297422,True,True,True,5.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,713,706,0.44488974443461643,0.4262834304115841,1.0,1.0,0.12687621489673018,0.5574167417773068,True,True,True,3.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,713,617,0.4164664845868271,0.38981119005740517,1.0,1.0,0.10783336415764483,0.5344186632703506,True,True,True,4.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__rating__colley__z,within_season_normalization,0.0,713,713,0.4951795290498393,0.5015468022338618,1.0,1.0,0.0757351317515289,0.6066525561931572,False,True,True,25.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,713,713,0.4971504153175024,0.4993604492529357,1.0,1.0,0.10143230146463766,0.6050088149526741,False,True,True,26.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,713,713,0.49527860066921103,0.4940372623483211,1.0,1.0,0.06718072530732733,0.6034119490621274,False,True,True,27.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,713,713,0.48160187267820276,0.49149593362771976,1.0,1.0,0.10068424469268789,0.5978430903428025,False,True,True,28.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,713,713,0.4962960632367125,0.48141483251571476,1.0,1.0,0.09922908195848945,0.5962950902412801,False,True,True,29.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__system_pom,massey_consensus,0.0,713,564,0.4641098377840237,0.48851665929054255,1.0,1.0,0.07860641629764475,0.5934479041200399,False,True,True,13.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__ordinal_max,massey_consensus,0.0,713,298,-0.4725360958584502,0.48733355305229464,1.0,1.0,0.11258887063762313,0.5933744917284556,False,True,True,14.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__system_mor,massey_consensus,0.0,713,557,0.4649957840348485,0.4792158946890733,1.0,1.0,0.09225592726757514,0.5886324648477188,False,True,True,15.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__system_wol,massey_consensus,0.0,713,522,0.4658950943588329,0.477164359686241,1.0,1.0,0.07646412734915409,0.5884772483143728,False,True,True,16.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,713,713,0.4857395585717575,0.46972539357822896,1.0,1.0,0.10934465854120856,0.5879571054616882,False,True,True,30.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__massey__system_rpi,massey_consensus,0.0,713,558,0.46586365772129273,0.4731489774434806,1.0,1.0,0.06095729953828716,0.5871632218900236,False,True,True,17.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,713,519,0.45849219234025873,0.47158503610289393,1.0,1.0,0.06802150177838134,0.5845082395731107,False,True,True,31.0,selected,rich_M_2017,rich_M_2017_inner_2014,torch_mlp,Team1Win,True
