OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,matchup__seed_diff,matchup_context,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__compact__margin_trim02,compact_performance,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.4331505000591278
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__strength_mean,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,matchup__team1_seed,matchup_context,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,matchup__team1_is_seed_favorite,matchup_context,-0.02750789187848568
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,matchup__team2_seed,matchup_context,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,matchup__seed_gap_abs,matchup_context,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,matchup__equal_seed,matchup_context,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,context__season_centered_2000,matchup_context,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_pom,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__ordinal_max,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_mor,massey_consensus,0.15846839547157288
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__ordinal_std,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_cng,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_wol,massey_consensus,0.06466782093048096
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_rpi,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__strength_iqr,massey_consensus,-0.018566763028502464
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_sel,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__system_bih,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__strength_max,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__massey__rank_improvement_std,massey_consensus,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__colley__z,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.04619181901216507
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.46935197710990906
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__schedule__rpi__z,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__schedule__rpi__pct,within_season_normalization,0.12591403722763062
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,-0.0671151801943779
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__compact__half_marginmean_first,compact_performance,0.058163877576589584
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__compact__pythag_exp11p5,compact_performance,0.0
rich_M_2021,2021,M,separate_gender,rich,elastic_logistic,diff__compact__upside_tail_mean,compact_performance,0.0
