OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,matchup__seed_diff,matchup_context,-1.360700011253357
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,matchup__seed_gap_abs,matchup_context,0.016766885295510292
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,matchup__team1_is_seed_favorite,matchup_context,-0.12639540433883667
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,seedprior__effective_games_pc8p0,prequential_seed_priors,0.019041869789361954
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,seedprior__favorite_prob_pc8p0,prequential_seed_priors,-0.002271852921694517
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,seedprior__team1_prob_pc8p0,prequential_seed_priors,-0.00020778228645212948
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__norm__rating__elo_mov_538__pct,within_season_normalization,-0.0018903842428699136
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__norm__rating__elo_mov_538__z,within_season_normalization,-0.001114407554268837
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_538,dynamic_ratings,-0.0012495443224906921
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_538_delta,dynamic_ratings,-0.00047686940524727106
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_538_percentile,dynamic_ratings,-0.0018903842428699136
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_538_preseason,dynamic_ratings,0.0013967626728117466
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_538_z,dynamic_ratings,-0.001114407554268837
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_log,dynamic_ratings,-0.0015900632133707404
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_log_delta,dynamic_ratings,-0.0004474214802030474
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_log_percentile,dynamic_ratings,-0.0020665607880800962
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_log_preseason,dynamic_ratings,0.001359332469291985
rich_M_2021,2021,M,separate_gender,rich,elo_seed_logistic,absdiff__rating__elo_mov_log_z,dynamic_ratings,-0.0014632157981395721
