Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
matchup__seed_diff,matchup_context,0.0,914,29,-0.49316466936090414,0.48866559097884016,1.0,1.0,0.11266738106399632,0.5985490156866823,True,True,True,1.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__strength_mean,massey_consensus,0.0,914,914,0.4717947605391017,0.47683329275628694,1.0,1.0,0.05781183517601296,0.5903623544345795,True,True,True,6.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,914,631,0.45653888254362357,0.4591025061604823,1.0,1.0,0.05451319664270471,0.5786272292509205,True,True,True,2.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,914,914,0.45562607537245864,0.4476471956621365,1.0,1.0,0.08716605271826983,0.5716217483910355,True,True,True,5.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,914,903,0.43653420179408864,0.4233170073860592,1.0,1.0,0.11556483316220273,0.5546070946135199,True,True,True,3.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,914,769,0.41308638933699077,0.3943199579425236,1.0,1.0,0.09152737763621599,0.5364914903611007,True,True,True,4.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,914,914,0.5045984316446844,0.5061535542869825,1.0,1.0,0.08625514188824623,0.6105151553440523,False,True,True,68.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,914,914,0.4964485321957573,0.4916150245195436,1.0,1.0,0.07658668082597048,0.6021304216194087,False,True,True,25.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,914,914,0.48754865424424976,0.49029835430652835,1.0,1.0,0.07284232964844461,0.5996902208149307,False,True,True,26.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,914,530,0.4953461999863544,0.48988457097584254,1.0,1.0,0.11886832990933777,0.5993660248690288,False,True,True,89.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,914,914,0.4927117740244062,0.48635014145656186,1.0,1.0,0.08683311019843276,0.5983713337765817,False,True,True,27.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__rating__colley__z,within_season_normalization,0.0,914,914,0.4865808359068854,0.4839476404487706,1.0,1.0,0.06239146524250694,0.5968469927052243,False,True,True,28.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,914,914,0.47661081624698765,0.48181133473761883,1.0,1.0,0.08491914274879636,0.5927270545384424,False,True,True,29.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__ordinal_max,massey_consensus,0.0,914,333,-0.46838017086602224,0.4810943228359495,1.0,1.0,0.08183517335532259,0.5906955056175678,False,True,True,13.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_pom,massey_consensus,0.0,914,681,0.46333424259177836,0.4764644559842114,1.0,1.0,0.050607345465175535,0.5886121784240057,False,True,True,14.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_mor,massey_consensus,0.0,914,678,0.4669259971346978,0.4745724224471496,1.0,1.0,0.0683316069995753,0.5877852178642823,False,True,True,15.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,914,914,0.47578227934794937,0.46899033036317206,1.0,1.0,0.10178431044499525,0.5857160876130717,False,True,True,30.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__elo_standard_z,dynamic_ratings,0.0,914,914,0.46761229912758145,0.4709344699986029,1.0,1.0,0.11480563282947787,0.5843310260942182,False,True,True,96.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__ordinal_std,massey_consensus,0.0,914,914,-0.46823805631453547,0.4682793594596122,1.0,1.0,0.09450304209328902,0.5840063432460801,False,True,True,16.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_rpi,massey_consensus,0.0,914,703,0.4532583990938564,0.46978794986193495,1.0,1.0,0.07118840281008981,0.5823675276219735,False,True,True,17.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,914,634,0.4524663199281672,0.4665817119095633,1.0,1.0,0.07567173781969244,0.5804749425879994,False,True,True,31.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,914,36,0.464631120507012,0.46016781150566277,1.0,1.0,0.10594363744976032,0.5788616505362704,False,True,True,72.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__compact__half_marginmean_first,compact_performance,0.0,914,839,0.45848336086358155,0.45437273137566137,1.0,1.0,0.09409634026676561,0.5752013968396347,False,True,True,45.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,914,636,0.4530330702198929,0.4551934188301579,1.0,1.0,0.07691749114843682,0.5750834168409148,False,True,True,32.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,914,699,0.4496172323469432,0.451842750774596,1.0,1.0,0.0785618849590829,0.5726578360897703,False,True,True,33.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,914,914,0.44606907491738457,0.45464689270084147,1.0,1.0,0.09736310833076034,0.572471180644998,False,True,True,69.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_wol,massey_consensus,0.0,914,639,0.453200662225988,0.4494671720197376,1.0,1.0,0.08529606341702284,0.5720365457225105,False,True,True,18.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__seed__top4,selection_committee_prior,0.0,914,3,0.4412679309990714,0.45327114188917306,1.0,1.0,0.0768061054023284,0.5715768487105056,False,True,True,107.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,914,913,-0.4299373004658331,0.4608753965036083,1.0,1.0,0.12481125291060419,0.5708139463077911,False,True,True,73.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_cng,massey_consensus,0.0700218818380744,850,661,0.4444476022419587,0.4600218698847963,1.0,1.0,0.07352845819605491,0.570046081163045,False,True,True,19.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__strength_iqr,massey_consensus,0.0,914,762,-0.4452144516515658,0.4458892452509242,1.0,1.0,0.06499890763979516,0.5693740607781962,False,True,True,20.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__massey__system_sel,massey_consensus,0.0700218818380744,850,610,0.4419413884209583,0.4584507864189812,1.0,1.0,0.07828412629844683,0.568550367334738,False,True,True,21.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,914,914,0.4483316848218553,0.44503190054684083,1.0,1.0,0.09586359464580751,0.5684137391374595,False,True,True,70.0,selected,rich_M_2021,rich_M_2021_inner_2017,lgb_classifier,Team1Win,True
