OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,matchup__seed_diff,matchup_context,-0.02856372855603695
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.03719253093004227
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__compact__margin_trim02,compact_performance,0.05572078749537468
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,-0.13642603158950806
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.04236815869808197
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__strength_mean,massey_consensus,0.8678138256072998
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_mor,massey_consensus,1.4735640287399292
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__ordinal_max,massey_consensus,-0.38970446586608887
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_pom,massey_consensus,0.7271038293838501
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_cng,massey_consensus,-0.4223994016647339
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_wol,massey_consensus,0.6791496872901917
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__ordinal_std,massey_consensus,-0.4882802665233612
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_sel,massey_consensus,-0.273355633020401
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__strength_max,massey_consensus,0.03154119849205017
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_bih,massey_consensus,-1.557214617729187
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_rpi,massey_consensus,0.3283846378326416
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_dok,massey_consensus,1.292181134223938
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__massey__system_dun,massey_consensus,-0.3818328082561493
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.7727830410003662
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.41193950176239014
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__rating__colley__z,within_season_normalization,0.3385210931301117
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,1.3291945457458496
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.527697741985321
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__rating__bt_c1p0__z,within_season_normalization,0.15205281972885132
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__schedule__rpi__pct,within_season_normalization,-0.3847903311252594
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,1.154598593711853
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__rating__pagerank_margin__pct,within_season_normalization,-0.7103964686393738
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,diff__norm__schedule__rpi__z,within_season_normalization,0.029298027977347374
rich_M_2021,2021,M,separate_gender,rich,ridge_margin,matchup__team1_seed,matchup_context,-0.02415480650961399
