OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,matchup__seed_diff,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_trim02,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.20069777965545654
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,context__women,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,matchup__team1_seed,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,matchup__team1_is_seed_favorite,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,matchup__team2_seed,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,matchup__seed_gap_abs,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,matchup__equal_seed,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,context__season_centered_2000,matchup_context,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.6419849991798401
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,-0.5808167457580566
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.014510211534798145
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.4773075580596924
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__colley__z,within_season_normalization,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__schedule__rpi__z,within_season_normalization,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__bt_c1p0__z,within_season_normalization,0.11032065004110336
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__colley__pct,within_season_normalization,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__schedule__rpi__pct,within_season_normalization,0.31389474868774414
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.14195702970027924
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__half_marginmean_first,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__home_margin_mean,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_q90,compact_performance,0.09468583017587662
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_q75,compact_performance,0.1857355684041977
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__pythag_exp8p0,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__blowout_win20_rate,compact_performance,0.085521399974823
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__half_winpct_first,compact_performance,-0.33460450172424316
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__pythag_exp13p91,compact_performance,-0.22556933760643005
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__wins,compact_performance,0.10411570221185684
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_median,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__blowout_win10_rate,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__ewm_h20_margin,compact_performance,-0.007160346023738384
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__ewm_h10_margin,compact_performance,-0.23635047674179077
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_q25,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__win_pct,compact_performance,-0.056194402277469635
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__half_pointsformean_first,compact_performance,0.0016190388705581427
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_q10,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__margin_slope,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__downside_tail_mean,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__away_margin_mean,compact_performance,0.04577786847949028
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__half_delta_marginmean,compact_performance,-0.3120686113834381
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__ewm_h20_win,compact_performance,0.0
rich_Pooled_2018,2018,Pooled,pooled_common,rich,elastic_logistic,diff__compact__away_games,compact_performance,0.007119211833924055
