OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,matchup__seed_diff,matchup_context,0.017156260088086128
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.2956576943397522
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__margin_trim02,compact_performance,0.8294938802719116
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,-0.751678466796875
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,1.0558580160140991
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,context__women,matchup_context,0.0004341785970609635
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.5360242128372192
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,-0.4222411811351776
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.6009423136711121
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__bt_c1p0__z,within_season_normalization,0.56972336769104
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__colley__z,within_season_normalization,0.4689501225948334
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__schedule__rpi__z,within_season_normalization,-0.6312762498855591
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.8085560202598572
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__schedule__rpi__pct,within_season_normalization,0.26211440563201904
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__colley__pct,within_season_normalization,-0.07042312622070312
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.8267384767532349
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__norm__rating__pagerank_margin__pct,within_season_normalization,-0.8245097398757935
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,matchup__team1_seed,matchup_context,0.013805598020553589
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,matchup__team1_is_seed_favorite,matchup_context,-0.050978466868400574
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,matchup__team2_seed,matchup_context,-0.013816164806485176
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,matchup__seed_gap_abs,matchup_context,0.0003232523740734905
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,matchup__equal_seed,matchup_context,-0.00902037974447012
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,context__season_centered_2000,matchup_context,-0.00034238220541737974
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,1.2679470777511597
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.09010036289691925
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,1.0215998888015747
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,-1.5346598625183105
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,-0.6529011130332947
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,2.9984583306941204e-05
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,-2.4741998458921444e-06
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,-1.884504126792308e-05
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,3.2834705052664503e-05
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,3.859073785861256e-06
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,-5.430478631751612e-05
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,-6.874501559650525e-05
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,-4.109130713914055e-06
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__half_marginmean_first,compact_performance,1.6189826726913452
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__pythag_exp8p0,compact_performance,-1.3720026016235352
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__home_margin_mean,compact_performance,0.29427528381347656
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__half_winpct_first,compact_performance,-1.0976258516311646
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__pythag_exp13p91,compact_performance,-1.080915093421936
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__margin_q75,compact_performance,-0.0668637603521347
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__margin_median,compact_performance,0.2740465998649597
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__wins,compact_performance,0.8756327629089355
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__margin_q90,compact_performance,0.12736088037490845
rich_Pooled_2018,2018,Pooled,pooled_common,rich,ridge_margin,diff__compact__blowout_win20_rate,compact_performance,-0.1580531746149063
