Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
matchup__seed_diff,matchup_context,0.0,1095,29,-0.5319346584134701,0.5406706386972927,1.0,1.0,0.1650674377755627,0.6299448339146414,True,True,True,1.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1095,773,0.47988854967207806,0.48745253499659613,1.0,1.0,0.07647541274783787,0.5964936812163099,True,True,True,2.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1095,1095,0.4736112259928559,0.4611710816665007,1.0,1.0,0.1483051220885696,0.5796243840348059,True,True,True,5.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,1095,1078,0.44962299396558514,0.45691922185415446,1.0,1.0,0.13983282487053578,0.5726449721676014,True,True,True,3.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1095,947,0.4496892921233443,0.445314005170475,1.0,1.0,0.13692652260459842,0.5672053058447797,True,True,True,4.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
context__women,matchup_context,0.0,1095,2,0.046326389803056436,0.0,0.0,1.0,0.0,0.11019180575667242,True,True,True,6.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1095,1095,0.5493054305508206,0.5492968301913174,1.0,1.0,0.1228332857837981,0.6395963417816609,False,True,True,62.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1095,631,0.5379327483751833,0.55440379125372,1.0,1.0,0.18015900956755354,0.6372526640616237,False,True,True,68.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,1095,43,0.5127206862347271,0.5375014606968486,1.0,1.0,0.13433600550249186,0.6254258118860276,False,True,True,78.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1095,1095,0.522627924154754,0.5318851991647321,1.0,1.0,0.1421762935272271,0.6245959871720281,False,True,True,13.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1095,1095,0.5314170944073497,0.525319683288875,1.0,1.0,0.13177571321087606,0.6237941802198419,False,True,True,14.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__colley__z,within_season_normalization,0.0,1095,1095,0.5242501370181905,0.5217498121693354,1.0,1.0,0.12265577963429775,0.620868708799911,False,True,True,15.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1095,1095,0.5149027856160437,0.516663180699118,1.0,1.0,0.13021544594693252,0.6160683217332289,False,True,True,16.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1095,1095,0.5265010700280802,0.5023888497001918,1.0,1.0,0.10733972702793926,0.6126832941811522,False,True,True,17.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1095,1095,0.5056052779640655,0.5075174285967676,1.0,1.0,0.09079447180899491,0.6112097480061831,False,True,True,18.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,1095,805,0.48933147572462116,0.5089457320097485,1.0,1.0,0.07912909478744745,0.608781712232598,False,True,True,63.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__half_marginmean_first,compact_performance,0.0,1095,994,0.5015085273893999,0.5041749575959199,1.0,1.0,0.12525341214204594,0.6073257191860276,False,True,True,38.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,1095,1095,0.48340416551785803,0.5126175180473608,1.0,1.0,0.1503331131391773,0.6063920005510948,False,True,True,64.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_standard_z,dynamic_ratings,0.0,1095,1095,0.4950967442720173,0.4988186997014203,1.0,1.0,0.15287892198745612,0.6022391027170273,False,True,True,96.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__colley__pct,within_season_normalization,0.0,1095,776,0.48377233360393934,0.49341515333698777,1.0,1.0,0.06712355152727273,0.6005842449335298,False,True,True,19.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1095,786,0.4762639869482092,0.48900403094468914,1.0,1.0,0.049098263936698416,0.5975360814245889,False,True,True,20.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,1095,862,0.4782777801366781,0.4887059924418194,1.0,1.0,0.11671644223578331,0.5951313303127111,False,True,True,21.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,1095,763,0.4764888499637633,0.48277303661650994,1.0,1.0,0.07937504927978828,0.5933836025967612,False,True,True,22.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,1095,1094,-0.45779713092598695,0.4861437440326054,1.0,1.0,0.0634493163692581,0.5915263932845974,False,True,True,79.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,1095,1095,0.4693812321194281,0.4853733619487982,1.0,1.0,0.13096238669541366,0.5910045893338808,False,True,True,97.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1095,791,0.47836742252640996,0.4650498515167104,1.0,1.0,0.0898475132169761,0.5848708611551522,False,True,True,23.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__seed__top4,selection_committee_prior,0.0,1095,3,0.4732599399528036,0.4645591192666872,1.0,1.0,0.10651574974458666,0.5828449340478431,False,True,True,75.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,1095,1095,0.45746117956052695,0.4689458346532198,1.0,1.0,0.11991123574308776,0.5809390107071379,False,True,True,65.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_max,conference_context,0.0,1095,941,0.43298098548139735,0.4794740520585798,1.0,1.0,0.14693844301072584,0.5795258240735968,False,True,True,107.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,1095,1095,0.4567749285962539,0.46253644500506264,1.0,1.0,0.11477102679265683,0.5779171368218996,False,True,True,24.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__oowp,schedule_and_accomplishment,0.0,1095,1095,0.4728944103363634,0.4535299493583875,1.0,1.0,0.15422386806342736,0.5755621912434888,False,True,True,80.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,1095,774,0.4539942404305801,0.45455257678434535,1.0,1.0,0.07254366704888515,0.5751622230692579,False,True,True,98.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__bt_c0p25_percentile,global_strength_ratings,0.0,1095,790,0.4511172070932535,0.45465038013858666,1.0,1.0,0.08697703131795537,0.5739988867743191,False,True,True,66.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
matchup__team1_seed,matchup_context,0.0,1095,16,-0.4718483815498091,0.4497816629399774,1.0,1.0,0.15262370112368795,0.5735968941071996,False,True,True,7.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,1095,1095,0.43788311679018466,0.45175976256762757,1.0,1.0,0.0797138483868629,0.5699904177908273,False,True,True,39.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_percentile,conference_context,0.0,1095,118,0.437537385806959,0.45405613577692755,1.0,1.0,0.1330638278509249,0.5688826169364192,False,True,True,108.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__upside_tail_mean,compact_performance,0.0,1095,1080,0.446167445712008,0.45037627065183017,1.0,1.0,0.1525889256795715,0.5682338909423373,False,True,True,40.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__pagerank_binary,global_strength_ratings,0.0,1095,1095,0.3960799253687541,0.46894583806474777,1.0,1.0,0.1199112362221108,0.5674351364033203,False,True,True,67.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_q90,compact_performance,0.0,1095,405,0.43516344138065277,0.45520601534700805,1.0,1.0,0.18180435466434436,0.5669626702837337,False,True,True,41.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,1095,2,0.45017178231777655,0.4466903994101174,1.0,1.0,0.18196702144188676,0.5661705029690917,False,True,True,8.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,1095,777,0.43086487086543057,0.44448217302800735,1.0,1.0,0.08753184557229393,0.5646404408209464,False,True,True,25.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_median,schedule_and_accomplishment,0.0,1095,1087,0.42961028264733736,0.4471807598932178,1.0,1.0,0.15455766607441407,0.5629787202881822,False,True,True,81.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,1095,1095,0.44968559063093216,0.4347272496545333,1.0,1.0,0.15765634422326752,0.5612936560040503,False,True,True,26.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_season_reset_mov_percentile,dynamic_ratings,0.0,1095,769,0.4222353240116301,0.44035555164566736,1.0,1.0,0.07509161287733157,0.5612587715573857,False,True,True,99.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_pct_mean,schedule_and_accomplishment,0.0,1095,1095,0.44716929540085526,0.4277455656141968,1.0,1.0,0.13350879651194492,0.5583547646225249,False,True,True,82.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__conference__strength_mean,conference_context,0.0,1095,941,0.4276425541454176,0.43574707725451367,1.0,1.0,0.13720007157672243,0.5577519561310895,False,True,True,109.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__top_quartile_games,schedule_and_accomplishment,0.0,1095,45,0.44803271682941126,0.4259002540230172,1.0,1.0,0.14077986421828376,0.5573681250647873,False,True,True,83.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,1095,1095,-0.4305183699969064,0.43026498005435715,1.0,1.0,0.1924291199460882,0.5535440670275673,False,True,True,27.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__schedule__opponent_strength_mean,schedule_and_accomplishment,0.0,1095,1095,0.4489127332932862,0.4164538569624381,1.0,1.0,0.1638134813284961,0.5521061134133534,False,True,True,84.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,1095,174,0.4215791062610294,0.4280621552755231,1.0,1.0,0.1670995120383112,0.5515332574281452,False,True,True,42.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__half_winpct_first,compact_performance,0.0,1095,382,0.4210925479170143,0.4203262077827204,1.0,1.0,0.11355496229638795,0.5498547417855933,False,True,True,43.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__seed__top8,selection_committee_prior,0.0,1095,3,0.43428345637582016,0.4159028407875726,1.0,1.0,0.15440873041191217,0.5489993747642388,False,True,True,76.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,1095,1095,0.4407062676632491,0.4106850008670808,1.0,1.0,0.1666736681705976,0.5474172325752897,False,True,True,100.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__home_margin_mean,compact_performance,0.012785388127853882,1081,1058,0.4291019293341076,0.41486294433255977,1.0,1.0,0.16054756761652061,0.5460919039782433,False,True,True,44.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__pythag_exp13p91,compact_performance,0.0,1095,1095,0.4124933090308663,0.40976025195919974,1.0,1.0,0.06930343163493835,0.544661311661809,False,True,True,45.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__wins,compact_performance,0.0,1095,35,0.4010724213938417,0.4162611652537803,1.0,1.0,0.09655617187737425,0.5441790451533648,False,True,True,46.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
matchup__team2_seed,matchup_context,0.0,1095,16,0.3853321165530371,0.423844609929689,1.0,1.0,0.106297245436204,0.5439665885904706,False,True,True,9.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__detailed__all__fourfactoredge_mean,detailed_efficiency,0.0,1095,1095,0.41317211831247275,0.41109873754843257,1.0,1.0,0.11802543492750767,0.5435042426548913,False,True,True,117.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
diff__compact__margin_median,compact_performance,0.0,1095,91,0.38606540954390384,0.42504640301276414,1.0,1.0,0.1440022516549997,0.5431965734795856,False,True,True,47.0,selected,rich_Pooled_2018,rich_Pooled_2018_inner_2015,xgb_classifier,Team1Win,True
