Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1225,838,0.6417492997068718,0.6856650009607617,1.0,1.0,0.09900296085456373,0.7263439279624948,True,True,True,2.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
matchup__seed_diff,matchup_context,0.0,1225,29,-0.6477806553552878,0.6569376702548582,1.0,1.0,0.14353569466191396,0.7121003981140186,True,True,True,1.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1225,1225,0.6622567128908513,0.6294439984526001,1.0,1.0,0.18987815476805003,0.7002344699025134,True,True,True,5.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__compact__margin_trim02,compact_performance,0.0,1225,1203,0.6295609216603442,0.605423263739102,1.0,1.0,0.162037070038352,0.6826250865585106,True,True,True,3.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1225,1037,0.5663847322566129,0.5752419611826878,1.0,1.0,0.12494955484315384,0.6557228002704188,True,True,True,4.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
context__women,matchup_context,0.0,1225,2,0.07836704033016798,0.0,0.0,1.0,0.0,0.11724074887263697,True,True,True,6.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1225,1225,0.7435134492794793,0.6906431121672398,1.0,1.0,0.19735333097719754,0.7471875194426726,False,True,True,60.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1225,1225,0.6966532138738508,0.6780359710535436,1.0,1.0,0.16515833343145503,0.7321146398206898,False,True,True,7.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1225,1225,0.7121287346239141,0.6715993060907902,1.0,1.0,0.19199857082267902,0.7313560457079332,False,True,True,8.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1225,1225,0.6846968143318014,0.6762249921462424,1.0,1.0,0.16005519651807976,0.7288190875224695,False,True,True,9.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1225,1225,0.6813431158972327,0.675823003441662,1.0,1.0,0.1746657778203653,0.7273038960365744,False,True,True,10.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__colley__z,within_season_normalization,0.0,1225,1225,0.6869930069167979,0.6679075197843894,1.0,1.0,0.15105513744890497,0.7256918655202462,False,True,True,11.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1225,704,0.6577904822425448,0.6709735273937344,1.0,1.0,0.13614361815358766,0.721335454516209,False,True,True,95.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1225,1225,0.6674911961676331,0.6620121005547319,1.0,1.0,0.14948931077052008,0.7186342989923298,False,True,True,12.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__rating__elo_standard,dynamic_ratings,0.0,1225,1225,0.6732203578742761,0.6568162119416836,1.0,1.0,0.1515209738680834,0.7173194215096256,False,True,True,67.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,1225,879,0.6522813741582497,0.6640559326177982,1.0,1.0,0.13126395335986651,0.7169981918369633,False,True,True,61.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1225,867,0.6354198726867689,0.6557398739587901,1.0,1.0,0.11451709180093828,0.7099668278192708,False,True,True,13.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1225,857,0.6308640793321386,0.6559832096916781,1.0,1.0,0.09575457019683298,0.7098318552972027,False,True,True,14.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__colley__pct,within_season_normalization,0.0,1225,845,0.6415832215769433,0.6520939157913065,1.0,1.0,0.12086151810804902,0.7093189276024326,False,True,True,15.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,1225,842,0.6396765834239293,0.6456583967970224,1.0,1.0,0.11897319833661668,0.7058859508823705,False,True,True,16.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
diff__rating__bt_c0p25,global_strength_ratings,0.0,1225,1225,0.6484390723107805,0.6430301958479213,1.0,1.0,0.17604476475231923,0.7042692993252812,False,True,True,62.0,selected,rich_Pooled_2019,rich_Pooled_2019_inner_2016,xgb_margin,Team1Margin,True
