Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
matchup__seed_diff,matchup_context,0.0,1355,29,-0.5345076439901866,0.5423247031035874,1.0,1.0,0.1650674377755627,0.6313048416565404,True,True,True,1.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1355,888,0.48079958584014704,0.48745253499659613,1.0,1.0,0.0702064043432622,0.596944869509468,True,True,True,2.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.47550355365317704,0.49438928076267047,1.0,1.0,0.14118933350642526,0.5962700632295238,True,True,True,5.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,1355,1329,0.4502177913763674,0.4722482304353682,1.0,1.0,0.13635881889346596,0.5802727119560389,True,True,True,3.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1355,1120,0.45228476947253443,0.45576520109696245,1.0,1.0,0.1390739795373795,0.5727069866290043,True,True,True,4.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
context__women,matchup_context,0.0,1355,2,0.04208997270597478,0.0,0.0,1.0,0.0,0.10925979399531446,True,True,True,6.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1355,1355,0.535916593409116,0.5354889658307569,1.0,1.0,0.15376088016623896,0.6287859189421192,False,True,True,13.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1355,1355,0.5280648823840235,0.5318851991647321,1.0,1.0,0.13357567052398533,0.6261361429025971,False,True,True,14.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__colley__z,within_season_normalization,0.0,1355,1355,0.5248663107057132,0.5217498121693354,1.0,1.0,0.12265577963429775,0.621004267011166,False,True,True,15.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1355,1355,0.5274732384329942,0.516916785130249,1.0,1.0,0.10733972702793926,0.6198705802366606,False,True,True,16.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1355,1355,0.5160843931972331,0.516663180699118,1.0,1.0,0.13021544594693252,0.6163282754010906,False,True,True,17.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1355,1355,0.5111350651630353,0.5075174285967676,1.0,1.0,0.10966121445695254,0.6116716314840381,False,True,True,18.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__half_marginmean_first,compact_performance,0.0,1355,1211,0.5039775140343252,0.5105525542487425,1.0,1.0,0.13240637632196167,0.6106440240740695,False,True,True,38.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__colley__pct,within_season_normalization,0.0,1355,905,0.4793760477265661,0.49341515333698777,1.0,1.0,0.07178208362803479,0.5994307207564772,False,True,True,19.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1355,905,0.4749667148073561,0.48900403094468914,1.0,1.0,0.05443590771872858,0.59703717580232,False,True,True,20.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
matchup__team1_seed,matchup_context,0.0,1355,16,-0.475004152850898,0.495839556277986,1.0,1.0,0.14548803939020571,0.5966843790650225,False,True,True,7.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,1355,1005,0.47868943980886536,0.4887059924418194,1.0,1.0,0.11317218932256351,0.5953636655571212,False,True,True,21.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,1355,894,0.47600057686188785,0.48277303661650994,1.0,1.0,0.0901491202869037,0.592845219674064,False,True,True,22.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1355,919,0.4741004346488809,0.4650498515167104,1.0,1.0,0.08524937977863073,0.5841160491596296,False,True,True,23.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,1355,1355,0.46837341140734573,0.47030980554689683,1.0,1.0,0.1254260204579003,0.5837738163538105,False,True,True,24.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__home_margin_mean,compact_performance,0.010332103321033211,1341,1289,0.4427364942552118,0.46873807600819595,1.0,1.0,0.17067397905504217,0.5747427777921964,False,True,True,39.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_q90,compact_performance,0.0,1355,438,0.44243279327584734,0.46334301680462964,1.0,1.0,0.19249631295069008,0.5720400100688809,False,True,True,40.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,1355,189,0.4262521440728703,0.467041532029989,1.0,1.0,0.15494492923345715,0.5717576099010878,False,True,True,41.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,1355,1355,0.4398134966705335,0.4531885671046634,1.0,1.0,0.0797138483868629,0.5711009275422813,False,True,True,42.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,1355,1355,0.45969480688186676,0.4435952317816446,1.0,1.0,0.12464535221073336,0.5690727546807708,False,True,True,25.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,1355,2,0.4549092721326513,0.4466903994101174,1.0,1.0,0.2045882255863573,0.5663079025625853,False,True,True,8.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,1355,905,0.43091676782051525,0.44448217302800735,1.0,1.0,0.08500737683585752,0.5647528369005226,False,True,True,26.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,1355,1355,-0.43396542375011266,0.43026498005435715,1.0,1.0,0.1924291199460882,0.5543024188532726,False,True,True,27.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__blowout_win20_rate,compact_performance,0.0,1355,1020,0.4202489600364257,0.43422063152719814,1.0,1.0,0.16542106434324383,0.554263831767339,False,True,True,43.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__half_winpct_first,compact_performance,0.0,1355,413,0.41468773926037006,0.4203262077827204,1.0,1.0,0.1163624563148532,0.5483333841203931,False,True,True,44.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.4096003912747822,0.4192324715422177,1.0,1.0,0.11268968893053471,0.5468360848634952,False,True,True,28.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__pythag_exp13p91,compact_performance,0.0,1355,1355,0.4126765195208961,0.40976025195919974,1.0,1.0,0.06692707928206132,0.5447966720637305,False,True,True,45.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__wins,compact_performance,0.0,1355,36,0.39802672318206056,0.4162611652537803,1.0,1.0,0.08824802918958652,0.5438413172542844,False,True,True,46.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
matchup__team2_seed,matchup_context,0.0,1355,16,0.3834313098167269,0.423844609929689,1.0,1.0,0.14995605427677183,0.5418020587548597,False,True,True,9.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_median,compact_performance,0.0,1355,99,0.38192417577506094,0.4231078379969995,1.0,1.0,0.1440022516549997,0.5413549908428731,False,True,True,47.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__blowout_win10_rate,compact_performance,0.0,1355,984,0.3987912348615968,0.4154346658484065,1.0,1.0,0.14932390445428545,0.541169755098615,False,True,True,48.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__ewm_h20_margin,compact_performance,0.0,1355,1355,0.39176564146071824,0.4065317492633987,1.0,1.0,0.14553447613749532,0.5355023017222895,False,True,True,49.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__ewm_h10_margin,compact_performance,0.0,1355,1355,0.369210209808315,0.3980841619510667,1.0,1.0,0.1600300827554243,0.5259054405841244,False,True,True,50.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_q25,compact_performance,0.0,1355,192,0.37370872735598804,0.38396491829656726,1.0,1.0,0.15395364147666862,0.520360935141603,False,True,True,51.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__win_pct,compact_performance,0.0,1355,965,0.36012485896397545,0.3742338395942234,1.0,1.0,0.13949431737134033,0.5132799392824482,False,True,True,52.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__half_pointsformean_first,compact_performance,0.0,1355,1173,0.3841400856190883,0.3647078219364894,1.0,1.0,0.16710594098577203,0.5128863357262834,False,True,True,53.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_q10,compact_performance,0.0,1355,388,0.3480691640215729,0.3682997662521145,1.0,1.0,0.14146891859552352,0.50770034714194,False,True,True,54.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__downside_tail_mean,compact_performance,0.0,1355,1257,-0.358788029001867,0.3569021158246421,1.0,1.0,0.1048749212480442,0.5060513851263172,False,True,True,55.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__margin_slope,compact_performance,0.0,1355,1354,-0.34816525038204676,0.3600429100184219,1.0,1.0,0.1174692588199795,0.5047181815400936,False,True,True,56.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__away_margin_mean,compact_performance,0.0,1355,1258,0.32756778156458355,0.3732951340271415,1.0,1.0,0.17011620022729057,0.5044419282681446,False,True,True,57.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__half_delta_marginmean,compact_performance,0.0,1355,1324,-0.332959485789278,0.3546262353022042,1.0,1.0,0.08840081408275213,0.499935647255389,False,True,True,58.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,-0.3544533285812244,0.33215929917057546,1.0,1.0,0.1571516291974963,0.49113013072184575,False,True,True,29.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__ewm_h20_win,compact_performance,0.0,1355,1355,0.32653354608306717,0.33885295938599197,1.0,1.0,0.12168925586699059,0.4896192304088713,False,True,True,59.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
diff__compact__away_games,compact_performance,0.0,1355,20,-0.3342547455127706,0.3280893574623933,1.0,1.0,0.08779401369064532,0.4875071750471325,False,True,True,60.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
matchup__seed_gap_abs,matchup_context,0.0,1355,15,-0.03520107327176767,0.08612610006149615,0.5238095238095238,1.0,0.1185892419709743,0.2281507182799919,False,True,True,10.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.06327809567759235,0.1452655882271362,0.23809523809523808,1.0,0.20218791858310867,0.21365638475000945,False,True,True,30.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.08974865139847027,0.12492440874633745,0.23809523809523808,1.0,0.20889998532097165,0.20944765818830466,False,True,True,31.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,1355,1355,0.08257342459672853,0.1249244220643905,0.23809523809523808,1.0,0.20889995738186634,0.20786911580215117,False,True,True,32.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.06759448001331918,0.09286124438181113,0.3333333333333333,1.0,0.1375575161070855,0.20727521559524947,False,True,True,33.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,1355,1355,0.05644205503442076,0.11438460308231382,0.23809523809523808,1.0,0.17319275874491996,0.1984893893325245,False,True,True,34.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,1355,688,-0.029898922058389916,0.10327934794520893,0.23809523809523808,1.0,0.14882060103118294,0.18829426392053686,False,True,True,35.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,1355,689,-0.040603877459133214,0.09458364675773702,0.23809523809523808,1.0,0.19856491543029609,0.18448564496274933,False,True,True,36.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,1355,1355,0.04858049703721921,0.07569248591047892,0.23809523809523808,1.0,0.10752949870261633,0.18081416073235154,False,True,True,37.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
matchup__equal_seed,matchup_context,0.0,1355,2,0.0027645100406472833,0.09759000729485331,0.0,1.0,0.19389262173697058,0.13969569084099318,False,True,True,11.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
context__season_centered_2000,matchup_context,0.0,1355,14,0.009409362982365364,0.0,0.0,1.0,0.0,0.10207005985612039,False,True,True,12.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2017,elastic_logistic,Team1Win,True
matchup__seed_diff,matchup_context,0.0,1485,29,-0.5383399895407477,0.5533524224025029,1.0,1.0,0.16568737375827525,0.6374164655018348,True,True,True,1.0,selected,rich_Pooled_2021,rich_Pooled_2021_inner_2018,elastic_logistic,Team1Win,True
