OuterFoldID,ValidationSeason,Gender,Architecture,Universe,Model,Feature,Block,StandardizedCoefficient
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,matchup__seed_diff,matchup_context,-0.03988862782716751
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__compact__margin_trim02,compact_performance,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.4417141377925873
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,matchup__team1_is_seed_favorite,matchup_context,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,matchup__team1_seed,matchup_context,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,matchup__team2_seed,matchup_context,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,matchup__equal_seed,matchup_context,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,matchup__seed_gap_abs,matchup_context,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.925066351890564
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.5850698351860046
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,-0.2169371396303177
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__rating__colley__z,within_season_normalization,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__rpi__z,within_season_normalization,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.5267559289932251
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__compact__half_marginmean_first,compact_performance,0.020474426448345184
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__compact__half_pointsformean_first,compact_performance,0.31554752588272095
rich_W_2016,2016,W,separate_gender,rich,elastic_logistic,diff__compact__margin_q90,compact_performance,0.18180713057518005
