Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,SeedAware
matchup__seed_diff,matchup_context,,378,25,,,,,,,True,True,True,1,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
matchup__seed_gap_abs,matchup_context,,378,14,,,,,,,True,True,True,2,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
matchup__team1_is_seed_favorite,matchup_context,,378,2,,,,,,,True,True,True,3,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
seedprior__effective_games_pc8p0,prequential_seed_priors,,378,104,,,,,,,True,True,True,4,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
seedprior__favorite_prob_pc8p0,prequential_seed_priors,,378,135,,,,,,,True,True,True,5,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
seedprior__team1_prob_pc8p0,prequential_seed_priors,,378,215,,,,,,,True,True,True,6,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__norm__rating__elo_mov_538__pct,within_season_normalization,,378,229,,,,,,,True,True,True,7,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__norm__rating__elo_mov_538__z,within_season_normalization,,378,378,,,,,,,True,True,True,8,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_538,dynamic_ratings,,378,378,,,,,,,True,True,True,9,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_538_delta,dynamic_ratings,,378,378,,,,,,,True,True,True,10,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_538_percentile,dynamic_ratings,,378,229,,,,,,,True,True,True,11,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_538_preseason,dynamic_ratings,,378,378,,,,,,,True,True,True,12,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_538_z,dynamic_ratings,,378,378,,,,,,,True,True,True,13,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_log,dynamic_ratings,,378,378,,,,,,,True,True,True,14,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_log_delta,dynamic_ratings,,378,378,,,,,,,True,True,True,15,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_log_percentile,dynamic_ratings,,378,237,,,,,,,True,True,True,16,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_log_preseason,dynamic_ratings,,378,378,,,,,,,True,True,True,17,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
absdiff__rating__elo_mov_log_z,dynamic_ratings,,378,378,,,,,,,True,True,True,18,preregistered_baseline,rich_W_2016,,elo_seed_logistic,True
