Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,315,315,0.7427936477156285,0.7470945236163627,1.0,1.0,0.02774048920959804,0.7809103542649085,True,True,True,5.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
matchup__seed_diff,matchup_context,0.0,315,24,-0.735417286971496,0.7303078699997425,1.0,1.0,0.009480585699425781,0.7719603573056285,True,True,True,1.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,315,252,0.7183868955388873,0.7289867669961397,1.0,1.0,0.03751169435359214,0.7664582974025587,True,True,True,2.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__margin_trim02,compact_performance,0.0,315,313,0.6957399753222553,0.6897144864207329,1.0,1.0,0.029413167444311994,0.7429492213550755,True,True,True,3.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,315,292,0.6356189704466675,0.6487265110440722,1.0,1.0,0.01181274580365077,0.7107523889672754,True,True,True,4.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,315,315,0.8121062358165438,0.8251921153873597,1.0,1.0,0.027701464243635288,0.8336475286958269,False,True,True,6.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,315,315,0.7849076690350272,0.7738129046800619,1.0,1.0,0.046939118355812215,0.8022323166999031,False,True,True,18.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,315,315,0.7709860962233432,0.7778604103211801,1.0,1.0,0.034867238526603006,0.8015952485822379,False,True,True,19.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,315,315,0.7655858399611425,0.7599650863214569,1.0,1.0,0.017630519370492648,0.7925069054509309,False,True,True,20.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__half_marginmean_first,compact_performance,0.0,315,302,0.7554418009283134,0.7655802610151706,1.0,1.0,0.052155573653699494,0.7915894985453628,False,True,True,22.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,315,315,0.7497908460435239,0.7650303410142208,1.0,1.0,0.04220183439573022,0.7904804764405721,False,True,True,7.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,315,315,0.7502370311762943,0.7401185444592439,1.0,1.0,0.03218066473239334,0.7790218216099261,False,True,True,21.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,315,315,-0.7290605186184427,0.7226445540323848,1.0,1.0,0.027259254385040843,0.7661723298562005,False,True,True,8.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,315,240,0.716583710612064,0.7189954962880507,1.0,1.0,0.017541261486292425,0.7620646040934667,False,True,True,9.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__margin_q90,compact_performance,0.0,315,236,0.6874178938455152,0.7129826927170072,1.0,1.0,0.057049437806982906,0.7511816516378975,False,True,True,23.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__half_pointsformean_first,compact_performance,0.0,315,296,0.6760217535114128,0.692666499415165,1.0,1.0,0.047260178512734896,0.7393142983512807,False,True,True,24.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__blowout_win20_rate,compact_performance,0.0,315,280,0.6592978313170619,0.6574452386359972,1.0,1.0,0.005692679640970089,0.7203915302493935,False,True,True,25.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__margin_q75,compact_performance,0.0,315,144,0.6451427030177947,0.6551815054397585,1.0,1.0,0.015078535728095033,0.7158153758458752,False,True,True,26.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
matchup__team1_seed,matchup_context,0.0,315,16,-0.6479355430416043,0.6490389629440969,1.0,1.0,0.014366012723958765,0.713509881173361,False,True,True,13.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__home_margin_mean,compact_performance,0.044444444444444446,301,299,0.6621216419216277,0.6494326848960884,1.0,1.0,0.014474525649182168,0.7132599133913576,False,True,True,27.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,315,248,0.643863888631347,0.6538495400287677,1.0,1.0,0.07200976942333759,0.7126174439357714,False,True,True,10.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,315,315,-0.6294913196529769,0.6400516275953664,1.0,1.0,0.006993626117720808,0.7054331265247219,False,True,True,11.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__half_winpct_first,compact_performance,0.0,315,148,0.6378653318620539,0.6339147924485463,1.0,1.0,0.017288242664358355,0.7039179436783797,False,True,True,28.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__margin_median,compact_performance,0.0,315,85,0.6258666812994007,0.6401606252598682,1.0,1.0,0.04985398248764483,0.7029736107110991,False,True,True,29.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__pythag_exp8p0,compact_performance,0.0,315,315,0.6344587986671243,0.629660947181217,1.0,1.0,0.06260020254143239,0.6993141822520942,False,True,True,30.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
matchup__team1_is_seed_favorite,matchup_context,0.0,315,2,0.610369548793386,0.6288395720537646,1.0,1.0,0.047966744461515165,0.6942056255418914,False,True,True,14.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__ewm_h20_margin,compact_performance,0.0,315,315,0.6358338188447481,0.6134706367601904,1.0,1.0,0.04484239320758243,0.6925556500624326,False,True,True,31.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__points_for_mean,compact_performance,0.0,315,312,0.595623816190266,0.6058392582747372,1.0,1.0,0.06637988945841045,0.679184887955396,False,True,True,32.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__ewm_h10_margin,compact_performance,0.0,315,315,0.5975780066448098,0.5868387490355989,1.0,1.0,0.03556248319805633,0.6717272616710234,False,True,True,33.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
matchup__team2_seed,matchup_context,0.0,315,16,0.5688124845025962,0.5728709638338176,1.0,1.0,0.022836585913912577,0.6592033457942471,False,True,True,15.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__wins,compact_performance,0.0,315,32,0.5674429206119902,0.5703021630935686,1.0,1.0,0.019213188227185984,0.6578139532904633,False,True,True,34.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__compact__blowout_win10_rate,compact_performance,0.0,315,265,0.5819678455097579,0.5633315149078317,1.0,1.0,0.055942138561874244,0.656194367625431,False,True,True,35.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,315,315,0.2865017709370821,0.29990053512234266,1.0,1.0,0.1916890903612384,0.459315082850433,False,True,True,12.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
matchup__seed_gap_abs,matchup_context,0.0,315,13,0.08718561235147912,0.07984115454516781,1.0,1.0,0.07171763150236452,0.3146358836389114,False,True,True,16.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
matchup__equal_seed,matchup_context,0.0,315,2,0.051415227297353004,0.06383282196017794,0.6,1.0,0.070091555263354,0.23514744233576892,False,True,True,17.0,selected,rich_W_2018,rich_W_2018_inner_2015,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.7487640874518783,0.7543236885600485,1.0,1.0,0.03748586369703999,0.7853040352003549,True,True,True,5.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
matchup__seed_diff,matchup_context,0.0,378,25,-0.739046430406053,0.7337598685476654,1.0,1.0,0.026374058019828728,0.7737399892714178,True,True,True,1.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,378,280,0.7236615122983012,0.7326675939732976,1.0,1.0,0.03723428412346741,0.7693966064478704,True,True,True,2.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
diff__compact__margin_trim02,compact_performance,0.0,378,375,0.7050280043908446,0.6983066100053292,1.0,1.0,0.05632832714575886,0.7480402006827135,True,True,True,3.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,378,337,0.6282368094324142,0.6471621070392648,1.0,1.0,0.03539760738936071,0.7074340051584037,True,True,True,4.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,378,378,0.8166479424044872,0.8300443686699819,1.0,1.0,0.023842741524362276,0.837130134629604,False,True,True,6.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,378,378,0.7931705827366384,0.795529312658469,1.0,1.0,0.04954237763060165,0.8143699031729016,False,True,True,21.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,378,378,0.7767119808960774,0.7815811628925409,1.0,1.0,0.038019858109053284,0.8045147996611944,False,True,True,22.0,selected,rich_W_2018,rich_W_2018_inner_2016,xgb_margin,Team1Margin,True
