Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.7487640874518783,0.7543236885600485,1.0,1.0,0.03748586369703999,0.7853040352003549,True,True,True,5.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
matchup__seed_diff,matchup_context,0.0,378,25,-0.739046430406053,0.7337598685476654,1.0,1.0,0.026374058019828728,0.7737399892714178,True,True,True,1.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,378,280,0.7236615122983012,0.7326675939732976,1.0,1.0,0.03723428412346741,0.7693966064478704,True,True,True,2.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__compact__margin_trim02,compact_performance,0.0,378,375,0.7050280043908446,0.6983066100053292,1.0,1.0,0.05632832714575886,0.7480402006827135,True,True,True,3.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,378,337,0.6282368094324142,0.6471621070392648,1.0,1.0,0.03539760738936071,0.7074340051584037,True,True,True,4.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,378,378,0.8166479424044872,0.8300443686699819,1.0,1.0,0.023842741524362276,0.837130134629604,False,True,True,6.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,378,378,0.7931705827366384,0.795529312658469,1.0,1.0,0.04954237763060165,0.8143699031729016,False,True,True,21.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,378,378,0.7767119808960774,0.7815811628925409,1.0,1.0,0.038019858109053284,0.8045147996611944,False,True,True,22.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__compact__half_marginmean_first,compact_performance,0.0,378,358,0.7602261857213567,0.7808974733643118,1.0,1.0,0.049652064035161425,0.8000944655121618,False,True,True,26.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,0.7650123207927997,0.7708953276455174,1.0,1.0,0.05314105217590315,0.7962068257572281,False,True,True,7.0,selected,rich_W_2019,rich_W_2019_inner_2016,lgb_margin,Team1Margin,True
