Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
matchup__seed_diff,matchup_context,0.0,378,25,-0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,True,True,True,1.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.5453058037382709,0.5507404285623851,1.0,1.0,0.04157533827928794,0.642659669001193,True,True,True,5.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,378,337,0.5291461461857448,0.5387524320393915,1.0,1.0,0.049285266333775835,0.6330419088864208,True,True,True,4.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,378,280,0.5308166016259741,0.5313944458297971,1.0,1.0,0.030669782695494696,0.6306221950481972,True,True,True,2.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,378,375,0.5095117792719122,0.522645603162398,1.0,1.0,0.03750363522390332,0.6214623355488156,True,True,True,3.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,0.6141431262706367,0.6169172856800343,1.0,1.0,0.048458326116245676,0.6892934518613066,False,True,True,12.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__norm__rating__colley__z,within_season_normalization,0.0,378,378,0.602000752052453,0.6140901412023735,1.0,1.0,0.040709374274619625,0.6855750582576942,False,True,True,23.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,378,378,0.6099713570494372,0.6093178074901946,1.0,1.0,0.04597997403096654,0.6848270471849309,False,True,True,24.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,378,378,0.6000678487653678,0.61111879671433,1.0,1.0,0.05837433275636272,0.6830169758410047,False,True,True,25.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
diff__compact__half_marginmean_first,compact_performance,0.0,378,358,0.591331778458304,0.5845597038279582,1.0,1.0,0.048739460740302665,0.6687320706686347,False,True,True,32.0,selected,rich_W_2019,rich_W_2019_inner_2016,xgb_classifier,Team1Win,True
