Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,252,252,0.7541526483700038,0.7543236885600485,1.0,1.0,0.022134174490594294,0.7871035861706003,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,252,24,-0.7339277942561828,0.7324715742458754,1.0,1.0,0.017167245163257072,0.77236378056785,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,252,203,0.724478969266571,0.7326675939732976,1.0,1.0,0.017319197344033088,0.7703730504520672,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,252,250,0.7056648600825691,0.6983066100053292,1.0,1.0,0.030232273828048273,0.7492241510676012,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,252,235,0.6289143500917902,0.6515040759362828,1.0,1.0,0.027613617841165006,0.709978568755963,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,252,252,0.8481903886408121,0.8533707104669508,1.0,1.0,0.009473142874564466,0.8558409008101325,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,252,252,0.8475240624092182,0.8533707124701932,1.0,1.0,0.009473142611268748,0.85569431001127,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,252,252,0.8241521864291638,0.8300443686699819,1.0,1.0,0.014417251551616994,0.8391580879139426,False,True,True,6.0,selected
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,252,252,0.8241521864291638,0.8300443686699819,1.0,1.0,0.014417251551616994,0.8391580879139426,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,252,252,0.8234648176712039,0.8300443672200598,1.0,1.0,0.014417246734198641,0.8390068662839256,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,252,252,0.825168851657504,0.8273081306393093,1.0,1.0,0.014606965247977333,0.8380607714616003,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,252,252,0.825168851657504,0.8273081306393093,1.0,1.0,0.014606965247977333,0.8380607714616003,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,252,252,0.8245904805533081,0.8273081321150179,1.0,1.0,0.014606964556206026,0.8379335305546881,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,252,252,0.7941521857128486,0.7967244580175334,1.0,1.0,0.0472162836799459,0.8152525693580449,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log,dynamic_ratings,0.0,252,252,0.7938346260896328,0.7967244593072735,1.0,1.0,0.04721628298193625,0.8151827068879332,False,False,False,,below_bounded_prescreen
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,252,252,0.7938239360683861,0.795529312658469,1.0,1.0,0.045469336514743386,0.8146765625505203,False,True,True,18.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,252,252,0.7938239360683861,0.795529312658469,1.0,1.0,0.045469336514743386,0.8146765625505203,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538,dynamic_ratings,0.0,252,252,0.7935053461428586,0.7955293087177183,1.0,1.0,0.04546933810979714,0.8146064708115418,False,False,False,,below_bounded_prescreen
diff__compact__half_marginmean_first,compact_performance,0.0,252,241,0.7757254883509189,0.7808974733643118,1.0,1.0,0.03697363781057539,0.8040114491396488,False,True,True,22.0,selected
interaction__strength_gap_squared_signed,matchup_interactions,0.0,252,252,0.7631119642368804,0.771967278612457,1.0,1.0,0.015429975425769293,0.7978117268490623,False,False,False,,below_bounded_prescreen
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,252,252,0.7644473020417873,0.7708953276455174,1.0,1.0,0.02553366623369646,0.7971868170696937,False,True,True,7.0,selected
diff__norm__rating__colley__z,within_season_normalization,0.0,252,252,0.768222555353258,0.7684426618971449,1.0,1.0,0.03983443128192565,0.7962680626370693,False,True,True,19.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,252,252,0.768222555353258,0.7684426618971449,1.0,1.0,0.03983443128192565,0.7962680626370693,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,252,252,0.7680191405617707,0.7684426646289917,1.0,1.0,0.03983442806019688,0.7962233128230976,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,252,252,0.7676472621337719,0.7678682950598001,1.0,1.0,0.040416795409743855,0.795842507481744,False,False,False,,below_bounded_prescreen
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,252,252,0.7676454428333299,0.7678682962006003,1.0,1.0,0.04041679556244038,0.795842107777123,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,252,252,0.7676454428333299,0.7678682962006003,1.0,1.0,0.04041679556244038,0.795842107777123,False,False,False,,below_bounded_prescreen
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,252,252,0.7656724003437111,0.7653907675252546,1.0,1.0,0.02603868171195778,0.7947939492192604,False,True,True,20.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,252,252,0.7651245375352635,0.7653907685805712,1.0,1.0,0.026038681130880037,0.794673419931197,False,False,False,,below_bounded_prescreen
diff__rating__elo_standard_z,dynamic_ratings,0.0,252,252,0.7638028232121021,0.7627977616128665,1.0,1.0,0.03474899917079355,0.7927895867140066,False,False,False,,below_bounded_prescreen
diff__rating__elo_standard,dynamic_ratings,0.0,252,252,0.763457050258921,0.7627977566222188,1.0,1.0,0.03474900396352498,0.7927135140770867,False,False,False,,below_bounded_prescreen
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,252,252,0.7593279418474483,0.7594676513818768,1.0,1.0,0.030785686552044167,0.7903651924076578,False,False,False,,below_bounded_prescreen
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,252,252,0.7548705107634037,0.7543236861507753,1.0,1.0,0.022134176261034533,0.7872615146698796,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,252,252,0.7548705107634037,0.7543236861507753,1.0,1.0,0.022134176261034533,0.7872615146698796,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,252,42,0.7496328563895723,0.7577739786230556,1.0,1.0,0.047745947741927974,0.7867409002350955,False,False,False,,below_bounded_prescreen
diff__norm__schedule__rpi__z,within_season_normalization,0.0,252,252,0.751399177389291,0.7554093523871257,1.0,1.0,0.04110484008960069,0.7862601145678803,False,True,True,21.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,252,252,0.7510840826246503,0.7554093509307981,1.0,1.0,0.041104836466715255,0.7861907931655375,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,252,252,0.7485435198835015,0.7502661720257209,1.0,1.0,0.060607850999485735,0.7823830229067369,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538_preseason,dynamic_ratings,0.0,252,252,0.7477731652987005,0.7498857649918889,1.0,1.0,0.05875192714034261,0.782105186476207,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,252,204,0.7384435997749769,0.7409625738479283,1.0,1.0,0.017377176582097476,0.7774245403342166,False,False,False,,below_bounded_prescreen
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,252,252,-0.7312896193153111,0.7350218785639875,1.0,1.0,0.030435701456480224,0.7724767899018232,False,True,True,8.0,selected
diff__seed__number,selection_committee_prior,0.0,252,24,-0.7339277942561828,0.7324715742458754,1.0,1.0,0.017167245163257072,0.77236378056785,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,252,24,0.7339277942561828,0.7324715742458754,1.0,1.0,0.017167245163257072,0.77236378056785,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,252,203,0.724478969266571,0.7326675939732976,1.0,1.0,0.017319197344033088,0.7703730504520672,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,252,207,0.7232707485804559,0.7311761134906559,1.0,1.0,0.016924714164410326,0.7694071105966388,False,False,False,,below_bounded_prescreen
