Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,567,315,0.6331147071397824,0.6335518351288077,1.0,1.0,0.040033116258666346,0.7017887917822331,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,567,315,0.632972315911265,0.6320800538465287,1.0,1.0,0.0408580752344897,0.7010180123374324,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,567,25,-0.6196615197196778,0.6216009799958313,1.0,1.0,0.02889019800613235,0.6935383968160829,False,True,True,8.0,selected
diff__seed__strength,selection_committee_prior,0.0,567,25,0.6196615197196778,0.6216009799958313,1.0,1.0,0.02889019800613235,0.6935383968160829,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,567,3,0.5455123948018121,0.5861172822565783,1.0,1.0,0.09091449670068008,0.657712442471529,False,True,True,9.0,selected
diff__seed__top8,selection_committee_prior,0.0,567,3,0.5031696052190157,0.5016516837056424,1.0,1.0,0.05740659030226175,0.6091938577148013,False,True,True,10.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,567,58,0.03572685296865225,0.09348557762337849,0.7777777777777778,1.0,0.08934583784265474,0.2736035958430634,False,True,True,2.0,selected
absdiff__seed__number,selection_committee_prior,0.0,567,14,-0.04962453888044786,0.1052095498909816,0.5555555555555556,1.0,0.12475112391189419,0.24531682643378283,False,True,True,11.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,567,203,-0.05182328802606739,0.09962633508370689,0.5555555555555556,1.0,0.13170903658803304,0.2428422916312817,False,True,True,3.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,567,203,-0.0484961520601904,0.10048117584137756,0.5555555555555556,1.0,0.134547271797627,0.24240711587408692,False,True,False,,correlation_pruned_or_cap
seedprior__generic_gender_games,prequential_seed_priors,0.0,567,10,-0.057866923840273816,0.09630261444211728,0.42857142857142855,1.0,0.09630261444211728,0.2236753021708204,False,True,True,4.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,567,149,0.033473778853031474,0.11959082164022397,0.3333333333333333,1.0,0.21459643637325895,0.2095173016133774,False,True,True,5.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,567,149,0.033473778853031474,0.11959082164022397,0.3333333333333333,1.0,0.21459643637325895,0.2095173016133774,False,True,False,,correlation_pruned_or_cap
seedprior__gap_games,prequential_seed_priors,0.0,567,73,0.02244896860594903,0.15140556690115467,0.1111111111111111,1.0,0.19695692902793227,0.1875129458225235,False,True,True,6.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.02292768959435626,554,95,-0.029418145302171017,0.0343968718151499,0.3333333333333333,1.0,0.03943493528340341,0.17290421119219826,False,True,True,7.0,selected
seedprior__pooled_gap_games,prequential_seed_priors,0.02292768959435626,554,81,0.02767104034218699,0.10513786918356673,0.1111111111111111,1.0,0.1636668334930115,0.165950695353902,False,True,True,12.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,567,58,-0.035543899450159865,0.03282730039744016,0.1111111111111111,1.0,0.046048170047013226,0.1395126130457037,False,True,True,13.0,selected
seedprior__history_games,prequential_seed_priors,0.0,567,9,-0.06141009687216817,0.0,0.0,1.0,0.0,0.113510221311877,False,True,True,14.0,selected
