Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,504,282,0.6316282484103104,0.6319231530774303,1.0,1.0,0.05498834760926985,0.700081794223064,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,504,282,0.6316325322432517,0.6305909105448966,1.0,1.0,0.05505718725954867,0.6994405066646837,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,504,25,-0.6220239967276388,0.6234150977203579,1.0,1.0,0.025139603725250148,0.6950789420368423,False,True,True,6.0,selected
diff__seed__strength,selection_committee_prior,0.0,504,25,0.6220239967276388,0.6234150977203579,1.0,1.0,0.025139603725250148,0.6950789420368423,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,504,3,0.5423879591043743,0.5819963070479157,1.0,1.0,0.09641847770272716,0.6548268392778528,False,True,True,7.0,selected
diff__seed__top8,selection_committee_prior,0.0,504,3,0.5143976322417663,0.5127845320829056,1.0,1.0,0.059757019359574115,0.6169137737186003,False,True,True,8.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,504,9,-0.11859680523299217,0.09630261444211727,0.6666666666666666,1.0,0.10552667506072115,0.27476215174771235,False,True,True,2.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,504,52,0.0007567833325782517,0.08195028991072192,0.75,1.0,0.08195071013948196,0.25622460308473444,False,True,True,3.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,504,179,-0.0569354078449346,0.12313622957291219,0.5,1.0,0.1344222608112002,0.24625428948843545,False,True,True,4.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,504,179,-0.053012293503805395,0.12493288438344571,0.5,1.0,0.13709028208450463,0.24614687779151098,False,True,False,,correlation_pruned_or_cap
absdiff__seed__number,selection_committee_prior,0.0,504,14,-0.04524477139260164,0.11956729108942063,0.5,1.0,0.1277076590606917,0.24223784306686658,False,True,True,9.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,504,132,-0.012991557729651371,0.09937416723775253,0.25,1.0,0.16508309329801255,0.18395441924272402,False,True,True,5.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,504,132,-0.012991557729651371,0.09937416723775253,0.25,1.0,0.16508309329801255,0.18395441924272402,False,True,False,,correlation_pruned_or_cap
seedprior__exact_pair_games,prequential_seed_priors,0.0,504,56,-0.055880257558117874,0.02507148762471107,0.25,1.0,0.041077661086257586,0.16268486427919696,False,True,True,10.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.01984126984126984,494,86,-0.02684920687200898,0.026418057730633403,0.25,1.0,0.03508876049812411,0.15559664121531946,False,True,True,11.0,selected
seedprior__gap_games,prequential_seed_priors,0.0,504,64,-0.002625679705316894,0.1223950725603807,0.0,1.0,0.2020414145461782,0.15124562778230533,False,True,True,12.0,selected
seedprior__pooled_gap_games,prequential_seed_priors,0.01984126984126984,494,73,0.012981963891088116,0.10804968851572472,0.0,1.0,0.1669067302078087,0.14645631174797333,False,True,True,13.0,selected
seedprior__history_games,prequential_seed_priors,0.0,504,8,-0.08572023739927977,0.0,0.0,1.0,0.0,0.11885845222784155,False,True,True,14.0,selected
