Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,1115,1115,0.6267557585232104,0.6236612328435408,1.0,1.0,0.05274587914255424,0.6951338234743036,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1115,727,0.6078663633948526,0.6095667391430409,1.0,1.0,0.05744817697315985,0.6840247076566008,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,1115,29,-0.5929289963666965,0.5974522632763866,1.0,1.0,0.0993985104885875,0.6732455251537952,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1115,1115,0.5582771291477527,0.5560953826118299,1.0,1.0,0.09161501527313387,0.6460821514552586,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1115,1097,0.5331347361566801,0.5446147537603722,1.0,1.0,0.11202156514087375,0.6342238611538132,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1115,906,0.5246109997888104,0.5043672326983278,1.0,1.0,0.08974133789396566,0.613921038132977,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1115,1115,0.6362568777036351,0.640794944564229,1.0,1.0,0.06597232156747979,0.7049191936229305,False,True,True,70.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1115,1115,0.6359019186877773,0.6407949449923167,1.0,1.0,0.06597232231232875,0.7048411028151298,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1115,1115,0.6229074575856105,0.6438129818983872,1.0,1.0,0.08935466246589907,0.7024956854814243,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1115,1115,0.6228129333856014,0.6438129798037474,1.0,1.0,0.08935465066084602,0.7024748896241971,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1115,1115,0.6217428467406652,0.6413950875830403,1.0,1.0,0.09327939929990692,0.7009218923508095,False,True,True,19.0,selected
