Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,567,563,0.49942966835803626,0.5192992181950388,1.0,1.0,0.04429991767656177,0.617366155065324,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,567,315,0.6331147071397824,0.6335518351288077,1.0,1.0,0.040033116258666346,0.7017887917822331,False,True,True,18.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,567,315,0.632972315911265,0.6320800538465287,1.0,1.0,0.0408580752344897,0.7010180123374324,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,567,25,-0.6196615197196778,0.6216009799958313,1.0,1.0,0.02889019800613235,0.6935383968160829,False,True,True,23.0,selected
diff__seed__strength,selection_committee_prior,0.0,567,25,0.6196615197196778,0.6216009799958313,1.0,1.0,0.02889019800613235,0.6935383968160829,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,567,528,0.5792630585305845,0.5796212975308903,1.0,1.0,0.04777267051904455,0.6637451888707941,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,567,3,0.5455123948018121,0.5861172822565783,1.0,1.0,0.09091449670068008,0.657712442471529,False,True,True,24.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,567,523,0.5217788366721098,0.55293614993968,1.0,1.0,0.1286473294517107,0.635054802860842,False,True,True,3.0,selected
diff__compact__margin_q90,compact_performance,0.0,567,346,0.5210071708624333,0.5189421875415065,1.0,1.0,0.04818752024303408,0.6217863267999371,False,True,True,4.0,selected
diff__compact__margin_mean,compact_performance,0.0,567,563,0.49942966835803626,0.5192992181950388,1.0,1.0,0.04429991767656177,0.617366155065324,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,567,559,0.5059074400195491,0.5149923190699246,1.0,1.0,0.0482224812858601,0.6165670507064303,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,567,567,0.4962932904917421,0.5115826359728931,1.0,1.0,0.0405586106425585,0.6131218447494696,False,True,False,,correlation_pruned_or_cap
diff__seed__top8,selection_committee_prior,0.0,567,3,0.5031696052190157,0.5016516837056424,1.0,1.0,0.05740659030226175,0.6091938577148013,False,True,True,25.0,selected
diff__compact__margin_q75,compact_performance,0.0,567,187,0.49084785680663556,0.4900843738875617,1.0,1.0,0.020257484938687453,0.602416728565942,False,True,True,5.0,selected
diff__compact__home_margin_mean,compact_performance,0.024691358024691357,553,545,0.5070818641107404,0.4870807103517404,1.0,1.0,0.1046127022335096,0.5991969343418827,False,True,True,6.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,567,214,0.4834499110843937,0.48613960182527877,1.0,1.0,0.059851034366929234,0.5973119479400233,False,True,True,7.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,567,470,0.4725342942043738,0.4674879397148373,1.0,1.0,0.05143196337265871,0.5862944772531778,False,True,True,8.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,567,567,0.4653039475671675,0.4675721200565309,1.0,1.0,0.0355458642678525,0.5853796515211975,False,True,True,9.0,selected
diff__compact__ewm_h20_margin,compact_performance,0.0,567,567,0.45724170275857773,0.45389209472019154,1.0,1.0,0.07516829728412666,0.5754546481812141,False,True,True,10.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,567,567,0.4498474709408782,0.4526548999964554,1.0,1.0,0.03819385422223798,0.5747130414364022,False,True,False,,correlation_pruned_or_cap
diff__compact__points_for_mean,compact_performance,0.0,567,561,0.446009642857833,0.45117633064330764,1.0,1.0,0.08200023801366052,0.5714067506169646,False,True,True,11.0,selected
