Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,441,437,0.5051885011143635,0.5223535446256746,1.0,1.0,0.027233346794174995,0.6207818377937168,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,441,247,0.6286362614068267,0.630294471026053,1.0,1.0,0.05437408852527925,0.6986663600609961,False,True,True,25.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,441,247,0.6281529888071818,0.6291017672432645,1.0,1.0,0.051728165492819334,0.6980933791946341,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,441,25,-0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,False,True,True,32.0,selected
diff__seed__strength,selection_committee_prior,0.0,441,25,0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,441,416,0.5879592832191344,0.5796212975308903,1.0,1.0,0.039804091683511955,0.6659771014556964,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,441,3,0.5365899076595781,0.5748536517392742,1.0,1.0,0.10068795072807218,0.6499520144908358,False,True,True,33.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,441,408,0.5362307241083917,0.5550135605544155,1.0,1.0,0.07770036425985971,0.6412692537995712,False,True,True,3.0,selected
diff__compact__margin_q90,compact_performance,0.0,441,296,0.5385091041125418,0.5394302652978417,1.0,1.0,0.05790227937121473,0.6350824390728746,False,True,True,4.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,441,435,0.5147027200540245,0.5260088433121453,1.0,1.0,0.03627043262626062,0.6242680258966646,False,True,False,,correlation_pruned_or_cap
diff__seed__top8,selection_committee_prior,0.0,441,3,0.5169760820444252,0.523917380460169,1.0,1.0,0.06894455074968786,0.6224572986406671,False,True,True,34.0,selected
diff__compact__margin_mean,compact_performance,0.0,441,437,0.5051885011143635,0.5223535446256746,1.0,1.0,0.027233346794174995,0.6207818377937168,False,True,False,,correlation_pruned_or_cap
diff__compact__home_margin_mean,compact_performance,0.031746031746031744,427,421,0.5217505842955749,0.5252335017708254,1.0,1.0,0.1008143866486243,0.6203249513893953,False,True,True,5.0,selected
diff__compact__margin_winsor02,compact_performance,0.0,441,441,0.5017465329303674,0.5196194956200949,1.0,1.0,0.0286321585866241,0.6186563087988614,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q75,compact_performance,0.0,441,167,0.4911418517272367,0.48952062690396064,1.0,1.0,0.03119346773344933,0.6017733695845553,False,True,True,6.0,selected
diff__compact__points_for_mean,compact_performance,0.0,441,435,0.45275349543225335,0.5015490291502656,1.0,1.0,0.09735143203596269,0.5964552457057847,False,True,True,7.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,441,186,0.4739465248338967,0.47682206443686737,1.0,1.0,0.06274459593938359,0.5906330425555782,False,True,True,8.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,441,373,0.4776541427927395,0.4674879397148373,1.0,1.0,0.06217727410062912,0.5869910315134994,False,True,True,9.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,441,441,0.46285312233522014,0.4675721200565309,1.0,1.0,0.018919266789734213,0.5855055338692938,False,True,True,10.0,selected
diff__compact__ewm_h20_margin,compact_performance,0.0,441,441,0.46361212915270367,0.4624942131559158,1.0,1.0,0.07464623654580133,0.5810060412666024,False,True,True,11.0,selected
diff__compact__ewm_h10_margin,compact_performance,0.0,441,441,0.4181526531604263,0.4657093405042746,1.0,1.0,0.07161022648746912,0.5726696580778468,False,True,True,12.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,441,441,0.4460783481975856,0.4476095566190551,1.0,1.0,0.024239892613867997,0.5720202280760606,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_median,compact_performance,0.0,441,93,0.43669605000166656,0.439637063737219,1.0,1.0,0.05753954084414303,0.564797339960466,False,True,True,13.0,selected
diff__compact__pythag_exp11p5,compact_performance,0.0,441,441,0.43325285315104345,0.4327576766880067,1.0,1.0,0.029472350904396927,0.5618604184672968,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q25,compact_performance,0.0,441,176,0.40875730867579246,0.4418685794364995,1.0,1.0,0.05171239073266071,0.5599550304088876,False,True,True,14.0,selected
