Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,981,677,0.4646637361963008,0.4769832921907678,1.0,1.0,0.05033286930764047,0.5891646874424491,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,981,651,0.45624517339374393,0.4598317394630629,1.0,1.0,0.04882983320506418,0.5791399797606913,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,981,966,0.4342307092310318,0.4209789872602496,1.0,1.0,0.10978387648873011,0.5532093148561976,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,981,652,0.4137121547720361,0.41152175435137156,1.0,1.0,0.08416462803241953,0.5451805310172095,True,True,True,4.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,981,809,0.4164151971497411,0.39882872582764206,1.0,1.0,0.10088909667238671,0.5390135679033157,True,True,True,3.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,981,567,0.49783466159565964,0.5274217642751469,1.0,1.0,0.1217208282188792,0.6178172392743604,False,True,True,39.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,981,567,0.49639097310589314,0.5242582404616318,1.0,1.0,0.12147804134027618,0.6159908478512687,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,981,29,-0.4959704023464183,0.5220375117028367,1.0,1.0,0.11328017092208398,0.6151602872966904,False,True,True,46.0,selected
diff__seed__strength,selection_committee_prior,0.0,981,29,0.4959704023464183,0.5220375117028367,1.0,1.0,0.11328017092208398,0.6151602872966904,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,981,981,0.5084718082883687,0.506437545274714,1.0,1.0,0.09403384326801822,0.6111924658245831,False,True,True,51.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,981,981,0.5084410603446666,0.5064375459749195,1.0,1.0,0.09403384325261038,0.6111857016136836,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,981,981,0.4959965914213773,0.4993604492529357,1.0,1.0,0.0861070008483999,0.6053679857201761,False,True,True,6.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,981,981,0.4959965914213773,0.4993604492529357,1.0,1.0,0.0861070008483999,0.6053679857201761,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,981,981,0.4958324473062681,0.4993604488612656,1.0,1.0,0.08610700188450704,0.6053318737854061,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,981,981,0.48847401026117043,0.5015468022338618,1.0,1.0,0.07348985438904632,0.6052671531541493,False,True,True,7.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,981,981,0.48847401026117043,0.5015468022338618,1.0,1.0,0.07348985438904632,0.6052671531541493,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,981,981,0.48822577874324696,0.5015468031287896,1.0,1.0,0.07348985121854013,0.6052125427765918,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,981,981,0.4979242319817576,0.4962846822923247,1.0,1.0,0.07731361232707701,0.6046674340432194,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,981,981,0.4896365192231624,0.4940372623483211,1.0,1.0,0.09315698492874092,0.6011316407591402,False,True,True,8.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,981,981,0.4887617318934751,0.49403725826987266,1.0,1.0,0.09315698052423338,0.600939185765134,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,981,981,0.49276488363237103,0.490875308177426,1.0,1.0,0.08276328198816013,0.6007178910447597,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,981,981,0.4924367526650521,0.4908753117110433,1.0,1.0,0.08276328002136846,0.6006457040067574,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,981,981,0.49163135782628253,0.4912854503974089,1.0,1.0,0.08343687759028806,0.600638439808927,False,True,True,9.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,981,981,0.49163135782628253,0.4912854503974089,1.0,1.0,0.08343687759028806,0.600638439808927,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,981,981,0.491276699073563,0.49128544984031386,1.0,1.0,0.08343687563592406,0.6005604146940976,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,981,981,0.48216192556409015,0.49333519448962554,1.0,1.0,0.09148838970399298,0.5992169813909604,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_z,dynamic_ratings,0.0,981,981,0.4695182922331694,0.49764633952226234,1.0,1.0,0.11253207604753152,0.5976629842200819,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,981,981,0.4790356707727478,0.49149593362771976,1.0,1.0,0.09345991919783003,0.5975674989433968,False,True,True,10.0,selected
diff__rating__elo_standard,dynamic_ratings,0.0,981,981,0.469000961770702,0.4976463417057778,1.0,1.0,0.11253206804106947,0.5975491728866851,False,True,False,,correlation_pruned_or_cap
diff__schedule__rpi,schedule_and_accomplishment,0.0,981,981,0.4789236969726508,0.49149593765858585,1.0,1.0,0.09345992176804707,0.5975428665393825,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,981,981,0.4728159374399932,0.47707990409540607,1.0,1.0,0.05681589279319649,0.5907452244908655,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,981,981,0.4767773709803235,0.46972539357822896,1.0,1.0,0.10138797243060782,0.5863036916359967,False,True,True,11.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,981,981,0.4767773709803235,0.46972539357822896,1.0,1.0,0.10138797243060782,0.5863036916359967,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,981,981,0.47650691362571773,0.4697253908224053,1.0,1.0,0.10138797373046071,0.586244189643194,False,True,False,,correlation_pruned_or_cap
