Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,914,658,0.46391916971650043,0.4766858733700583,1.0,1.0,0.05321553810711538,0.5887428150309735,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,914,631,0.45653888254362357,0.4591025061604823,1.0,1.0,0.05451319664270471,0.5786272292509205,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,914,914,0.45562607537245864,0.4476471956621365,1.0,1.0,0.08716605271826983,0.5716217483910355,True,True,True,4.0,selected
diff__compact__margin_trim02,compact_performance,0.0,914,903,0.43653420179408864,0.4233170073860592,1.0,1.0,0.11556483316220273,0.5546070946135199,True,True,True,2.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,914,769,0.41308638933699077,0.3943199579425236,1.0,1.0,0.09152737763621599,0.5364914903611007,True,True,True,3.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,914,914,0.5045984316446844,0.5061535542869825,1.0,1.0,0.08625514188824623,0.6105151553440523,False,True,True,50.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,914,914,0.5045897879845347,0.5061535546317985,1.0,1.0,0.08625514487415686,0.6105132537848946,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,914,914,0.4964485321957573,0.4916150245195436,1.0,1.0,0.07658668082597048,0.6021304216194087,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,914,914,0.4964485321957573,0.4916150245195436,1.0,1.0,0.07658668082597048,0.6021304216194087,False,True,True,6.0,selected
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,914,914,0.49589506117999343,0.49161502676801244,1.0,1.0,0.07658667996203505,0.6020086591097631,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,914,914,0.48754865424424976,0.49029835430652835,1.0,1.0,0.07284232964844461,0.5996902208149307,False,True,True,7.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,914,914,0.4865209486956576,0.4902983527979573,1.0,1.0,0.07284232656414386,0.5994641249934984,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,914,530,0.4953461999863544,0.48988457097584254,1.0,1.0,0.11886832990933777,0.5993660248690288,False,True,True,72.0,selected
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,914,914,0.49370726991818337,0.48766490574430865,1.0,1.0,0.08458555687716784,0.5993113318641817,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,914,914,0.49370726991818337,0.48766490574430865,1.0,1.0,0.08458555687716784,0.5993113318641817,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,914,914,0.49359446131305296,0.48766490850769906,1.0,1.0,0.08458555939257179,0.5992865151968643,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,914,914,0.4937626015409977,0.4866638880001798,1.0,1.0,0.0891750877952211,0.5986594350672969,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,914,914,0.4934515271416722,0.48666388971823016,1.0,1.0,0.08917508612121383,0.5985909995910699,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,914,29,-0.49316466936090414,0.48866559097884016,1.0,1.0,0.11266738106399632,0.5985490156866823,False,True,True,90.0,selected
diff__seed__strength,selection_committee_prior,0.0,914,29,0.49316466936090414,0.48866559097884016,1.0,1.0,0.11266738106399632,0.5985490156866823,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,914,914,0.4927117740244062,0.48635014145656186,1.0,1.0,0.08683311019843276,0.5983713337765817,False,True,True,8.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,914,914,0.4927117740244062,0.48635014145656186,1.0,1.0,0.08683311019843276,0.5983713337765817,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,914,914,0.49237867922096223,0.48635014015570405,1.0,1.0,0.08683310952345935,0.5982980523224112,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,914,530,0.4935229163842023,0.48725023373847576,1.0,1.0,0.11806245390899683,0.597732655642633,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,914,914,0.4865808359068854,0.4839476404487706,1.0,1.0,0.06239146524250694,0.5968469927052243,False,True,True,9.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,914,914,0.4865808359068854,0.4839476404487706,1.0,1.0,0.06239146524250694,0.5968469927052243,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,914,914,0.4862960448077829,0.48394764319529215,1.0,1.0,0.06239146041407989,0.5967843401748892,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,914,914,0.48000283945623023,0.47973554204788765,1.0,1.0,0.07423202120910344,0.5929044040149926,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,914,914,0.47661081624698765,0.48181133473761883,1.0,1.0,0.08491914274879636,0.5927270545384424,False,True,True,10.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,914,914,0.47648032994560685,0.4818113368473951,1.0,1.0,0.08491914584546167,0.5926983484409647,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,914,914,0.4717545551429041,0.4768332957179023,1.0,1.0,0.05781183659476058,0.5903535106122416,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,914,914,0.47578227934794937,0.46899033036317206,1.0,1.0,0.10178431044499525,0.5857160876130717,False,True,True,11.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,914,914,0.47578227934794937,0.46899033036317206,1.0,1.0,0.10178431044499525,0.5857160876130717,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,914,914,0.47548543500823226,0.4689903309056297,1.0,1.0,0.10178431210301742,0.5856507820523926,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_z,dynamic_ratings,0.0,914,914,0.46761229912758145,0.4709344699986029,1.0,1.0,0.11480563282947787,0.5843310260942182,False,True,True,79.0,selected
diff__rating__elo_standard,dynamic_ratings,0.0,914,914,0.4670641247625464,0.4709344715342626,1.0,1.0,0.11480562414333162,0.584210428818473,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,914,662,0.4618571873545387,0.46436546999723904,1.0,1.0,0.06676809912528181,0.581833282851662,False,True,True,51.0,selected
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,914,635,0.45942984931166453,0.46291719406920984,1.0,1.0,0.057025723823172836,0.58099379104886,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,914,634,0.4524663199281672,0.4665817119095633,1.0,1.0,0.07567173781969244,0.5804749425879994,False,True,True,12.0,selected
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,914,36,0.464631120507012,0.46016781150566277,1.0,1.0,0.10594363744976032,0.5788616505362704,False,True,True,55.0,selected
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,914,631,0.45653888254362357,0.4591025061604823,1.0,1.0,0.05451319664270471,0.5786272292509205,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__pct,within_season_normalization,0.0,914,632,0.4535504737718731,0.4556345684409622,1.0,1.0,0.07876120082617871,0.5753352490484267,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_percentile,global_strength_ratings,0.0,914,632,0.4535504737718731,0.4556345684409622,1.0,1.0,0.07876120082617871,0.5753352490484267,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,914,839,0.45848336086358155,0.45437273137566137,1.0,1.0,0.09409634026676561,0.5752013968396347,False,True,True,27.0,selected
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,914,636,0.4530330702198929,0.4551934188301579,1.0,1.0,0.07691749114843682,0.5750834168409148,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,914,636,0.4530330702198929,0.4551934188301579,1.0,1.0,0.07691749114843682,0.5750834168409148,False,True,True,13.0,selected
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,914,634,0.44836016390430816,0.45569867007869824,1.0,1.0,0.07226111543539093,0.5744841530793073,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,914,634,0.44836016390430816,0.45569867007869824,1.0,1.0,0.07226111543539093,0.5744841530793073,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,914,699,0.4496172323469432,0.451842750774596,1.0,1.0,0.0785618849590829,0.5726578360897703,False,True,True,14.0,selected
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,914,699,0.4496172323469432,0.451842750774596,1.0,1.0,0.0785618849590829,0.5726578360897703,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,914,914,0.44606907491738457,0.45464689270084147,1.0,1.0,0.09736310833076034,0.572471180644998,False,True,True,52.0,selected
diff__rating__pagerank_binary,global_strength_ratings,0.0,914,914,0.4442544400166733,0.45464689123446467,1.0,1.0,0.09736310674074172,0.5720719603265815,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,914,914,0.4566113427356137,0.44764719648060436,1.0,1.0,0.08716605284228085,0.5718385075988339,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,914,914,0.4566113427356137,0.44764719648060436,1.0,1.0,0.08716605284228085,0.5718385075988339,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,914,3,0.4412679309990714,0.45327114188917306,1.0,1.0,0.0768061054023284,0.5715768487105056,False,True,True,91.0,selected
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,914,913,-0.4299373004658331,0.4608753965036083,1.0,1.0,0.12481125291060419,0.5708139463077911,False,True,True,56.0,selected
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,914,638,0.4475070987058934,0.44559236063377605,1.0,1.0,0.07701328029028776,0.5692553636078975,False,True,True,15.0,selected
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,914,638,0.4475070987058934,0.44559236063377605,1.0,1.0,0.07701328029028776,0.5692553636078975,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,914,653,0.44767850777266627,0.4419017606860576,1.0,1.0,0.038867212256867734,0.5690474283490194,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,914,914,0.4483316848218553,0.44503190054684083,1.0,1.0,0.09586359464580751,0.5684137391374595,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,914,914,0.4483316848218553,0.44503190054684083,1.0,1.0,0.09586359464580751,0.5684137391374595,False,True,True,53.0,selected
diff__rating__pagerank_margin,global_strength_ratings,0.0,914,914,0.44774475497099164,0.44503189810480853,1.0,1.0,0.09586359267965577,0.56828461347674,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,914,678,0.44585408782689057,0.4386561465200822,1.0,1.0,0.0699677644222359,0.565844139074666,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,914,914,0.45060371707056796,0.4399475272052641,1.0,1.0,0.12351865498610282,0.5653668846146076,False,True,True,80.0,selected
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,914,914,0.45060371707056796,0.4399475272052641,1.0,1.0,0.12351865498610282,0.5653668846146076,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,914,914,0.4505435125860085,0.439947525641611,1.0,1.0,0.12351866108763015,0.5653536386333899,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,914,641,0.43231052205578785,0.4383762006561421,1.0,1.0,0.04940551339506205,0.563552670631419,False,True,True,81.0,selected
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,914,914,0.4480054087613075,0.43517874470789714,1.0,1.0,0.12667425922620779,0.5623800170182299,False,True,True,54.0,selected
diff__rating__bt_c0p25,global_strength_ratings,0.0,914,914,0.44774816582333044,0.4351787456411399,1.0,1.0,0.1266742656854647,0.5623234237614613,False,True,False,,correlation_pruned_or_cap
diff__conference__strength_max,conference_context,0.0,914,793,0.422488862155381,0.43732275428783274,1.0,1.0,0.13260464887952716,0.5575582857771624,False,True,True,95.0,selected
diff__schedule__oowp,schedule_and_accomplishment,0.0,914,914,0.4226323644702077,0.43194812472308497,1.0,1.0,0.06990960856984085,0.5575178357077328,False,True,True,57.0,selected
diff__compact__margin_mean,compact_performance,0.0,914,903,0.43653420179408864,0.4233170073860592,1.0,1.0,0.11556483316220273,0.5546070946135199,False,True,False,,correlation_pruned_or_cap
diff__norm__compact__margin_mean__z,within_season_normalization,0.0,914,912,0.43601693259821905,0.42331700775457604,1.0,1.0,0.11556483230200765,0.5544932956017244,False,True,False,,correlation_pruned_or_cap
diff__norm__compact__margin_trim02__z,within_season_normalization,0.0,914,912,0.43601693259821905,0.42331700775457604,1.0,1.0,0.11556483230200765,0.5544932956017244,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,914,914,0.437099717877305,0.42029688912190977,1.0,1.0,0.10352476288624823,0.5537634541960739,False,True,False,,correlation_pruned_or_cap
