Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
matchup__seed_diff,matchup_context,0.0,1485,29,-0.5383399895407477,0.5533524224025029,1.0,1.0,0.16568737375827525,0.6374164655018348,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1485,1485,0.47658120907934215,0.49438928076267047,1.0,1.0,0.13146995851511167,0.5968959224229325,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1485,926,0.480959956691779,0.48745253499659613,1.0,1.0,0.0728132076088619,0.596875878966203,True,True,True,2.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1485,1193,0.4572849746066948,0.4719888320290583,1.0,1.0,0.1360642080763127,0.5817147654643684,True,True,True,4.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1485,1453,0.4491170000101449,0.4722482304353682,1.0,1.0,0.1324605237667011,0.5801864696605405,True,True,True,3.0,selected
context__women,matchup_context,0.0,1485,2,0.031770329073643216,0.0,0.0,1.0,0.0,0.10698947239620152,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1485,1485,0.5590941305765894,0.5713862541057134,1.0,1.0,0.1361011122645207,0.6518220662070113,False,True,True,61.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1485,1485,0.5516330101656824,0.571386250604848,1.0,1.0,0.1361011172708556,0.6501806178359429,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1485,848,0.5464421309569353,0.5613450409586608,1.0,1.0,0.17905305145853412,0.6425007664123416,False,True,True,67.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1485,848,0.5454279008813885,0.5580911771227595,1.0,1.0,0.18080713371276225,0.6406456178643195,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,1485,29,-0.5383399895407477,0.5533524224025029,1.0,1.0,0.16568737375827525,0.6374164655018348,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,1485,29,0.5383399895407477,0.5533524224025029,1.0,1.0,0.16568737375827525,0.6374164655018348,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1485,1485,0.5323041786572282,0.541318842993232,1.0,1.0,0.10518086509208469,0.6327327293376581,False,True,True,28.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1485,1485,0.5317248088341779,0.5413188417818129,1.0,1.0,0.10518086821093309,0.632605267270352,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1485,1485,0.5390429845422181,0.539552533044657,1.0,1.0,0.14585286135348474,0.6317405580065839,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1485,1485,0.5390429845422181,0.539552533044657,1.0,1.0,0.14585286135348474,0.6317405580065839,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1485,1485,0.5295093557568259,0.5395525334005822,1.0,1.0,0.1458528584177896,0.6296431599620695,False,True,True,62.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1485,1485,0.539041576343876,0.5316662091158352,1.0,1.0,0.13362187792935176,0.6284440520540795,False,True,True,13.0,selected
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1485,1485,0.539041576343876,0.5316662091158352,1.0,1.0,0.13362187792935176,0.6284440520540795,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1485,1485,0.5254356922263801,0.5339854847664672,1.0,1.0,0.12772297189452064,0.6267999661019271,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1485,1485,0.5308221235951164,0.5316662093295426,1.0,1.0,0.13362187725643704,0.6266357725788485,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1485,1485,0.5286014457775857,0.5318851991647321,1.0,1.0,0.12629027622773048,0.626545602621031,False,True,True,29.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1485,1485,0.5286014457775857,0.5318851991647321,1.0,1.0,0.12629027622773048,0.626545602621031,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1485,1485,0.5268156233200564,0.5318851989053491,1.0,1.0,0.12629027654800395,0.6261527215430598,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1485,1485,0.5293758873250262,0.5302036928078614,1.0,1.0,0.12671645204056564,0.6258918096776566,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,1485,44,0.5181423057018302,0.5355674341124791,1.0,1.0,0.1377766872975515,0.6255526081364905,False,True,True,77.0,selected
diff__rating__colley,global_strength_ratings,0.0,1485,1485,0.5286619246090796,0.5300161921034869,1.0,1.0,0.1294815691843063,0.625534132856299,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,1485,1485,0.5286529367948051,0.5300161913370887,1.0,1.0,0.12948157173209507,0.6255321550673758,False,True,True,30.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,1485,1485,0.5286529367948051,0.5300161913370887,1.0,1.0,0.12948157173209507,0.6255321550673758,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1485,1485,0.5274624591035498,0.530203693807413,1.0,1.0,0.12671645184663838,0.6254708559564736,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1485,1485,0.5146871112052402,0.5306964941502839,1.0,1.0,0.10612596083803577,0.6237204432237676,False,True,True,31.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,1485,1485,0.5141353745263719,0.530696497002026,1.0,1.0,0.10612596338796737,0.6235990624212556,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,1485,1311,0.5088398184409203,0.527516134250383,1.0,1.0,0.12873605289320367,0.6200030623814582,False,True,True,38.0,selected
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1485,1485,0.5190438330295584,0.5185147416626671,1.0,1.0,0.13685575036701275,0.6176024892499025,False,True,True,32.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,1485,1485,0.5190438330295584,0.5185147416626671,1.0,1.0,0.13685575036701275,0.6176024892499025,False,True,False,,correlation_pruned_or_cap
