Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,315,180,0.6313144564045562,0.630294471026053,1.0,1.0,0.008894135389478142,0.7010747610859287,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,315,180,0.6314242969773116,0.6291017672432645,1.0,1.0,0.005801807650912982,0.700650121305739,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,315,24,-0.6239643588851055,0.6216009799958313,1.0,1.0,0.00628687870793565,0.6953891542044047,False,True,True,6.0,selected
diff__seed__strength,selection_committee_prior,0.0,315,24,0.6239643588851055,0.6216009799958313,1.0,1.0,0.00628687870793565,0.6953891542044047,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,315,3,0.5386159259904856,0.5748536517392742,1.0,1.0,0.08844548074727587,0.6508874373228674,False,True,True,7.0,selected
diff__seed__top8,selection_committee_prior,0.0,315,3,0.5251118781307147,0.5345414604754748,1.0,1.0,0.08048251119711392,0.6288852137691006,False,True,True,8.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,315,36,0.03947702637022095,0.0194470994907478,1.0,1.0,0.07603562989566334,0.2749781283611811,False,True,True,2.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,315,6,-0.07051645163045012,0.09630261444211728,0.6,1.0,0.02530738516123418,0.256726578884466,False,True,True,3.0,selected
absdiff__seed__number,selection_committee_prior,0.0,315,13,-0.004728611386720633,0.1052095498909816,0.2,1.0,0.10532417019731681,0.17932791164485704,False,True,True,9.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,315,113,-0.0050208929010042555,0.09497211463425531,0.2,1.0,0.11340168471607293,0.17415514407402055,False,True,True,4.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,315,113,-0.00036866831442639616,0.090537910471991,0.2,1.0,0.1105257912479398,0.1711182724058119,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_gap_games,prequential_seed_priors,0.022222222222222223,308,46,-0.012482210523666002,0.06504797745822645,0.2,1.0,0.07766341137801498,0.16108480126225685,False,True,True,5.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,315,90,0.019530802826852014,0.049784362844415106,0.2,1.0,0.10579000211929004,0.1559616707024551,False,True,True,10.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,315,90,0.019530802826852014,0.049784362844415106,0.2,1.0,0.10579000211929004,0.1559616707024551,False,True,False,,correlation_pruned_or_cap
seedprior__gap_games,prequential_seed_priors,0.0,315,42,-0.01882393917938757,0.047219974451293015,0.2,1.0,0.07902369956814789,0.15564590637336,False,True,True,11.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.022222222222222223,308,61,0.002221572514882033,0.0343968718151499,0.2,1.0,0.05396549248035218,0.14506284694755417,False,True,True,12.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,315,43,-0.013090639825653469,0.017315674851981978,0.2,1.0,0.030536544501555043,0.14197000291053294,False,True,True,13.0,selected
seedprior__history_games,prequential_seed_priors,0.0,315,5,-0.04532742807473366,0.0,0.0,1.0,0.0,0.10997203417644141,False,True,True,14.0,selected
