Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,847,490,0.49858231525331653,0.5274217642751469,1.0,1.0,0.12520960679839555,0.6178421719358643,False,True,True,1.0,selected
diff__seed__number,selection_committee_prior,0.0,847,29,-0.49845838336031423,0.5220375117028367,1.0,1.0,0.0971371394867388,0.6163533643771613,False,True,True,8.0,selected
diff__seed__strength,selection_committee_prior,0.0,847,29,0.49845838336031423,0.5220375117028367,1.0,1.0,0.0971371394867388,0.6163533643771613,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,847,490,0.4969803310297681,0.5242582404616318,1.0,1.0,0.12367836056791559,0.6160324938254156,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,847,3,0.44322952930625215,0.45993310550389993,1.0,1.0,0.0833464234597115,0.5749445301508589,False,True,True,9.0,selected
diff__seed__top8,selection_committee_prior,0.0,847,3,0.40923178484103395,0.3953993239946186,1.0,1.0,0.07445291799772386,0.5368445514625354,False,True,True,10.0,selected
diff__seed__playin,selection_committee_prior,0.0,847,3,-0.10091353127506425,0.12998877418150556,0.8461538461538461,1.0,0.02817528972578766,0.31885319228322073,False,True,True,11.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,847,99,0.058754013206867475,0.08089868881250913,0.6923076923076923,1.0,0.10261991956216426,0.2584216875222594,False,True,True,2.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.0448642266824085,809,111,-0.07140936602292602,0.1283411394582117,0.5384615384615384,1.0,0.1594566632383691,0.2535002489547041,False,True,True,3.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,847,81,-0.06290305662040044,0.12597018626257953,0.38461538461538464,1.0,0.1908519657931647,0.22820874476926123,False,True,True,4.0,selected
absdiff__seed__number,selection_committee_prior,0.0,847,15,-0.02424698100631384,0.06496710027988009,0.5384615384615384,1.0,0.07703119677549283,0.21959114223855794,False,True,True,12.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,847,248,0.03367872070478433,0.08972698612491732,0.38461538461538464,1.0,0.09963630976761303,0.20803128104276988,False,True,True,5.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,847,248,0.03367872070478433,0.08972698612491732,0.38461538461538464,1.0,0.09963630976761303,0.20803128104276988,False,True,False,,correlation_pruned_or_cap
seedprior__generic_gender_games,prequential_seed_priors,0.0,847,14,0.028876755513861343,0.1111111111111111,0.23076923076923078,1.0,0.20409442332395153,0.1884455195365017,False,True,True,6.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,847,350,0.0026113783119292096,0.06685212879766993,0.07692307692307693,1.0,0.12261733037329013,0.1400665241442667,False,True,True,7.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,847,350,-0.0006680583150032277,0.05753999321846155,0.07692307692307693,1.0,0.11492030994122851,0.13547704948420541,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_gap_games,prequential_seed_priors,0.0448642266824085,809,115,-0.005066268685536481,0.054344191179768936,0.07692307692307693,1.0,0.08734657907409646,0.1324244818872429,False,True,True,13.0,selected
seedprior__gap_games,prequential_seed_priors,0.0,847,111,0.004663509862854534,0.04133854840276523,0.07692307692307693,1.0,0.07615278596307057,0.1301300562723248,False,True,True,14.0,selected
seedprior__history_games,prequential_seed_priors,0.0,847,13,0.021707770923064834,0.0,0.0,1.0,0.0,0.10477570960307427,False,True,True,15.0,selected
