Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,378,215,0.6408847848786343,0.6319231530774303,1.0,1.0,0.051232118014245875,0.7022684814298962,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,378,215,0.6409420689231718,0.6305909105448966,1.0,1.0,0.049141243926654865,0.7017252424675819,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,378,25,-0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,False,True,True,6.0,selected
diff__seed__strength,selection_committee_prior,0.0,378,25,0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,378,3,0.5477826016220518,0.5819963070479157,1.0,1.0,0.07189804868012417,0.656994477792646,False,True,True,7.0,selected
diff__seed__top8,selection_committee_prior,0.0,378,3,0.5241810996786691,0.5292294204678218,1.0,1.0,0.06301790340166186,0.6268292476177951,False,True,True,8.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,378,7,-0.0802258567388698,0.10869624218311899,0.6666666666666666,1.0,0.046652720726737235,0.2746244425680456,False,True,True,2.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,378,42,0.0024833165596970007,0.056466338557063143,0.6666666666666666,1.0,0.065288595133718,0.2317052950118416,False,True,True,3.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,378,135,-0.030701083206457997,0.12302769450831333,0.3333333333333333,1.0,0.14489748088956048,0.21334496576716208,False,True,True,4.0,selected
absdiff__seed__number,selection_committee_prior,0.0,378,14,-0.02692539211378061,0.12083609704586531,0.3333333333333333,1.0,0.12644185875906722,0.21220057183001773,False,True,True,9.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,378,135,-0.027209415901629924,0.12191515295234172,0.3333333333333333,1.0,0.14650527422054832,0.21197846727999398,False,True,False,,correlation_pruned_or_cap
seedprior__gap_games,prequential_seed_priors,0.0,378,52,-0.02815879374023929,0.07030227633544986,0.3333333333333333,1.0,0.1075674391916972,0.18897066302953403,False,True,True,5.0,selected
seedprior__pooled_gap_games,prequential_seed_priors,0.026455026455026454,368,55,-0.01017244926850688,0.04228418570777589,0.3333333333333333,1.0,0.06581459262303993,0.17111869549081354,False,True,True,10.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,378,104,-0.021299797250657813,0.06447093783984809,0.0,1.0,0.10374621765614289,0.1314821568520261,False,True,True,11.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,378,104,-0.021299797250657813,0.06447093783984809,0.0,1.0,0.10374621765614289,0.1314821568520261,False,True,False,,correlation_pruned_or_cap
seedprior__exact_pair_games,prequential_seed_priors,0.0,378,47,-0.0317395029355425,0.027438576543128416,0.0,1.0,0.04753753707453725,0.1182517059035395,False,True,True,12.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.026455026455026454,368,69,0.00020466106248773544,0.026418057730633403,0.0,1.0,0.04318288137508454,0.10888197577304584,False,True,True,13.0,selected
seedprior__history_games,prequential_seed_priors,0.0,378,6,-0.010996743250068879,0.0,0.0,1.0,0.0,0.10241928351501516,False,True,True,14.0,selected
