Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,713,706,0.44488974443461643,0.4262834304115841,1.0,1.0,0.12687621489673018,0.5574167417773068,True,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,713,412,0.5047508836422254,0.5300781721385593,1.0,1.0,0.11912300934631959,0.6207177966539453,False,True,True,22.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,713,412,0.5064849839995154,0.5280136706969388,1.0,1.0,0.12102797879264016,0.6200321392627184,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,713,28,-0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,False,True,True,29.0,selected
diff__seed__strength,selection_committee_prior,0.0,713,28,0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,713,3,0.45931688797598613,0.4609928606081862,1.0,1.0,0.0655530966269306,0.579704164581569,False,True,True,30.0,selected
diff__compact__half_marginmean_first,compact_performance,0.0,713,665,0.4646765355984615,0.4554948236162775,1.0,1.0,0.07356195551029387,0.577923874947063,False,True,True,2.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,713,713,0.43530061282721255,0.43171541040414907,1.0,1.0,0.12136176468813997,0.5581350612284527,False,True,True,3.0,selected
diff__compact__margin_mean,compact_performance,0.0,713,706,0.44488974443461643,0.4262834304115841,1.0,1.0,0.12687621489673018,0.5574167417773068,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,713,713,0.444700283234797,0.4232049930037592,1.0,1.0,0.12284635438095942,0.5560586047782213,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp10p0,compact_performance,0.0,713,713,0.4306468669511362,0.42506946770612214,1.0,1.0,0.11795854653181803,0.5540573133669159,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp11p5,compact_performance,0.0,713,713,0.42592007331431386,0.4184268948452947,1.0,1.0,0.11486820384986901,0.5499525975008958,False,True,False,,correlation_pruned_or_cap
diff__compact__wins,compact_performance,0.0,713,30,0.4037394313375139,0.4162611652537803,1.0,1.0,0.10250133816280504,0.5445279806895553,False,True,True,4.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,713,707,0.43431665073882264,0.401477391091249,1.0,1.0,0.15059818193506003,0.5422348836089381,False,True,True,5.0,selected
diff__compact__margin_median,compact_performance,0.0,713,62,0.3884008412381982,0.42504640301276414,1.0,1.0,0.18357780183925781,0.5421273464449601,False,True,True,6.0,selected
diff__compact__pythag_exp13p91,compact_performance,0.0,713,713,0.41624811346384877,0.40508592568091295,1.0,1.0,0.10809201560289794,0.541692148664769,False,True,False,,correlation_pruned_or_cap
diff__compact__blowout_win10_rate,compact_performance,0.0,713,582,0.3963658291257732,0.40594279947394163,1.0,1.0,0.18124044585461274,0.5348034083209775,False,True,True,7.0,selected
diff__compact__home_margin_mean,compact_performance,0.0,713,702,0.40886432209022494,0.3937584071297062,1.0,1.0,0.14780094791233755,0.5330421483656149,False,True,True,8.0,selected
diff__seed__top8,selection_committee_prior,0.0,713,3,0.40133032714649075,0.38603729190392766,1.0,1.0,0.06787858425662768,0.5308754287158481,False,True,True,31.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,713,317,0.3884546185951937,0.3819449981380126,1.0,1.0,0.10222331678585561,0.5247046825257544,False,True,True,9.0,selected
diff__compact__margin_q25,compact_performance,0.0,713,125,0.3706702448805004,0.38396491829656726,1.0,1.0,0.19399403062309434,0.5180908534311386,False,True,True,10.0,selected
diff__compact__margin_q90,compact_performance,0.0,713,313,0.3909761758384514,0.3638416097160531,1.0,1.0,0.13163946881426036,0.5153931525955944,False,True,True,11.0,selected
