Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1355,888,0.6496925394238471,0.6856650009607617,1.0,1.0,0.10050922500710391,0.7280311901341279,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,1355,29,-0.646401136938992,0.6569376702548582,1.0,1.0,0.1567923712040521,0.7112666370007481,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.6695187246853648,0.6294439984526001,1.0,1.0,0.1990699666005653,0.7014644400240057,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1355,1329,0.6357226136034275,0.605423263739102,1.0,1.0,0.13835292853712688,0.684928024446038,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1355,1120,0.5664318450855372,0.5752419611826878,1.0,1.0,0.1430097673958035,0.6550107565906761,True,True,True,4.0,selected
context__women,matchup_context,0.0,1355,2,0.08346602001922772,0.0,0.0,1.0,0.0,0.1183625244042301,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1355,1355,0.749646691123123,0.6906431121672398,1.0,1.0,0.2070522519849215,0.7481488758079653,False,True,True,60.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1355,1355,0.7361563928754662,0.6906431099348103,1.0,1.0,0.20705225322071685,0.7451810090724829,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1355,1355,0.7144621768080144,0.6780146536047874,1.0,1.0,0.17279645742996008,0.7357168543308626,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1355,1355,0.7135646577295746,0.6780359685096958,1.0,1.0,0.17183693102700215,0.7355680123440803,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1355,1355,0.7292866837810266,0.6715992939779327,1.0,1.0,0.20248077711778256,0.7347115004565222,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1355,1355,0.7057120395310033,0.6780146508279964,1.0,1.0,0.1727964599977193,0.7337918226943502,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1355,1355,0.7046572595247905,0.6780359710535436,1.0,1.0,0.1718369350047434,0.7336083858009651,False,True,True,7.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1355,1355,0.7046572595247905,0.6780359710535436,1.0,1.0,0.1718369350047434,0.7336083858009651,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1355,1355,0.7183329777351095,0.6715993060907902,1.0,1.0,0.20248078375371326,0.7323016906751548,False,True,True,8.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1355,1355,0.7183329777351095,0.6715993060907902,1.0,1.0,0.20248078375371326,0.7323016906751548,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1355,1355,0.7298602998183931,0.6650468085523789,1.0,1.0,0.21331864915669407,0.7312589880989205,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1355,901,0.6507847270498426,0.6903493985030211,1.0,1.0,0.10554373435034581,0.7303186018584017,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,1355,1355,0.6942742849372758,0.6758229972780979,1.0,1.0,0.196390334904054,0.7292797679835256,False,True,False,,correlation_pruned_or_cap
