Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,646,487,0.4722601123955591,0.4865769631486512,1.0,1.0,0.04372790803031168,0.5957050507171631,True,True,True,1.0,selected
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,646,515,0.4744221649917111,0.48031974557089885,1.0,1.0,0.044376614130278436,0.5931512896069967,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,646,640,0.4507677924234663,0.4416013261328693,1.0,1.0,0.1413274379644961,0.56548445335836,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,646,482,0.422410313825182,0.4417884079114558,1.0,1.0,0.08922427863008658,0.5614197336938354,True,True,True,4.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,646,571,0.42038896830696904,0.41064555953050297,1.0,1.0,0.12194989900804071,0.5447174456418529,True,True,True,3.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,646,377,0.5179753011034124,0.5354855806292005,1.0,1.0,0.11314886648445893,0.6264616902853887,False,True,True,32.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,646,377,0.5160443046915876,0.5350531805404614,1.0,1.0,0.1113756935767295,0.6259002459485016,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,646,28,-0.5164360146516042,0.5266784903098876,1.0,1.0,0.09595238469145001,0.6225835031844409,False,True,True,39.0,selected
diff__seed__strength,selection_committee_prior,0.0,646,28,0.5164360146516042,0.5266784903098876,1.0,1.0,0.09595238469145001,0.6225835031844409,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,646,646,0.5136286525053038,0.5114682458954386,1.0,1.0,0.08476671741617342,0.6151123928843304,False,True,True,44.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,646,646,0.5135047732715832,0.5114682451362982,1.0,1.0,0.08476671488412713,0.6150851391898063,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,646,646,0.5100944185108255,0.506328080766415,1.0,1.0,0.10147143780540724,0.6111993933280445,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,646,646,0.5100634760313069,0.5063280803153976,1.0,1.0,0.10147144187815493,0.6111925856031521,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,646,646,0.5083272596077425,0.5066500146882217,1.0,1.0,0.09944379805684234,0.6110462522417761,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,646,646,0.5083025842713148,0.5066500158402234,1.0,1.0,0.09944380093925942,0.6110408241054262,False,True,True,6.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,646,646,0.5083025842713148,0.5066500158402234,1.0,1.0,0.09944380093925942,0.6110408241054262,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,646,646,0.5065947176897941,0.507302235035888,1.0,1.0,0.09890255190564046,0.6109998086327553,False,True,True,7.0,selected
diff__norm__rating__colley__z,within_season_normalization,0.0,646,646,0.5015331329569256,0.507867211233745,1.0,1.0,0.07921370569118236,0.6109450024150739,False,True,True,8.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,646,646,0.5015331329569256,0.507867211233745,1.0,1.0,0.07921370569118236,0.6109450024150739,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,646,646,0.5013280593572282,0.507867211025212,1.0,1.0,0.07921370417164347,0.6108998861838263,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,646,646,0.5035812751397608,0.5062429930228923,1.0,1.0,0.09859001935381656,0.609840916407583,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,646,646,0.5035812751397608,0.5062429930228923,1.0,1.0,0.09859001935381656,0.609840916407583,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,646,646,0.5034055999159592,0.5062429938578961,1.0,1.0,0.09859001336979506,0.6098022684985093,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,646,646,0.50084175682456,0.498211702910269,1.0,1.0,0.05727687315861152,0.6070357289719878,False,True,True,9.0,selected
diff__norm__schedule__rpi__z,within_season_normalization,0.0,646,646,0.48769474614875413,0.4995066811122437,1.0,1.0,0.08551050189599396,0.6036356310107631,False,True,True,10.0,selected
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,646,646,0.48478891630066745,0.48930897345712954,1.0,1.0,0.05051775034557554,0.599501158831746,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,646,495,0.4753886059637545,0.49087877384422196,1.0,1.0,0.039422631432656674,0.5986303994999462,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,646,487,0.4722601123955591,0.4865769631486512,1.0,1.0,0.04372790803031168,0.5957050507171631,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,646,646,0.47951388088125446,0.4874835695418872,1.0,1.0,0.1232900074990897,0.5945535668740183,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,646,646,0.47951388088125446,0.4874835695418872,1.0,1.0,0.1232900074990897,0.5945535668740183,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,646,646,0.4789890118192949,0.4874835679403692,1.0,1.0,0.12329001081078428,0.5944380947791907,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,646,646,0.49226410950271743,0.4780592465971927,1.0,1.0,0.09968961385550351,0.5937789579030303,False,True,True,11.0,selected
