Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,1048,1048,0.6270404554710737,0.6244169393679337,1.0,1.0,0.05679048988407531,0.6953974115048813,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1048,669,0.6088645960409397,0.615581430824029,1.0,1.0,0.07125582932395835,0.6865790647515824,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,1048,29,-0.5930641898493871,0.6028462491172083,1.0,1.0,0.10308243032319109,0.6757170241301975,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1048,1048,0.559078441433794,0.5495254997324913,1.0,1.0,0.09812141839985478,0.6428446402510363,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1048,1032,0.534285275055512,0.5452236704564741,1.0,1.0,0.12002361879068413,0.6344491775796928,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1048,844,0.529613535489363,0.5066291919809799,1.0,1.0,0.08706826693965103,0.6162142592809441,True,True,True,4.0,selected
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1048,1048,0.6233339581397843,0.6440890347249799,1.0,1.0,0.09154994711169617,0.702634209574275,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1048,1048,0.6232440867172181,0.6440890350736396,1.0,1.0,0.09154994045411469,0.7026144382949704,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1048,1048,0.6357810918507614,0.6364601882478191,1.0,1.0,0.0728524155955198,0.7024586339422999,False,True,True,82.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1048,1048,0.6353578841766293,0.6364601901054885,1.0,1.0,0.07285241542027243,0.702365529152682,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1048,1048,0.6222016806382717,0.6421840947553553,1.0,1.0,0.09479363632403537,0.7013409897700289,False,True,True,19.0,selected
