Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,189,189,0.7549254542190479,0.7615528535037343,1.0,1.0,0.022580854150131335,0.7907257354439777,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,189,24,-0.7261144917269327,0.7277312813961625,1.0,1.0,0.008421865463176914,0.7687193286315561,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,189,154,0.7197119178733585,0.7289867669961397,1.0,1.0,0.018755847176796014,0.7675000362032142,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,189,188,0.7089833377117801,0.7068987335899257,1.0,1.0,0.03468817690230719,0.7539001993436637,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,189,179,0.6262905813412546,0.6455977030344574,1.0,1.0,0.035616260142877665,0.7062461749459004,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,189,189,0.8456021397555727,0.8506725832098871,1.0,1.0,0.010851903977938115,0.8539212345278543,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,189,189,0.8451314707596621,0.8506725861457944,1.0,1.0,0.010851906249340848,0.8538176886671334,False,False,False,,below_bounded_prescreen
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,189,189,0.8232793270466818,0.8348966219526041,1.0,1.0,0.014277743255367459,0.8413007207573052,False,True,True,6.0,selected
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,189,189,0.8232793270466818,0.8348966219526041,1.0,1.0,0.014277743255367459,0.8413007207573052,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,189,189,0.8221864490017475,0.8348966180914559,1.0,1.0,0.014277740854208965,0.8410602858301148,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,189,189,0.8253839069191141,0.8321765159096484,1.0,1.0,0.014608774684937376,0.8404448361714388,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,189,189,0.8253839069191141,0.8321765159096484,1.0,1.0,0.014608774684937376,0.8404448361714388,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,189,189,0.8247376670036113,0.8321765160823452,1.0,1.0,0.014608777210429968,0.8403026633719031,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,189,189,0.8009251938114733,0.8198173925502312,1.0,1.0,0.023588919402139696,0.8287723342865495,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log,dynamic_ratings,0.0,189,189,0.8004998624738581,0.8198173940072501,1.0,1.0,0.023588918261127523,0.8286787621372838,False,False,False,,below_bounded_prescreen
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,189,189,0.8005764557979471,0.8172457206368762,1.0,1.0,0.024036297894766356,0.8274433142654583,False,True,True,19.0,selected
