Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,1115,755,0.46531471361735566,0.4769832921907678,1.0,1.0,0.05873404244992536,0.5889718555493897,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1115,727,0.4573316967692328,0.4598317394630629,1.0,1.0,0.060196560080345185,0.5789243458282876,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1115,1097,0.42783598398296313,0.4209789872602496,1.0,1.0,0.10607837591639285,0.5519506953245159,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,1115,731,0.41101836276799136,0.41152175435137156,1.0,1.0,0.07970748948577877,0.5447661823181853,True,True,True,4.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1115,906,0.41469892070132564,0.3995044427362751,1.0,1.0,0.0900514903833406,0.53939383545237,True,True,True,3.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1115,643,0.49492938294920175,0.5274217642751469,1.0,1.0,0.12520960679839555,0.617038526828959,False,True,True,39.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1115,643,0.49322459389563017,0.5242582404616318,1.0,1.0,0.12367836056791559,0.6152062316559052,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,1115,29,-0.4936146491296878,0.5220375117028367,1.0,1.0,0.11839548305851372,0.6144374091035524,False,True,True,46.0,selected
diff__seed__strength,selection_committee_prior,0.0,1115,29,0.4936146491296878,0.5220375117028367,1.0,1.0,0.11839548305851372,0.6144374091035524,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1115,1115,0.5081103253379017,0.5064375459749195,1.0,1.0,0.11096340179968028,0.6104357575703125,False,True,True,51.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1115,1115,0.508084235150072,0.506437545274714,1.0,1.0,0.11096340177084446,0.6104300173940448,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,1115,1115,0.4886230966269171,0.5015468022338618,1.0,1.0,0.07889998932543335,0.605083546757158,False,True,True,6.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,1115,1115,0.4886230966269171,0.5015468022338618,1.0,1.0,0.07889998932543335,0.605083546757158,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,1115,1115,0.4884071782332011,0.5015468031287896,1.0,1.0,0.07889998641053941,0.6050360452567017,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1115,1115,0.49326580908644346,0.4993604492529357,1.0,1.0,0.08840744927051586,0.604675195669606,False,True,True,7.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1115,1115,0.49326580908644346,0.4993604492529357,1.0,1.0,0.08840744927051586,0.604675195669606,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1115,1115,0.49302158979491134,0.4993604488612656,1.0,1.0,0.08840745142097972,0.6046214671514488,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1115,1115,0.4966813893756492,0.4962846822923247,1.0,1.0,0.08223824345851438,0.604197023424618,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1115,1115,0.4897480682621085,0.4940372623483211,1.0,1.0,0.0819853721507185,0.6016030460588292,False,True,True,8.0,selected
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1115,1115,0.4928228264240166,0.4912854503974089,1.0,1.0,0.09022934280657757,0.6006288642917768,False,True,True,9.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1115,1115,0.4928228264240166,0.4912854503974089,1.0,1.0,0.09022934280657757,0.6006288642917768,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1115,1115,0.49253949489953697,0.49128544984031386,1.0,1.0,0.09022934341099476,0.600566531064809,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1115,1115,0.49388193585224655,0.490875308177426,1.0,1.0,0.09558689360228206,0.6004506980685674,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1115,1115,0.49362683577821553,0.4908753117110433,1.0,1.0,0.09558689222105932,0.6003945778036659,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_z,dynamic_ratings,0.0,1115,1115,0.4670081448451974,0.49764633952226234,1.0,1.0,0.11088070054816868,0.5971768068147025,False,True,True,56.0,selected
diff__rating__elo_standard,dynamic_ratings,0.0,1115,1115,0.46658400298429337,0.4976463417057778,1.0,1.0,0.11088069654652599,0.5970834968134568,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1115,1115,0.47601370742949045,0.49011871283134123,1.0,1.0,0.09242908863525662,0.5962828342481213,False,True,True,10.0,selected
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,1115,1115,0.47344483353655104,0.47707990409540607,1.0,1.0,0.07199703850923944,0.5902763358034666,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1115,1115,0.4776757560694412,0.46972539357822896,1.0,1.0,0.10776585465967359,0.58624622106644,False,True,True,11.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,1115,1115,0.4776757560694412,0.46972539357822896,1.0,1.0,0.10776585465967359,0.58624622106644,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,1115,1115,0.47744814874001007,0.4697253908224053,1.0,1.0,0.10776585861703464,0.5861961459728754,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,1115,761,0.4643187406021791,0.4651571630535855,1.0,1.0,0.07481720176002016,0.5824328731277997,False,True,True,52.0,selected
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1115,732,0.460065419484803,0.4654109436475021,1.0,1.0,0.06381760463042407,0.5820589410522408,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1115,727,0.4573316967692328,0.4598317394630629,1.0,1.0,0.060196560080345185,0.5789243458282876,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1115,733,0.45294552693097606,0.46157838771623266,1.0,1.0,0.0860958027026178,0.5777618099205016,False,True,True,12.0,selected
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,1115,733,0.4476397873683829,0.4625128004267821,1.0,1.0,0.07936617008208896,0.577312250622616,False,True,True,13.0,selected
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,1115,733,0.4476397873683829,0.4625128004267821,1.0,1.0,0.07936617008208896,0.577312250622616,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,1115,729,0.45240283502203493,0.460065214829006,1.0,1.0,0.08383198191643859,0.5770066475461131,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,1115,1115,0.4438176874919316,0.46334142391190414,1.0,1.0,0.08134992902749494,0.5767897775648392,False,True,True,53.0,selected
diff__norm__rating__colley__pct,within_season_normalization,0.0,1115,726,0.4562084801263991,0.4559301023378929,1.0,1.0,0.06792424185542528,0.5764953450757794,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_percentile,global_strength_ratings,0.0,1115,726,0.4562084801263991,0.4559301023378929,1.0,1.0,0.06792424185542528,0.5764953450757794,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary,global_strength_ratings,0.0,1115,1115,0.4421873720113404,0.46334142337634926,1.0,1.0,0.08134992633126881,0.5764311080098917,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,1115,805,0.45054860454033524,0.46001003734036877,1.0,1.0,0.08968121124659817,0.5763382624723868,False,True,True,14.0,selected
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,1115,805,0.45054860454033524,0.46001003734036877,1.0,1.0,0.08968121124659817,0.5763382624723868,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,1115,1000,0.4599452638172477,0.4554948236162775,1.0,1.0,0.11717583902502432,0.5751384398146068,False,True,True,16.0,selected
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,1115,1115,0.4466979443913422,0.4609654714153358,1.0,1.0,0.12423541089131585,0.5745675576098038,False,True,True,54.0,selected
diff__rating__bt_c0p25,global_strength_ratings,0.0,1115,1115,0.44651459160135,0.46096547190062,1.0,1.0,0.12423541094792723,0.5745272202266776,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,1115,3,0.44426890176854106,0.45993310550389993,1.0,1.0,0.10414629137308762,0.5743411973760274,False,True,True,47.0,selected
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,1115,733,0.4479339328437867,0.45461252374463745,1.0,1.0,0.07063999009236627,0.5739338770193644,False,True,True,15.0,selected
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,1115,733,0.4479339328437867,0.45461252374463745,1.0,1.0,0.07063999009236627,0.5739338770193644,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,1115,1115,0.45120775735547725,0.4508789575093353,1.0,1.0,0.08531217432738336,0.5722751192495905,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1115,750,0.45118920959323044,0.4451427286047486,1.0,1.0,0.051378979658251334,0.57087497665446,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,1115,1115,0.45045977029517537,0.4486285874554335,1.0,1.0,0.09030401109450165,0.5708307109997666,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,1115,1115,0.45045977029517537,0.4486285874554335,1.0,1.0,0.09030401109450165,0.5708307109997666,False,True,True,55.0,selected
diff__rating__pagerank_margin,global_strength_ratings,0.0,1115,1115,0.4495791698776457,0.44862858364725694,1.0,1.0,0.09030401581431302,0.5706369768911929,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,1115,737,0.4359143312626812,0.4460000749264405,1.0,1.0,0.06312348047756045,0.5674562496233788,False,True,True,57.0,selected
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,1115,782,0.4458198028519726,0.4425902132565196,1.0,1.0,0.07974792969402383,0.5673337418028024,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,1115,1115,0.44249423003793076,0.4290162076802205,1.0,1.0,0.13483785248618546,0.5578829961954032,False,True,True,58.0,selected
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,1115,1115,0.4423615105621539,0.4290162110820721,1.0,1.0,0.13483785466815662,0.5578537994563422,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,1115,1115,0.4423615105621539,0.4290162110820721,1.0,1.0,0.13483785466815662,0.5578537994563422,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,1115,1115,0.42773954641885575,0.420059319432307,1.0,1.0,0.08705798499994899,0.5522488541396576,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,1115,1097,0.42783598398296313,0.4209789872602496,1.0,1.0,0.10607837591639285,0.5519506953245159,False,True,False,,correlation_pruned_or_cap
diff__norm__compact__margin_mean__z,within_season_normalization,0.0,1115,1112,0.42743867095203536,0.4209789899988341,1.0,1.0,0.10607837917791352,0.5518632876417716,False,True,False,,correlation_pruned_or_cap
diff__norm__compact__margin_trim02__z,within_season_normalization,0.0,1115,1112,0.42743867095203536,0.4209789899988341,1.0,1.0,0.10607837917791352,0.5518632876417716,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp11p5,compact_performance,0.0,1115,1115,0.41627712092458785,0.41779157119685767,1.0,1.0,0.09588165668808013,0.5482856545103778,False,True,True,17.0,selected
diff__rating__bt_c0p25_percentile,global_strength_ratings,0.0,1115,724,0.41583813535098957,0.4148172983268144,1.0,1.0,0.07364761951180948,0.5476507881936162,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp10p0,compact_performance,0.0,1115,1115,0.42028430287208096,0.41406933504580873,1.0,1.0,0.0978581508453617,0.5473015014200315,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp8p0,compact_performance,0.0,1115,1115,0.42382643259709135,0.4123684366164403,1.0,1.0,0.10426402913001126,0.547008103582051,False,True,False,,correlation_pruned_or_cap
diff__norm__conference__strength_mean__pct,within_season_normalization,0.0,1115,840,0.40170747755396585,0.41859539797948114,1.0,1.0,0.06901406709980468,0.5465408734080313,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_percentile,dynamic_ratings,0.0,1115,710,0.3993318092222332,0.42123032317653286,1.0,1.0,0.1470694358678415,0.5441607757189134,False,True,True,59.0,selected
diff__norm__detailed__all__net_rtg_ros__z,within_season_normalization,0.0,1115,1115,0.42640333457144824,0.40341359008250494,1.0,1.0,0.09393111868076254,0.5436900120980905,False,True,False,,correlation_pruned_or_cap
diff__norm__detailed__clean__net_rtg_ros__z,within_season_normalization,0.0,1115,1115,0.4255369137894662,0.40210182954679546,1.0,1.0,0.08924830302284753,0.5430570670952304,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.0,1115,1115,0.4029040799422488,0.4068924586146033,1.0,1.0,0.055099022857800495,0.5417433168079924,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp13p91,compact_performance,0.0,1115,1115,0.407610902482799,0.40508592568091295,1.0,1.0,0.08971899230789476,0.5405268831807383,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,1115,1099,0.4199949365827833,0.401477391091249,1.0,1.0,0.15352586464858164,0.5389669991860685,False,True,True,18.0,selected
diff__rating__elo_mov_538_preseason,dynamic_ratings,0.0,1115,1115,0.41072238067267386,0.4007968886672312,1.0,1.0,0.11309580750817988,0.538217598007932,False,True,True,60.0,selected
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,1115,1115,0.41185810752666563,0.4001924575945468,1.0,1.0,0.1136218397890319,0.5381562897096875,False,True,False,,correlation_pruned_or_cap
diff__norm__conference__strength_mean__z,within_season_normalization,0.0,1115,961,0.3959602896882092,0.39968838067793516,1.0,1.0,0.06374818331397919,0.5364117591242556,False,True,False,,correlation_pruned_or_cap
diff__norm__detailed__all__net_rtg_ros__pct,within_season_normalization,0.0,1115,769,0.39272966800956216,0.392270276341646,1.0,1.0,0.06871195613137726,0.5319417813608387,False,False,False,,below_bounded_prescreen
diff__norm__detailed__clean__net_rtg_ros__pct,within_season_normalization,0.0,1115,769,0.39185400534321313,0.392270276341646,1.0,1.0,0.06795191374628456,0.5317795372696456,False,False,False,,below_bounded_prescreen
diff__compact__home_margin_mean,compact_performance,0.0,1115,1075,0.3993665320341992,0.3937584071297062,1.0,1.0,0.13505432820815444,0.5314624993414566,False,True,True,19.0,selected
diff__norm__compact__margin_mean__pct,within_season_normalization,0.0,1115,822,0.390193771707441,0.3912310817608511,1.0,1.0,0.06865382342994053,0.530887396083648,False,False,False,,below_bounded_prescreen
diff__norm__compact__margin_trim02__pct,within_season_normalization,0.0,1115,822,0.390193771707441,0.3912310817608511,1.0,1.0,0.06865382342994053,0.530887396083648,False,False,False,,below_bounded_prescreen
diff__seed__top8,selection_committee_prior,0.0,1115,3,0.392031711203691,0.38603729190392766,1.0,1.0,0.09210413203123236,0.527860711297448,False,True,True,48.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,1115,834,0.39519172533603913,0.3812739770066258,1.0,1.0,0.12158478485564833,0.525090297142883,False,True,True,20.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,1115,380,0.3866789424488385,0.3819449981380126,1.0,1.0,0.08356218231515478,0.5250604791523843,False,True,True,21.0,selected
diff__compact__blowout_win10_rate,compact_performance,0.0,1115,829,0.37767431373751714,0.3878282236663791,1.0,1.0,0.15872629269281546,0.5228968446744031,False,True,True,22.0,selected
