Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
matchup__seed_diff,matchup_context,0.0,1355,29,-0.5345076439901866,0.5423247031035874,1.0,1.0,0.1650674377755627,0.6313048416565404,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1355,888,0.48079958584014704,0.48745253499659613,1.0,1.0,0.0702064043432622,0.596944869509468,True,True,True,2.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1355,1355,0.47550355365317704,0.49438928076267047,1.0,1.0,0.14118933350642526,0.5962700632295238,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1355,1329,0.4502177913763674,0.4722482304353682,1.0,1.0,0.13635881889346596,0.5802727119560389,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1355,1120,0.45228476947253443,0.45576520109696245,1.0,1.0,0.1390739795373795,0.5727069866290043,True,True,True,4.0,selected
context__women,matchup_context,0.0,1355,2,0.04208997270597478,0.0,0.0,1.0,0.0,0.10925979399531446,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1355,1355,0.554550769187933,0.5497039981912916,1.0,1.0,0.14609696726010285,0.640015209662761,False,True,True,61.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1355,1355,0.5474395068907087,0.5497040001042997,1.0,1.0,0.1460969752233101,0.6384507325570874,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1355,776,0.5419354302295487,0.55440379125372,1.0,1.0,0.18015900956755354,0.6381332540695841,False,True,True,67.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1355,776,0.5404841613646764,0.5520420269480673,1.0,1.0,0.18275472719757974,0.6365764993473979,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,1355,29,-0.5345076439901866,0.5423247031035874,1.0,1.0,0.1650674377755627,0.6313048416565404,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,1355,29,0.5345076439901866,0.5423247031035874,1.0,1.0,0.1650674377755627,0.6313048416565404,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1355,1355,0.535916593409116,0.5354889658307569,1.0,1.0,0.15376088016623896,0.6287859189421192,False,True,True,13.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1355,1355,0.535916593409116,0.5354889658307569,1.0,1.0,0.15376088016623896,0.6287859189421192,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1355,1355,0.5361737734911675,0.5314743596619689,1.0,1.0,0.14238979261272505,0.6273703311012929,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1355,1355,0.5361737734911675,0.5314743596619689,1.0,1.0,0.14238979261272505,0.6273703311012929,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1355,1355,0.526552034129515,0.5354889665724771,1.0,1.0,0.15376087967146235,0.6267257162764237,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1355,1355,0.5280648823840235,0.5318851991647321,1.0,1.0,0.13357567052398533,0.6261361429025971,False,True,True,14.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1355,1355,0.5280648823840235,0.5318851991647321,1.0,1.0,0.13357567052398533,0.6261361429025971,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1355,1355,0.5261922943962462,0.5318851989053491,1.0,1.0,0.1335756699109773,0.6257241734453026,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1355,1355,0.5279684151190829,0.5314743544901915,1.0,1.0,0.14238979221681913,0.6255651497928174,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1355,1355,0.5288274296575483,0.5302036928078614,1.0,1.0,0.13446867939225587,0.6254610598967438,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1355,1355,0.5268305437524985,0.530203693807413,1.0,1.0,0.13446867800517653,0.6250217455329008,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,1355,44,0.5125227147573739,0.5355674341124791,1.0,1.0,0.13433600550249186,0.6244539254005125,False,True,True,88.0,selected
diff__norm__rating__colley__z,within_season_normalization,0.0,1355,1355,0.5248663107057132,0.5217498121693354,1.0,1.0,0.12265577963429775,0.621004267011166,False,True,True,15.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,1355,1355,0.5248663107057132,0.5217498121693354,1.0,1.0,0.12265577963429775,0.621004267011166,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,1355,1355,0.524745186831024,0.5217498120773104,1.0,1.0,0.1226557821433164,0.6209776196142016,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1355,1355,0.5274732384329942,0.516916785130249,1.0,1.0,0.10733972702793926,0.6198705802366606,False,True,True,16.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1355,1355,0.5267290942561162,0.5169167827030455,1.0,1.0,0.10733973436722999,0.6197068670591183,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1355,1355,0.5206189165958484,0.5150377810337421,1.0,1.0,0.12511877785057957,0.6167495454332597,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1355,1355,0.5160843931972331,0.516663180699118,1.0,1.0,0.13021544594693252,0.6163282754010906,False,True,True,17.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,1355,1355,0.5160843931972331,0.516663180699118,1.0,1.0,0.13021544594693252,0.6163282754010906,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,1355,1355,0.5144809849163435,0.5166631810620019,1.0,1.0,0.13021544927579481,0.6159755256203248,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1355,1355,0.5111350651630353,0.5075174285967676,1.0,1.0,0.10966121445695254,0.6116716314840381,False,True,True,18.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,1355,1355,0.5106421204091764,0.5075174296786406,1.0,1.0,0.10966122121522803,0.611563183887157,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,1355,1211,0.5039775140343252,0.5105525542487425,1.0,1.0,0.13240637632196167,0.6106440240740695,False,True,True,38.0,selected
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,1355,935,0.48975711525084525,0.5089457320097485,1.0,1.0,0.08115055392351811,0.6087944945629244,False,True,True,62.0,selected
diff__rating__elo_standard_z,dynamic_ratings,0.0,1355,1355,0.5019616435898316,0.5063419341063946,1.0,1.0,0.14417638137186983,0.6077086347059576,False,True,True,77.0,selected
diff__rating__elo_standard,dynamic_ratings,0.0,1355,1355,0.5002618700918808,0.5063419304003823,1.0,1.0,0.14417637871240657,0.607334682863901,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,1355,1355,0.48263195385861557,0.5082287054676596,1.0,1.0,0.1503331131391773,0.6041154839478049,False,True,True,63.0,selected
diff__rating__bt_c0p25,global_strength_ratings,0.0,1355,1355,0.4818522042390415,0.5082287020399839,1.0,1.0,0.15033311735388277,0.6039439372176262,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,1355,988,0.4754284110102438,0.5055096163832093,1.0,1.0,0.10546117030242008,0.6030204194740972,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1355,901,0.4824913688989848,0.49258683152054444,1.0,1.0,0.06925450521054904,0.599819600079216,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__pct,within_season_normalization,0.0,1355,905,0.4793760477265661,0.49341515333698777,1.0,1.0,0.07178208362803479,0.5994307207564772,False,True,True,19.0,selected
diff__rating__colley_percentile,global_strength_ratings,0.0,1355,905,0.4793760477265661,0.49341515333698777,1.0,1.0,0.07178208362803479,0.5994307207564772,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,1355,1355,0.4853176359604562,0.49438928342843336,1.0,1.0,0.14118933690166535,0.5984291624808817,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,1355,1355,0.4853176359604562,0.49438928342843336,1.0,1.0,0.14118933690166535,0.5984291624808817,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1355,905,0.4749667148073561,0.48900403094468914,1.0,1.0,0.05443590771872858,0.59703717580232,False,True,True,20.0,selected
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1355,888,0.48079958584014704,0.48745253499659613,1.0,1.0,0.0702064043432622,0.596944869509468,False,True,False,,correlation_pruned_or_cap
matchup__team1_seed,matchup_context,0.0,1355,16,-0.475004152850898,0.495839556277986,1.0,1.0,0.14548803939020571,0.5966843790650225,False,True,True,7.0,selected
