Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
matchup__seed_diff,matchup_context,0.0,965,29,-0.536583432462589,0.5406706386972927,1.0,1.0,0.16568737375827525,0.630942766766139,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,965,672,0.47932637642446196,0.48745253499659613,1.0,1.0,0.08087530020641576,0.5961940076034912,True,True,True,2.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,965,965,0.475563751426057,0.4611710816665007,1.0,1.0,0.14146695767811945,0.5803274662065281,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,965,949,0.4520761374889079,0.45691922185415446,1.0,1.0,0.14386556939784717,0.57302335396164,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,965,829,0.44671876661874127,0.445314005170475,1.0,1.0,0.13721911855829882,0.566540086395619,True,True,True,4.0,selected
context__women,matchup_context,0.0,965,2,0.06625969234796165,0.0,0.0,1.0,0.0,0.11457713231655157,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,965,965,0.5483590221878684,0.5492968301913174,1.0,1.0,0.10573624169550933,0.6400720137053431,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,965,552,0.5414769793144466,0.55440379125372,1.0,1.0,0.16273788195369876,0.6387292399728158,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,965,965,0.5420700982015509,0.5492968317061765,1.0,1.0,0.10573624385398595,0.6386884510691465,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,965,552,0.5400608093979067,0.5520420269480673,1.0,1.0,0.16424432022929192,0.63722377819344,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,965,29,-0.536583432462589,0.5406706386972927,1.0,1.0,0.16568737375827525,0.630942766766139,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,965,29,0.536583432462589,0.5406706386972927,1.0,1.0,0.16568737375827525,0.630942766766139,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,965,43,0.5134083820248035,0.5375014606968486,1.0,1.0,0.13209127720956976,0.6256668940915613,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,965,965,0.5229219729915434,0.5318851991647321,1.0,1.0,0.13914129150705512,0.6247820779969286,False,True,True,13.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,965,965,0.5229219729915434,0.5318851991647321,1.0,1.0,0.13914129150705512,0.6247820779969286,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538,dynamic_ratings,0.0,965,965,0.5210062673562598,0.5318851989053491,1.0,1.0,0.1391412876425675,0.624360622787242,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,965,965,0.5240446633720228,0.5302036928078614,1.0,1.0,0.1368261880657336,0.6243145509669891,False,False,False,,below_bounded_prescreen
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,965,965,0.5316657154726988,0.525319683288875,1.0,1.0,0.12199694138799572,0.6242400277271339,False,True,True,14.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,965,965,0.5316657154726988,0.525319683288875,1.0,1.0,0.12199694138799572,0.6242400277271339,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,965,965,0.5219919941580579,0.530203693807413,1.0,1.0,0.1368261872783807,0.6238629642511957,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,965,965,0.5232562559991893,0.5253196799182548,1.0,1.0,0.12199693624684205,0.6223899452307102,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,965,965,0.5324609796632134,0.5189092208485345,1.0,1.0,0.13064828715831306,0.6209919100468709,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,965,965,0.5324609796632134,0.5189092208485345,1.0,1.0,0.13064828715831306,0.6209919100468709,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,965,965,0.5228381717473202,0.5217498121693354,1.0,1.0,0.11344772473351805,0.6209263986363507,False,True,True,15.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,965,965,0.5228381717473202,0.5217498121693354,1.0,1.0,0.11344772473351805,0.6209263986363507,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,965,965,0.5223076049937198,0.5217498120773104,1.0,1.0,0.11344772204323306,0.620809674013998,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,965,965,0.5245381253731478,0.5189092219119034,1.0,1.0,0.1306482859634338,0.6192488826612688,False,True,True,25.0,selected
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,965,965,0.5183336124287293,0.5150377810337421,1.0,1.0,0.11412525808832585,0.6166865193069836,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,965,965,0.514462803355784,0.516663180699118,1.0,1.0,0.11626431939351217,0.6165295706981087,False,True,True,16.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,965,965,0.514462803355784,0.516663180699118,1.0,1.0,0.11626431939351217,0.6165295706981087,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,965,965,0.5120639613933775,0.5166631810620019,1.0,1.0,0.11626431782837082,0.6160018257031691,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,965,965,0.5258457551599816,0.5023888497001918,1.0,1.0,0.08976886213900825,0.6132419595057277,False,True,True,17.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,965,965,0.5248928345488247,0.5023888501210434,1.0,1.0,0.0897688652823373,0.6130323170475487,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,965,965,0.5035648865602139,0.5075174285967676,1.0,1.0,0.08912578171493885,0.6108276095010979,False,True,True,18.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,965,965,0.5023519791313651,0.5075174296786406,1.0,1.0,0.08912578193400245,0.6105607703772876,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,965,700,0.48633744218914543,0.5089457320097485,1.0,1.0,0.07144093793649481,0.6084305511288314,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,965,884,0.5054558736089977,0.5041749575959199,1.0,1.0,0.1213247364221498,0.6083512823831351,False,True,True,39.0,selected
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,965,965,0.4834951138751404,0.5126175180473608,1.0,1.0,0.14443676276306994,0.6066478632047412,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25,global_strength_ratings,0.0,965,965,0.48205452393347764,0.5126175145082814,1.0,1.0,0.14443676736532862,0.6063309315347271,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,965,730,0.47422397743630984,0.5055096163832093,1.0,1.0,0.11067560699703205,0.6025468666200473,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_z,dynamic_ratings,0.0,965,965,0.4947523356038518,0.4988186997014203,1.0,1.0,0.14997256430955802,0.6022795871171468,False,False,False,,below_bounded_prescreen
diff__rating__elo_standard,dynamic_ratings,0.0,965,965,0.49365581380762324,0.4988187013339618,1.0,1.0,0.14997255764752676,0.6020383533720777,False,False,False,,below_bounded_prescreen
diff__norm__rating__colley__pct,within_season_normalization,0.0,965,673,0.48213383148744404,0.49341515333698777,1.0,1.0,0.06915728368072305,0.6001424251817629,False,True,True,19.0,selected
diff__rating__colley_percentile,global_strength_ratings,0.0,965,673,0.48213383148744404,0.49341515333698777,1.0,1.0,0.06915728368072305,0.6001424251817629,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,965,680,0.4810217301917458,0.49258683152054444,1.0,1.0,0.07747547883100192,0.5991674406188053,False,False,False,,below_bounded_prescreen
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,965,672,0.48034099177463246,0.48989783960010236,1.0,1.0,0.07358425707091032,0.5978826109156319,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,965,672,0.48034099177463246,0.48989783960010236,1.0,1.0,0.07358425707091032,0.5978826109156319,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,965,680,0.4726667151557449,0.48900403094468914,1.0,1.0,0.04952273239542171,0.5967277028918978,False,True,True,20.0,selected
