Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,567,567,0.7477431062388037,0.7615528535037343,1.0,1.0,0.04516170830026278,0.7882423847223188,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,567,25,-0.744793582555036,0.7605953597239855,1.0,1.0,0.03623365911852061,0.7874910144648801,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,567,338,0.7333302573349174,0.7363484209504556,1.0,1.0,0.0415989577115734,0.7731159403614376,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,567,563,0.7051148759039523,0.7068987335899257,1.0,1.0,0.06208065408618724,0.7519534386585863,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,567,442,0.6453830076297039,0.6574104488381082,1.0,1.0,0.01968204409807306,0.7167539953569039,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,567,567,0.8380881390585252,0.8523318600333875,1.0,1.0,0.021703812498681585,0.8526305309089541,False,True,True,55.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,567,567,0.8369379489611266,0.8523318619526709,1.0,1.0,0.02170380795587623,0.8523774901904948,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,567,567,0.8139512297016215,0.8299802185369265,1.0,1.0,0.029217554420859826,0.836291073255247,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,567,567,0.8128377928215961,0.829980219020164,1.0,1.0,0.029217549369874862,0.8360461175756349,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,567,567,0.8128377928215961,0.829980219020164,1.0,1.0,0.029217549369874862,0.8360461175756349,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,567,567,0.8129230576383799,0.8291154443721753,1.0,1.0,0.028555481708417818,0.835676266710751,False,True,True,6.0,selected
