Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,835,626,0.6535362946677362,0.6856650009607617,1.0,1.0,0.09086561768337953,0.7292625605807324,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,835,29,-0.6461987883309828,0.6516552331748756,1.0,1.0,0.12291587289284778,0.7100416104410426,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,835,835,0.6516947280431903,0.6020920670257182,1.0,1.0,0.17691959779264743,0.6853002484301407,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,835,823,0.6197086443679892,0.5881693334690672,1.0,1.0,0.13287081238524157,0.6733423493307003,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,835,740,0.569182891773342,0.5752419611826878,1.0,1.0,0.11161035479659293,0.6568719633659617,True,True,True,4.0,selected
context__women,matchup_context,0.0,835,2,0.07177847315871451,0.0,0.0,1.0,0.0,0.11579126409491719,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,835,835,0.730131210906208,0.6686455924617809,1.0,1.0,0.10685692847697081,0.7373044736419418,False,True,True,62.0,selected
diff__rating__elo_mov_log,dynamic_ratings,0.0,835,835,0.70685798504507,0.6780146536047874,1.0,1.0,0.1546808847786607,0.7347685550490669,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,835,835,0.7185946863734433,0.6686455973008096,1.0,1.0,0.10685692682868253,0.7347664406333988,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,835,835,0.705458659018184,0.6756910101210477,1.0,1.0,0.15359784195674975,0.7333886761638334,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,835,835,0.6994984083006133,0.6780146508279964,1.0,1.0,0.15468089085224834,0.7331494465894832,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,835,636,0.6556780636612951,0.6907698957395173,1.0,1.0,0.09178083565535156,0.7321474905342391,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,835,835,0.6979054103244259,0.6756910144599718,1.0,1.0,0.15359784226784867,0.7317269635214462,False,True,True,7.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,835,835,0.6979054103244259,0.6756910144599718,1.0,1.0,0.15359784226784867,0.7317269635214462,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,835,835,0.6863000472868982,0.6762249918808759,1.0,1.0,0.13661668558471307,0.7301093390825495,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,835,835,0.6824590781752191,0.6762249921462424,1.0,1.0,0.1366166876507472,0.7292643259227146,False,True,True,8.0,selected
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,835,626,0.6535362946677362,0.6856650009607617,1.0,1.0,0.09086561768337953,0.7292625605807324,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,835,835,0.6879065337010853,0.6679075210200909,1.0,1.0,0.137286531803558,0.7264435862317401,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,835,835,0.7109307349145523,0.655411704454024,1.0,1.0,0.11989670857220636,0.7262065114762447,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,835,835,0.6846234175112713,0.6679075197843894,1.0,1.0,0.13728653041971794,0.7257213001321979,False,True,True,9.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,835,835,0.6846234175112713,0.6679075197843894,1.0,1.0,0.13728653041971794,0.7257213001321979,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,835,835,0.6801006642389069,0.6702340772588384,1.0,1.0,0.14805699780437143,0.7254122233046271,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,835,835,0.7121629130987146,0.6532578901395456,1.0,1.0,0.13924419062357807,0.7246698605237559,False,True,True,25.0,selected
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,835,835,0.701018474214316,0.655411704445874,1.0,1.0,0.11989671627781695,0.7240258138100564,False,True,True,10.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,835,835,0.701018474214316,0.655411704445874,1.0,1.0,0.11989671627781695,0.7240258138100564,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,835,835,0.7044733413203798,0.6532578882289805,1.0,1.0,0.13924419109936126,0.7229781537964197,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,835,835,0.7044733413203798,0.6532578882289805,1.0,1.0,0.13924419109936126,0.7229781537964197,False,True,False,,correlation_pruned_or_cap
diff__schedule__rpi,schedule_and_accomplishment,0.0,835,835,0.6701498418835229,0.6620121048695495,1.0,1.0,0.13849639913720502,0.7196589195862706,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,835,835,0.6668332351527773,0.6620121005547319,1.0,1.0,0.13849640646264327,0.7189292637413766,False,True,True,11.0,selected
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,835,650,0.6574703140468039,0.6640559326177982,1.0,1.0,0.12013887426261194,0.7185847617763355,False,True,True,63.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,835,480,0.6508588486126958,0.6615572893629297,1.0,1.0,0.09355973179386967,0.7169940563172446,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,835,835,0.6824239362427531,0.6490996234840507,1.0,1.0,0.13011878656623588,0.7164963337831006,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,835,480,0.6521886506997774,0.6592845073086162,1.0,1.0,0.09484507475388515,0.7161442636719314,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,835,835,0.6764898186365373,0.6490996224340416,1.0,1.0,0.13011878709430802,0.7151908273846058,False,True,True,12.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,835,835,0.6764898186365373,0.6490996224340416,1.0,1.0,0.13011878709430802,0.7151908273846058,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,835,634,0.6416217759216059,0.6557398739587901,1.0,1.0,0.11013299282747335,0.7115066104898735,False,True,True,13.0,selected
interaction__strength_gap_squared_signed,matchup_interactions,0.0,835,835,0.6382694135864031,0.6597136823906103,1.0,1.0,0.1500426800963316,0.7110801313326484,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__pct,within_season_normalization,0.0,835,622,0.6453345765683608,0.6520939157913065,1.0,1.0,0.1029623888072122,0.710860190872578,False,True,True,14.0,selected
diff__rating__colley_percentile,global_strength_ratings,0.0,835,622,0.6453345765683608,0.6520939157913065,1.0,1.0,0.1029623888072122,0.710860190872578,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,835,626,0.6354780091221917,0.6559832096916781,1.0,1.0,0.10181735005596348,0.7106044086566491,False,True,True,15.0,selected
diff__seed__number,selection_committee_prior,0.0,835,29,-0.6461987883309828,0.6516552331748756,1.0,1.0,0.12291587289284778,0.7100416104410426,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,835,29,0.6461987883309828,0.6516552331748756,1.0,1.0,0.12291587289284778,0.7100416104410426,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,835,607,0.6433323154575615,0.6456583967970224,1.0,1.0,0.1164797759073628,0.7067899488269398,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,835,607,0.6433323154575615,0.6456583967970224,1.0,1.0,0.1164797759073628,0.7067899488269398,False,True,True,16.0,selected
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,835,619,0.6446441126921173,0.6394206224732196,1.0,1.0,0.09017889176098892,0.7051364479089717,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,835,619,0.6446441126921173,0.6394206224732196,1.0,1.0,0.09017889176098892,0.7051364479089717,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,835,617,0.6395019844533643,0.6439834466284493,1.0,1.0,0.1271724871852239,0.7047155914739869,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,835,617,0.6395019844533643,0.6439834466284493,1.0,1.0,0.1271724871852239,0.7047155914739869,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25,global_strength_ratings,0.0,835,835,0.6422957298018257,0.6404276211310403,1.0,1.0,0.14428684075038967,0.7029388450692854,False,True,True,64.0,selected
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,835,835,0.6370241371121108,0.6404276229054745,1.0,1.0,0.14428683948314935,0.7017790955799662,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,835,835,0.6399126992579413,0.637686979883544,1.0,1.0,0.14558788405824918,0.7010470288185182,False,True,True,69.0,selected
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,835,835,0.6399126992579413,0.637686979883544,1.0,1.0,0.14558788405824918,0.7010470288185182,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard,dynamic_ratings,0.0,835,835,0.6694210157048847,0.6222544120210348,1.0,1.0,0.13671806739011072,0.7004860185295669,False,True,True,70.0,selected
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,835,835,0.6349330794387835,0.6376869819725093,1.0,1.0,0.14558787973323584,0.6999515136340073,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_z,dynamic_ratings,0.0,835,835,0.6621135504169547,0.6222544164723159,1.0,1.0,0.1367180681795933,0.698878378271258,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,835,690,0.6133563606801737,0.6378133338074019,1.0,1.0,0.10493814846744642,0.6968912736384933,False,True,True,17.0,selected
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,835,690,0.6133563606801737,0.6378133338074019,1.0,1.0,0.10493814846744642,0.6968912736384933,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,835,662,0.606651709548809,0.6226641482699233,1.0,1.0,0.10401184090583249,0.6881816936340679,False,True,False,,correlation_pruned_or_cap
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,835,834,-0.615580546541075,0.6121854399956808,1.0,1.0,0.06824465000813373,0.6865469454366379,False,True,True,79.0,selected
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,835,43,0.6452368280277236,0.6049220230796806,1.0,1.0,0.17264895763392762,0.6854087149389887,False,True,True,80.0,selected
