Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,252,203,0.5319350940486198,0.549576261020964,1.0,1.0,0.0419633333383308,0.6391437926472259,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,252,252,0.5405093939540638,0.5450929190087335,1.0,1.0,0.08535083203339233,0.6371426345127504,True,True,True,4.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,252,235,0.5244291980453347,0.5416055730845212,1.0,1.0,0.06299002496901818,0.6328254976517831,True,True,True,3.0,selected
diff__compact__margin_trim02,compact_performance,0.0,252,250,0.5006163560184486,0.5038420292914764,1.0,1.0,0.07950474996497947,0.6087995823853681,True,True,True,2.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,252,252,0.6446746546859331,0.6517333220391616,1.0,1.0,0.0711015265404964,0.711816357548083,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,252,252,0.6444332244533924,0.6517333184275316,1.0,1.0,0.07110152884050724,0.7117632410713411,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,252,141,0.6300745873871636,0.6319231530774303,1.0,1.0,0.028380874938469636,0.7008042877048037,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,252,141,0.6297810507898058,0.6305909105448966,1.0,1.0,0.027895899671565805,0.700119632248445,False,False,False,,below_bounded_prescreen
diff__seed__number,selection_committee_prior,0.0,252,24,-0.6239268426858926,0.6234150977203579,1.0,1.0,0.0096418341892468,0.6961174789290983,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,252,24,0.6239268426858926,0.6234150977203579,1.0,1.0,0.0096418341892468,0.6961174789290983,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,252,252,0.6139680763569585,0.6184364056855116,1.0,1.0,0.08361252713455891,0.688577950442194,False,False,False,,below_bounded_prescreen
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,252,252,0.6135167368827973,0.6184364054302383,1.0,1.0,0.08361252860825052,0.6884786555763996,False,True,True,5.0,selected
