Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,315,313,0.5079023744281025,0.5259919881297572,1.0,1.0,0.04777392365363159,0.6223037197303207,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,315,180,0.6313144564045562,0.630294471026053,1.0,1.0,0.008894135389478142,0.7010747610859287,False,True,True,17.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,315,180,0.6314242969773116,0.6291017672432645,1.0,1.0,0.005801807650912982,0.700650121305739,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,315,24,-0.6239643588851055,0.6216009799958313,1.0,1.0,0.00628687870793565,0.6953891542044047,False,True,True,22.0,selected
diff__seed__strength,selection_committee_prior,0.0,315,24,0.6239643588851055,0.6216009799958313,1.0,1.0,0.00628687870793565,0.6953891542044047,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,315,302,0.5941432287357301,0.5796212975308903,1.0,1.0,0.06169367678902504,0.6664619860651269,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,315,3,0.5386159259904856,0.5748536517392742,1.0,1.0,0.08844548074727587,0.6508874373228674,False,True,True,23.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,315,296,0.5449953232674166,0.5550135605544155,1.0,1.0,0.02524593786254159,0.6452956426704495,False,True,True,3.0,selected
diff__compact__margin_q90,compact_performance,0.0,315,236,0.54063753783735,0.5394302652978417,1.0,1.0,0.03093356629045252,0.6366294430155629,False,True,True,4.0,selected
diff__seed__top8,selection_committee_prior,0.0,315,3,0.5251118781307147,0.5345414604754748,1.0,1.0,0.08048251119711392,0.6288852137691006,False,True,True,24.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,315,312,0.5216455580381595,0.5260088433121453,1.0,1.0,0.0482224812858601,0.6253173683067904,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,315,313,0.5079023744281025,0.5259919881297572,1.0,1.0,0.04777392365363159,0.6223037197303207,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,315,315,0.5054719152592557,0.5216379086821578,1.0,1.0,0.04720904446398355,0.6197016557459126,False,True,False,,correlation_pruned_or_cap
diff__compact__half_winpct_first,compact_performance,0.0,315,148,0.5035170488119652,0.5037342375612766,1.0,1.0,0.045469296322003694,0.610747412915165,False,True,True,5.0,selected
diff__compact__margin_q75,compact_performance,0.0,315,144,0.502471833201108,0.48952062690396064,1.0,1.0,0.030773679750601357,0.6042827570281208,False,True,True,6.0,selected
diff__compact__points_for_mean,compact_performance,0.0,315,312,0.4613004790995906,0.5015490291502656,1.0,1.0,0.051348302188507666,0.600175707306497,False,True,True,7.0,selected
diff__compact__home_margin_mean,compact_performance,0.044444444444444446,301,299,0.5053372160890919,0.4870807103517404,1.0,1.0,0.05185136488123343,0.5993433183576307,False,True,True,8.0,selected
