Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,713,713,0.4780887496785066,0.48615524491051415,1.0,1.0,0.07016717841517944,0.5957273553497111,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,713,518,0.4598292319200555,0.4857013913007062,1.0,1.0,0.05386465385985645,0.5921445126923569,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,713,713,0.4621205466905165,0.4573843717200805,1.0,1.0,0.13769615169524863,0.5757031726297422,True,True,True,4.0,selected
diff__compact__margin_trim02,compact_performance,0.0,713,706,0.44488974443461643,0.4262834304115841,1.0,1.0,0.12687621489673018,0.5574167417773068,True,True,True,2.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,713,617,0.4164664845868271,0.38981119005740517,1.0,1.0,0.10783336415764483,0.5344186632703506,True,True,True,3.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,713,412,0.5047508836422254,0.5300781721385593,1.0,1.0,0.11912300934631959,0.6207177966539453,False,True,True,60.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,713,412,0.5064849839995154,0.5280136706969388,1.0,1.0,0.12102797879264016,0.6200321392627184,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,713,28,-0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,False,True,True,67.0,selected
diff__seed__strength,selection_committee_prior,0.0,713,28,0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,713,713,0.5077864414806809,0.5064375459749195,1.0,1.0,0.09736053956802082,0.6109086176109904,False,True,True,72.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,713,713,0.5077305300886717,0.506437545274714,1.0,1.0,0.09736053777522868,0.6108963168403613,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,713,713,0.4951795290498393,0.5015468022338618,1.0,1.0,0.0757351317515289,0.6066525561931572,False,True,True,18.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,713,713,0.4951795290498393,0.5015468022338618,1.0,1.0,0.0757351317515289,0.6066525561931572,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,713,713,0.4949581870835706,0.5015468031287896,1.0,1.0,0.07573512887140327,0.6066038615053484,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,713,713,0.4971504153175024,0.4993604492529357,1.0,1.0,0.10143230146463766,0.6050088149526741,False,True,True,19.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,713,713,0.4971504153175024,0.4993604492529357,1.0,1.0,0.10143230146463766,0.6050088149526741,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,713,713,0.4969159673391514,0.4993604488612656,1.0,1.0,0.10143229709520707,0.6049572363842125,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,713,713,0.49996875859606454,0.4962846822923247,1.0,1.0,0.0995749529563576,0.6042267762731958,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,713,713,0.49996875859606454,0.4962846822923247,1.0,1.0,0.0995749529563576,0.6042267762731958,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,713,713,0.4994283755215742,0.4962846845877245,1.0,1.0,0.0995749528447778,0.604107893103063,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,713,713,0.49527860066921103,0.4940372623483211,1.0,1.0,0.06718072530732733,0.6034119490621274,False,True,True,20.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,713,713,0.49469411172275674,0.49403725826987266,1.0,1.0,0.0671807248759887,0.6032833595535058,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,713,713,0.4878047990007506,0.49333519448962554,1.0,1.0,0.0856362643701391,0.6006924985603798,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,713,713,0.48160187267820276,0.49149593362771976,1.0,1.0,0.10068424469268789,0.5978430903428025,False,True,True,21.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,713,713,0.48138862782310643,0.49149593765858585,1.0,1.0,0.1006842448672417,0.597796178402515,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,713,713,0.49767385065770875,0.48245246782293366,1.0,1.0,0.10243654873555941,0.5969679697502817,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,713,713,0.49738811716649617,0.48245246772541694,1.0,1.0,0.10243654784333311,0.596905108371096,False,True,False,,correlation_pruned_or_cap
diff__massey__system_wlk,massey_consensus,0.0,713,551,0.46920569229291603,0.4910592162569438,1.0,1.0,0.06347811136549897,0.5963945516531545,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,713,713,0.4962960632367125,0.48141483251571476,1.0,1.0,0.09922908195848945,0.5962950902412801,False,True,True,22.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,713,713,0.4962960632367125,0.48141483251571476,1.0,1.0,0.09922908195848945,0.5962950902412801,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,713,713,0.4959975279653017,0.48141483047109423,1.0,1.0,0.0992290837734503,0.5962294114275536,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,713,713,0.4779733389462987,0.48615523978724995,1.0,1.0,0.07016718099759273,0.5957019624261619,False,True,False,,correlation_pruned_or_cap
diff__massey__strength_trim05,massey_consensus,0.0,713,713,0.474771860632923,0.4866957695252129,1.0,1.0,0.0699976356332192,0.5952638732860164,False,True,False,,correlation_pruned_or_cap
diff__massey__system_sag,massey_consensus,0.0,713,521,0.4671630675820948,0.48968297511379333,1.0,1.0,0.07871485840092385,0.5946751085866446,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,713,520,0.46250143385740694,0.4891707161678994,1.0,1.0,0.051929871887112844,0.5944750643337368,False,True,False,,correlation_pruned_or_cap
diff__massey__system_pom,massey_consensus,0.0,713,564,0.4641098377840237,0.48851665929054255,1.0,1.0,0.07860641629764475,0.5934479041200399,False,True,True,6.0,selected
diff__massey__ordinal_max,massey_consensus,0.0,713,298,-0.4725360958584502,0.48733355305229464,1.0,1.0,0.11258887063762313,0.5933744917284556,False,True,True,7.0,selected
diff__massey__ordinal_mean,massey_consensus,0.0,713,710,-0.47209068981203167,0.4828775895401428,1.0,1.0,0.07360998729089252,0.5926967952462798,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,713,518,0.4598292319200555,0.4857013913007062,1.0,1.0,0.05386465385985645,0.5921445126923569,False,True,False,,correlation_pruned_or_cap
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,713,541,0.4678569394005897,0.4769832921907678,1.0,1.0,0.06781135872585509,0.5891680525706641,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,713,35,0.47431076125905874,0.4764238785746905,1.0,1.0,0.10117209588387038,0.5889849453574896,False,True,True,77.0,selected
diff__massey__system_mor,massey_consensus,0.0,713,557,0.4649957840348485,0.4792158946890733,1.0,1.0,0.09225592726757514,0.5886324648477188,False,True,True,8.0,selected
diff__massey__system_wol,massey_consensus,0.0,713,522,0.4658950943588329,0.477164359686241,1.0,1.0,0.07646412734915409,0.5884772483143728,False,True,True,9.0,selected
diff__massey__strength_median,massey_consensus,0.0,713,628,0.4697738310324667,0.4742737521956387,1.0,1.0,0.07230004883374264,0.5881096419276995,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,713,713,0.4857395585717575,0.46972539357822896,1.0,1.0,0.10934465854120856,0.5879571054616882,False,True,True,23.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,713,713,0.4857395585717575,0.46972539357822896,1.0,1.0,0.10934465854120856,0.5879571054616882,False,True,False,,correlation_pruned_or_cap
diff__massey__ordinal_median,massey_consensus,0.0,713,325,-0.469281212973887,0.47402790687594365,1.0,1.0,0.07283060947549375,0.5878620377756884,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,713,713,0.48513411347569524,0.4697253908224053,1.0,1.0,0.10934465906643798,0.58782390619675,False,True,False,,correlation_pruned_or_cap
diff__massey__system_dol,massey_consensus,0.0,713,538,0.4628969365549014,0.4771551444204548,1.0,1.0,0.08411835567835929,0.5875070611367622,False,True,False,,correlation_pruned_or_cap
diff__massey__system_rpi,massey_consensus,0.0,713,558,0.46586365772129273,0.4731489774434806,1.0,1.0,0.06095729953828716,0.5871632218900236,False,True,True,10.0,selected
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,713,713,0.46219555934993595,0.47864436255057835,1.0,1.0,0.13290011889181047,0.5861163123255911,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,713,713,0.46219555934993595,0.47864436255057835,1.0,1.0,0.13290011889181047,0.5861163123255911,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,713,713,0.46196029551735923,0.47864435898952645,1.0,1.0,0.1329001195907995,0.5860645525451597,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,713,523,0.46119470834523263,0.4727382804363912,1.0,1.0,0.07075989887347184,0.5855468144904801,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,713,523,0.46119470834523263,0.4727382804363912,1.0,1.0,0.07075989887347184,0.5855468144904801,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__pct,within_season_normalization,0.0,713,514,0.4639576402404574,0.4714026266055413,1.0,1.0,0.07275287041590495,0.5854338268069242,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_percentile,global_strength_ratings,0.0,713,514,0.4639576402404574,0.4714026266055413,1.0,1.0,0.07275287041590495,0.5854338268069242,False,True,False,,correlation_pruned_or_cap
diff__massey__system_col,massey_consensus,0.0,713,556,0.4643523565530777,0.4708102023536708,1.0,1.0,0.07286907041342966,0.585231652754902,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,713,519,0.45849219234025873,0.47158503610289393,1.0,1.0,0.06802150177838134,0.5845082395731107,False,True,True,24.0,selected
diff__massey__ordinal_std,massey_consensus,0.0,713,713,-0.46935543971921717,0.4660848532792028,1.0,1.0,0.08241203516731666,0.5836824449055524,False,True,True,11.0,selected
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,713,712,-0.44075091844130565,0.48178456824682075,1.0,1.0,0.12633042398561323,0.5831685778561366,False,True,True,78.0,selected
diff__massey__system_rth,massey_consensus,0.0,713,538,0.46844779739741077,0.46410581772192766,1.0,1.0,0.0821705326359351,0.5825424866285182,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,713,538,0.46385693230247166,0.4651571630535855,1.0,1.0,0.07852518519328278,0.5821829559645335,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,713,513,0.45608830435905684,0.4678044897674765,1.0,1.0,0.09601858416917453,0.5810448386806142,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,713,513,0.45608830435905684,0.4678044897674765,1.0,1.0,0.09601858416917453,0.5810448386806142,False,True,True,25.0,selected
diff__seed__top4,selection_committee_prior,0.0,713,3,0.45931688797598613,0.4609928606081862,1.0,1.0,0.0655530966269306,0.579704164581569,False,True,True,68.0,selected
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,713,518,0.45172247308276986,0.46622598865981096,1.0,1.0,0.09367260891465146,0.5794205142783325,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,713,518,0.45172247308276986,0.46622598865981096,1.0,1.0,0.09367260891465146,0.5794205142783325,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,713,665,0.4646765355984615,0.4554948236162775,1.0,1.0,0.07356195551029387,0.577923874947063,False,True,True,37.0,selected
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,713,564,0.45483068079417605,0.46001003734036877,1.0,1.0,0.09234778528480947,0.5771736562867033,False,True,True,26.0,selected
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,713,564,0.45483068079417605,0.46001003734036877,1.0,1.0,0.09234778528480947,0.5771736562867033,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,713,713,0.4590223325035688,0.46153004198641756,1.0,1.0,0.13642932643678918,0.5770621602467939,False,True,True,73.0,selected
diff__rating__bt_c0p25,global_strength_ratings,0.0,713,713,0.45864133028825527,0.4615300433430929,1.0,1.0,0.13642932841335087,0.5769783403315667,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,713,713,0.46306405961527874,0.45738437310923924,1.0,1.0,0.13769615200601332,0.5759107461275556,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,713,713,0.46306405961527874,0.45738437310923924,1.0,1.0,0.13769615200601332,0.5759107461275556,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,713,713,0.4418781849306415,0.46334142391190414,1.0,1.0,0.12987383115571727,0.5744221309162264,False,True,True,74.0,selected
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,713,529,0.45490129056444023,0.4496975970943804,1.0,1.0,0.04955251922635562,0.5739510297604251,False,False,False,,below_bounded_prescreen
diff__rating__pagerank_binary,global_strength_ratings,0.0,713,713,0.43969645618285463,0.46334142337634926,1.0,1.0,0.12987383436289568,0.5739421502063599,False,True,False,,correlation_pruned_or_cap
diff__massey__strength_iqr,massey_consensus,0.0,713,630,-0.4464430676648029,0.4516472086834899,1.0,1.0,0.06084614013465628,0.5725742894489455,False,True,True,12.0,selected
diff__massey__system_cng,massey_consensus,0.08976157082748948,649,527,0.44136783456103784,0.4702668678328965,1.0,1.0,0.09321810296917249,0.5719193703782525,False,True,True,13.0,selected
diff__rating__elo_standard_z,dynamic_ratings,0.0,713,713,0.466305784245807,0.4442226004749435,1.0,1.0,0.12739556118870882,0.570718298314502,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard,dynamic_ratings,0.0,713,713,0.46575432929215477,0.4442226013627474,1.0,1.0,0.12739555385427137,0.5705969789442219,False,True,False,,correlation_pruned_or_cap
diff__massey__system_bih,massey_consensus,0.08976157082748948,649,490,0.4353089123203711,0.46916454680490693,1.0,1.0,0.08780124588745397,0.5702739676751396,False,True,True,14.0,selected
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,713,713,0.44434828379804087,0.4486285874554335,1.0,1.0,0.11690477891263878,0.5684221532576715,False,False,False,,below_bounded_prescreen
