Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,981,966,0.4342307092310318,0.4209789872602496,1.0,1.0,0.10978387648873011,0.5532093148561976,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,981,567,0.49783466159565964,0.5274217642751469,1.0,1.0,0.1217208282188792,0.6178172392743604,False,True,True,25.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,981,567,0.49639097310589314,0.5242582404616318,1.0,1.0,0.12147804134027618,0.6159908478512687,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,981,29,-0.4959704023464183,0.5220375117028367,1.0,1.0,0.11328017092208398,0.6151602872966904,False,True,True,32.0,selected
diff__seed__strength,selection_committee_prior,0.0,981,29,0.4959704023464183,0.5220375117028367,1.0,1.0,0.11328017092208398,0.6151602872966904,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,981,893,0.46280715917163345,0.4554948236162775,1.0,1.0,0.09965100983737885,0.5764690499600774,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,981,3,0.4449242281388633,0.45993310550389993,1.0,1.0,0.08591207794352068,0.5752147377146811,False,True,True,33.0,selected
diff__compact__margin_winsor02,compact_performance,0.0,981,981,0.43456852972532245,0.420059319432307,1.0,1.0,0.09799900865266409,0.5533135895209718,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,981,966,0.4342307092310318,0.4209789872602496,1.0,1.0,0.10978387648873011,0.5532093148561976,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp11p5,compact_performance,0.0,981,981,0.4196239521463188,0.41779157119685767,1.0,1.0,0.07993738506925874,0.5496597282439114,False,True,True,3.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,981,981,0.42371125860431225,0.41406933504580873,1.0,1.0,0.08204534066169,0.5486879440884692,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp8p0,compact_performance,0.0,981,981,0.42732714951410034,0.4123684366164403,1.0,1.0,0.08390861643497693,0.5485924778115943,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp13p91,compact_performance,0.0,981,981,0.41076437290976814,0.40508592568091295,1.0,1.0,0.07570802732815174,0.541781085273861,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,981,969,0.425186875183879,0.401477391091249,1.0,1.0,0.15653421159034098,0.5399888918006391,False,True,True,4.0,selected
diff__seed__top8,selection_committee_prior,0.0,981,3,0.4035782189959902,0.3953993239946186,1.0,1.0,0.11439362918694712,0.5340031385290569,False,True,True,34.0,selected
diff__compact__home_margin_mean,compact_performance,0.0,981,949,0.40387730529750066,0.3937584071297062,1.0,1.0,0.13559868822881038,0.5324330950585567,False,True,True,5.0,selected
diff__compact__wins,compact_performance,0.0,981,32,0.3934133431494068,0.38332066510452223,1.0,1.0,0.08848223201454797,0.5270055654624582,False,True,True,6.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,981,748,0.39957200068645193,0.3812739770066258,1.0,1.0,0.12694540755520978,0.5258395328119915,False,True,True,7.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,981,364,0.3886262105353341,0.3819449981380126,1.0,1.0,0.09588259461509607,0.5249960616394157,False,True,True,8.0,selected
diff__compact__blowout_win10_rate,compact_performance,0.0,981,752,0.3807236244509573,0.3878282236663791,1.0,1.0,0.1712278256626057,0.5230676317125683,False,True,True,9.0,selected
diff__compact__margin_q75,compact_performance,0.0,981,141,0.39973664154503924,0.3755884705141304,1.0,1.0,0.17522509077249898,0.5212155233557912,False,True,True,10.0,selected
diff__compact__margin_median,compact_performance,0.0,981,71,0.3635865181136568,0.3858774011521421,1.0,1.0,0.1808733971891387,0.5179752506504671,False,True,True,11.0,selected
diff__compact__margin_q90,compact_performance,0.0,981,346,0.39390808291388807,0.3638416097160531,1.0,1.0,0.14821904257989987,0.5153749892015649,False,True,True,12.0,selected
diff__compact__downside_tail_mean,compact_performance,0.0,981,931,-0.3561103583655523,0.3516831065519783,1.0,1.0,0.09391151656506141,0.5033957093227686,False,True,True,13.0,selected
diff__compact__margin_slope,compact_performance,0.0,981,981,-0.3335748829125472,0.3600429100184219,1.0,1.0,0.11384231996957273,0.50165337825082,False,True,True,14.0,selected
diff__compact__win_pct,compact_performance,0.0,981,743,0.35187726570203876,0.349256236760219,1.0,1.0,0.14746571150435472,0.4991573636391794,False,True,True,15.0,selected
diff__compact__margin_q25,compact_performance,0.0,981,139,0.35755511167789994,0.34735660116601375,1.0,1.0,0.1564586786221544,0.49913494598393837,False,True,True,16.0,selected
