Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,441,247,0.6286362614068267,0.630294471026053,1.0,1.0,0.05437408852527925,0.6986663600609961,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,441,247,0.6281529888071818,0.6291017672432645,1.0,1.0,0.051728165492819334,0.6980933791946341,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,441,25,-0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,False,True,True,6.0,selected
diff__seed__strength,selection_committee_prior,0.0,441,25,0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,441,3,0.5365899076595781,0.5748536517392742,1.0,1.0,0.10068795072807218,0.6499520144908358,False,True,True,7.0,selected
diff__seed__top8,selection_committee_prior,0.0,441,3,0.5169760820444252,0.523917380460169,1.0,1.0,0.06894455074968786,0.6224572986406671,False,True,True,8.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,441,8,-0.11051920649907382,0.09630261444211728,0.6666666666666666,1.0,0.07925312103888346,0.27403602218712386,False,True,True,2.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,441,47,-0.0037042998550830147,0.07041500219806535,0.7142857142857143,1.0,0.06967539869714834,0.246112845361018,False,True,True,3.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,441,156,-0.04594349509730312,0.14938459292551387,0.42857142857142855,1.0,0.14915361345921685,0.24441745755871322,False,True,True,4.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,441,156,-0.04972345614945125,0.1466461240621175,0.42857142857142855,1.0,0.14611912202886315,0.24405596359296972,False,True,False,,correlation_pruned_or_cap
absdiff__seed__number,selection_committee_prior,0.0,441,14,-0.04209579184403421,0.13392503228785968,0.42857142857142855,1.0,0.13066419420948924,0.2368899505069092,False,True,True,9.0,selected
seedprior__gap_games,prequential_seed_priors,0.0,441,57,-0.01376311235053896,0.09338457821960672,0.14285714285714285,1.0,0.16190692234445464,0.16423334822589447,False,True,True,5.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,441,119,-0.021779153198191147,0.07915751283528108,0.14285714285714285,1.0,0.12953965854480773,0.16046257637988753,False,True,True,10.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,441,119,-0.021779153198191147,0.07915751283528108,0.14285714285714285,1.0,0.12953965854480773,0.16046257637988753,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_gap_games,prequential_seed_priors,0.022675736961451247,431,64,0.004299459115963088,0.06504797745822645,0.14285714285714285,1.0,0.12714491586510757,0.14812619745108302,False,True,True,11.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,441,54,-0.04834011175339987,0.03282730039744016,0.14285714285714285,1.0,0.04624655227357968,0.14739920954271893,False,True,True,12.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.022675736961451247,431,77,-0.018659939034632773,0.0343968718151499,0.14285714285714285,1.0,0.0467002138818778,0.1397907604038428,False,True,True,13.0,selected
seedprior__history_games,prequential_seed_priors,0.0,441,7,-0.0680548455560429,0.0,0.0,1.0,0.0,0.11497206602232944,False,True,True,14.0,selected
