Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1048,605,0.4918192683793307,0.48988457097584254,1.0,1.0,0.13080765323109161,0.5981125269826135,False,True,True,1.0,selected
diff__seed__number,selection_committee_prior,0.0,1048,29,-0.4906648581018423,0.48866559097884016,1.0,1.0,0.1234951247517388,0.5975659474621791,False,True,True,9.0,selected
diff__seed__strength,selection_committee_prior,0.0,1048,29,0.4906648581018423,0.48866559097884016,1.0,1.0,0.1234951247517388,0.5975659474621791,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1048,605,0.4902330538973357,0.48725023373847576,1.0,1.0,0.12927191898235563,0.596560507292588,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,1048,3,0.43749947148376933,0.45327114188917306,1.0,1.0,0.08857652804807126,0.5702769707113094,False,True,True,10.0,selected
diff__seed__top8,selection_committee_prior,0.0,1048,3,0.3946798814918912,0.3907183079492731,1.0,1.0,0.10404978676519844,0.5302123702732592,False,True,True,11.0,selected
diff__seed__playin,selection_committee_prior,0.0,1048,3,-0.11029409111819628,0.13205670510433248,0.875,1.0,0.043746874380557965,0.32590204352086044,False,True,True,12.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.05057251908396947,995,123,-0.06547220821468325,0.11616357284435111,0.5,1.0,0.1758589695033063,0.23908224046566903,False,True,True,2.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,1048,117,0.049535969671099155,0.07542872625020111,0.5,1.0,0.12265972067246132,0.2221973131008399,False,True,True,3.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,1048,17,0.02885904933127777,0.10435055920298222,0.375,1.0,0.14651169102424288,0.21057679162934284,False,True,True,4.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,1048,91,-0.05012923413460443,0.12661761929371446,0.25,1.0,0.21701887141668452,0.20312413391392853,False,True,True,5.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,1048,298,0.026687197389617775,0.08103449685553119,0.375,1.0,0.10018093660279327,0.20076050445225915,False,True,True,6.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,1048,298,0.026687197389617775,0.08103449685553119,0.375,1.0,0.10018093660279327,0.20076050445225915,False,True,False,,correlation_pruned_or_cap
absdiff__seed__number,selection_committee_prior,0.0,1048,15,-0.0067037600778190685,0.0841501798969048,0.375,1.0,0.12979524545362406,0.19667510374948954,False,True,True,13.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,1048,430,0.011145029989720242,0.09691014516937863,0.125,1.0,0.16067534260932992,0.162541762574667,False,True,True,7.0,selected
seedprior__pooled_gap_games,prequential_seed_priors,0.05057251908396947,995,143,-0.018437335966987316,0.06112169777310122,0.125,1.0,0.11037686421591303,0.14493375274847176,False,True,True,8.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,1048,430,0.008405012125276749,0.09611785392066019,0.0,1.0,0.16163693194381995,0.141520195271725,False,True,False,,correlation_pruned_or_cap
seedprior__gap_games,prequential_seed_priors,0.0,1048,134,0.0009405057413473893,0.04490211704031269,0.0,1.0,0.08749821207237304,0.11825999895955161,False,True,True,14.0,selected
seedprior__history_games,prequential_seed_priors,0.0,1048,16,-0.0006521395866780057,0.0,0.0,1.0,0.0,0.10014347070906916,False,True,True,15.0,selected
