Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1615,958,0.6500037550996366,0.6856650009607617,1.0,1.0,0.11209368933032171,0.7276362790098727,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,1615,29,-0.6448060226489681,0.6569376702548582,1.0,1.0,0.16369636829989787,0.7106395519731089,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1615,1615,0.671620080366402,0.6294439984526001,1.0,1.0,0.20283671174345275,0.7017760684681184,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1615,1580,0.636746631978609,0.605423263739102,1.0,1.0,0.19120332769146237,0.6830392925224045,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1615,1263,0.5709406645491697,0.5752419611826878,1.0,1.0,0.1461385754054183,0.6558775445522907,True,True,True,4.0,selected
context__women,matchup_context,0.0,1615,2,0.08536256159826532,0.0,0.0,1.0,0.0,0.11877976355161837,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1615,1615,0.7541854239635601,0.6906431121672398,1.0,1.0,0.2070522519849215,0.7491473970328615,False,True,True,60.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1615,1615,0.7371834875141894,0.6906431099348103,1.0,1.0,0.20705225322071685,0.7454069698930019,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1615,1615,0.7148605658246537,0.6780146536047874,1.0,1.0,0.1759261446355912,0.7356793124262981,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1615,1615,0.7330844987447589,0.6715992939779327,1.0,1.0,0.20248077711778256,0.7355470197485433,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1615,1615,0.7137022805067865,0.6780359685096958,1.0,1.0,0.17383409087875146,0.7355184029609969,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1615,1615,0.7038515430316118,0.6780146508279964,1.0,1.0,0.1759261487170366,0.7332573259157114,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1615,1615,0.7025646077779057,0.6780359710535436,1.0,1.0,0.1738340919070479,0.7330681161405582,False,True,True,7.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1615,1615,0.7025646077779057,0.6780359710535436,1.0,1.0,0.1738340919070479,0.7330681161405582,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1615,1615,0.7183199056630494,0.6715993060907902,1.0,1.0,0.20248078375371326,0.7322988148193016,False,True,True,8.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1615,1615,0.7183199056630494,0.6715993060907902,1.0,1.0,0.20248078375371326,0.7322988148193016,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1615,1615,0.7329195676430126,0.6650468085523789,1.0,1.0,0.21331864915669407,0.7319320270203369,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1615,1615,0.6896092497432664,0.6784699763964659,1.0,1.0,0.17689881256339313,0.7303036711112866,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1615,974,0.6512717121326212,0.6903493985030211,1.0,1.0,0.1132610397580881,0.7301170463603033,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,1615,1615,0.7000936057478631,0.6758229972780979,1.0,1.0,0.22381606726024328,0.7294629892676071,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1615,1615,0.6853528755383136,0.6784699701014661,1.0,1.0,0.17689881357620263,0.7293672657240846,False,True,True,9.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1615,1615,0.7194284435223223,0.6650468079342478,1.0,1.0,0.2133186458180244,0.7289639795506289,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1615,1615,0.7194284435223223,0.6650468079342478,1.0,1.0,0.2133186458180244,0.7289639795506289,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1615,1615,0.685863134010674,0.6761071786842722,1.0,1.0,0.1874919304343139,0.7279216580334263,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1615,958,0.6500037550996366,0.6856650009607617,1.0,1.0,0.11209368933032171,0.7276362790098727,False,True,False,,correlation_pruned_or_cap
