Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,780,780,0.632258683832614,0.6206225211312719,1.0,1.0,0.06556471145450471,0.6943731321280053,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,780,570,0.6087591679088972,0.615581430824029,1.0,1.0,0.10322523568234754,0.6852770943081974,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,780,29,-0.6040397306365839,0.6028462491172083,1.0,1.0,0.0904700260684671,0.6786361392735697,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,780,780,0.563036032260935,0.5495254997324913,1.0,1.0,0.09569977487235148,0.6438121759741074,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,780,772,0.5398831434921844,0.5452236704564741,1.0,1.0,0.12002361879068413,0.6356807086357608,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,780,678,0.540063412539799,0.5289291573838144,1.0,1.0,0.08560355862159968,0.6292758039581227,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,780,780,0.6375677259938721,0.6305890794401021,1.0,1.0,0.0728524155955198,0.7000335612260801,False,True,True,70.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,780,780,0.6369316561412913,0.6305890812520107,1.0,1.0,0.07285241542027243,0.6998936267352384,False,True,False,,correlation_pruned_or_cap
diff__massey__system_mor,massey_consensus,0.0,780,614,0.6255927548390694,0.6318621725158629,1.0,1.0,0.1005924201150381,0.6969005520676078,False,True,True,7.0,selected
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,780,780,0.6318620575407519,0.6206225230688469,1.0,1.0,0.06556470621194121,0.6942858754835343,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,780,780,0.6256402142479962,0.6249042393775752,1.0,1.0,0.08820871084224857,0.6940665336021054,False,True,True,19.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,780,780,0.6256402142479962,0.6249042393775752,1.0,1.0,0.08820871084224857,0.6940665336021054,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,780,780,0.6252431413153388,0.6249042383950845,1.0,1.0,0.0882087088716842,0.6939791771641477,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,780,780,0.6245873848956689,0.6263561795958222,1.0,1.0,0.10969509751279971,0.6936723869825299,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,780,780,0.624402153862116,0.6263561785770781,1.0,1.0,0.10969509869978378,0.6936316356186717,False,True,True,20.0,selected
diff__massey__strength_trim05,massey_consensus,0.0,780,780,0.6310832243653456,0.6181953015540129,1.0,1.0,0.06365495084661421,0.6930258560724376,False,True,False,,correlation_pruned_or_cap
