Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__seed__number,selection_committee_prior,0.0,780,29,-0.49513162520483583,0.48866559097884016,1.0,1.0,0.10396810689969038,0.5993297169389196,False,True,True,1.0,selected
diff__seed__strength,selection_committee_prior,0.0,780,29,0.49513162520483583,0.48866559097884016,1.0,1.0,0.10396810689969038,0.5993297169389196,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,780,452,0.4964744153172158,0.4901805241867385,1.0,1.0,0.13080765323109161,0.5992787168501783,False,True,True,6.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,780,452,0.49496632602423374,0.49016019957693957,1.0,1.0,0.12927191898235563,0.5989986107629682,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,780,3,0.4461323725367174,0.46046298305604305,1.0,1.0,0.08857652804807126,0.5756282927030556,False,True,True,2.0,selected
diff__seed__top8,selection_committee_prior,0.0,780,3,0.399925748385176,0.3907183079492731,1.0,1.0,0.06183191166125157,0.5330551759939398,False,True,True,3.0,selected
diff__seed__playin,selection_committee_prior,0.0,780,3,-0.09422336955568639,0.12798846592562396,0.8333333333333334,1.0,0.03140611326489484,0.31424069374928804,False,True,True,4.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,780,92,0.04649565597449526,0.07542872625020111,0.6666666666666666,1.0,0.06388881568880855,0.2505459469535998,False,True,True,7.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.041025641025641026,748,104,-0.05853757048137998,0.11616357284435111,0.5,1.0,0.16746838876110914,0.23865599363869647,False,True,True,8.0,selected
absdiff__seed__number,selection_committee_prior,0.0,780,15,-0.026428842897572167,0.07357068000609678,0.5,1.0,0.08470505217930338,0.2177400697532202,False,True,True,5.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,780,79,-0.05593049186520722,0.12661761929371446,0.3333333333333333,1.0,0.2235938736964625,0.21747074385680334,False,True,True,9.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,780,236,0.036823634255746265,0.09325231860426439,0.3333333333333333,1.0,0.1278185107340536,0.20108290537028228,False,True,True,10.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,780,236,0.036823634255746265,0.09325231860426439,0.3333333333333333,1.0,0.1278185107340536,0.20108290537028228,False,True,False,,correlation_pruned_or_cap
seedprior__generic_gender_games,prequential_seed_priors,0.0,780,13,0.02742798470497643,0.1111111111111111,0.16666666666666666,1.0,0.21234563468817702,0.17754033124756774,False,True,True,11.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,780,324,-0.004473715474619963,0.06853141400151241,0.16666666666666666,1.0,0.13424915941625148,0.15517599641515897,False,True,True,12.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,780,324,-0.0013848705992979913,0.07486706175105723,0.0,1.0,0.14041807036465692,0.13062413835776676,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_gap_games,prequential_seed_priors,0.041025641025641026,748,108,0.02363070541908332,0.04919761976329723,0.0,1.0,0.08415580992546588,0.12216532899951107,False,True,True,13.0,selected
seedprior__gap_games,prequential_seed_priors,0.0,780,102,0.026360256344634743,0.04023279526436807,0.0,1.0,0.09575011240463077,0.12128099362653108,False,True,True,14.0,selected
seedprior__history_games,prequential_seed_priors,0.0,780,12,0.03497824125749871,0.0,0.0,1.0,0.0,0.10769521307664973,False,True,True,15.0,selected
