Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,630,630,0.7515978141312654,0.7649026014880979,1.0,1.0,0.046010801560270265,0.7906643357607546,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,630,25,-0.7510255149387086,0.7630542521357151,1.0,1.0,0.03460359456977924,0.790107510528868,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,630,391,0.7421390918740407,0.7411884875302519,1.0,1.0,0.049352996362323154,0.777066954372317,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,630,625,0.7089722124364694,0.717489508187686,1.0,1.0,0.061921950174180895,0.7578919726591453,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,630,502,0.6471859393122369,0.6593023056720841,1.0,1.0,0.019949148227818236,0.7180480474421798,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,630,630,0.8394193096250974,0.8523534011574838,1.0,1.0,0.017626922536210565,0.8530968037716652,False,True,True,55.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,630,630,0.8384052317217527,0.852353400045004,1.0,1.0,0.01762691959543894,0.85287370621657,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,630,630,0.8158575088907435,0.8320060312318156,1.0,1.0,0.02950060095888296,0.8376715229088798,False,True,True,6.0,selected
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,630,630,0.816009620684819,0.8310783673096358,1.0,1.0,0.025092755784535292,0.8374360226279038,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,630,630,0.8145108033549043,0.8320060328939134,1.0,1.0,0.029500604282966303,0.8373752483558387,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,630,630,0.8145108033549043,0.8320060328939134,1.0,1.0,0.029500604282966303,0.8373752483558387,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,630,630,0.814999597801591,0.8310783674649062,1.0,1.0,0.025092752619002234,0.8372138177947449,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,630,630,0.814999597801591,0.8310783674649062,1.0,1.0,0.025092752619002234,0.8372138177947449,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,630,630,0.7991670198262004,0.81196386927852,1.0,1.0,0.04676652528602376,0.8236887406040128,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,630,630,0.7984648120704084,0.811963867789453,1.0,1.0,0.04676652748229748,0.8235342540951354,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,630,630,0.7985042940809937,0.8103166194709317,1.0,1.0,0.04856339609787197,0.8226803861999509,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,630,630,0.7978366902793232,0.810316619329539,1.0,1.0,0.04856339849055402,0.8225335132000077,False,True,True,24.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,630,630,0.7978366902793232,0.810316619329539,1.0,1.0,0.04856339849055402,0.8225335132000077,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,630,630,0.7896539566633213,0.7978682498851108,1.0,1.0,0.03077802993354395,0.8154695092134421,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,630,630,0.7885227753795827,0.7978682531519412,1.0,1.0,0.030778028882694652,0.8152206509411322,False,True,True,25.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,630,630,0.7885227753795827,0.7978682531519412,1.0,1.0,0.030778028882694652,0.8152206509411322,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,630,630,0.787385113671528,0.7967095530923209,1.0,1.0,0.031115752960476528,0.8144006803736311,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,630,630,0.7864524224985969,0.7967095534182421,1.0,1.0,0.03111575915867093,0.8141954882241007,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_z,global_strength_ratings,0.0,630,630,0.7864524224985969,0.7967095534182421,1.0,1.0,0.03111575915867093,0.8141954882241007,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,630,630,0.7755929496036827,0.7809362169760896,1.0,1.0,0.030376389489769173,0.8042647774817424,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,630,630,0.7754554578034184,0.78093622081919,1.0,1.0,0.030376389179564978,0.8042345311427807,False,True,True,26.0,selected
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,630,630,0.7720252640702819,0.7812734975592264,1.0,1.0,0.03941847744369076,0.8032800978261431,False,True,False,,correlation_pruned_or_cap
diff__schedule__rpi,schedule_and_accomplishment,0.0,630,630,0.7691551796026558,0.7692971003203797,1.0,1.0,0.059003656862966936,0.7961166013918479,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard,dynamic_ratings,0.0,630,630,0.7658553287073522,0.7698729991420608,1.0,1.0,0.04873518301005497,0.7960778045834044,False,True,True,60.0,selected
diff__norm__schedule__rpi__z,within_season_normalization,0.0,630,630,0.7684982869171546,0.7692971040884724,1.0,1.0,0.05900365928006435,0.7959720867130382,False,True,True,27.0,selected
diff__rating__elo_standard_z,dynamic_ratings,0.0,630,630,0.7650165541796996,0.7698729966265353,1.0,1.0,0.04873518302446744,0.7958932729792921,False,True,False,,correlation_pruned_or_cap
