Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.7487640874518783,0.7543236885600485,1.0,1.0,0.03748586369703999,0.7853040352003549,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,378,25,-0.739046430406053,0.7337598685476654,1.0,1.0,0.026374058019828728,0.7737399892714178,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,378,280,0.7236615122983012,0.7326675939732976,1.0,1.0,0.03723428412346741,0.7693966064478704,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,378,375,0.7050280043908446,0.6983066100053292,1.0,1.0,0.05632832714575886,0.7480402006827135,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,378,337,0.6282368094324142,0.6471621070392648,1.0,1.0,0.03539760738936071,0.7074340051584037,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,378,378,0.8425374910826388,0.8533707104669508,1.0,1.0,0.01762691959543894,0.8542711122784993,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,378,378,0.8422866281889423,0.8533707124701932,1.0,1.0,0.017626922536210565,0.8542159232858116,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,378,378,0.8166479424044872,0.8300443686699819,1.0,1.0,0.023842741524362276,0.837130134629604,False,True,True,6.0,selected
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,378,378,0.8166479424044872,0.8300443686699819,1.0,1.0,0.023842741524362276,0.837130134629604,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,0.8164826390485979,0.8300443672200598,1.0,1.0,0.023842736717011315,0.8370937673876397,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,378,378,0.8180770552861426,0.8273081306393093,1.0,1.0,0.02434735466257565,0.8361109606833168,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,378,378,0.8180770552861426,0.8273081306393093,1.0,1.0,0.02434735466257565,0.8361109606833168,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,378,378,0.8179674242964567,0.8273081321150179,1.0,1.0,0.024347357799308522,0.8360868424484567,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,378,378,0.793490393378141,0.7967244580175334,1.0,1.0,0.04927711290904624,0.8150245418752452,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,378,378,0.79332149190183,0.7967244593072735,1.0,1.0,0.04927711014590297,0.8149873842800578,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,378,378,0.7931705827366384,0.795529312658469,1.0,1.0,0.04954237763060165,0.8143699031729016,False,True,True,21.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,378,378,0.7931705827366384,0.795529312658469,1.0,1.0,0.04954237763060165,0.8143699031729016,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,378,378,0.7929939036427596,0.7955293087177183,1.0,1.0,0.0495423760577709,0.814331031943601,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,378,378,0.7767119808960774,0.7815811628925409,1.0,1.0,0.038019858109053284,0.8045147996611944,False,True,True,22.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,378,378,0.7767119808960774,0.7815811628925409,1.0,1.0,0.038019858109053284,0.8045147996611944,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,378,378,0.776489406372783,0.7815811612378948,1.0,1.0,0.038019859295161496,0.8044658324243953,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,378,378,0.7766404472681762,0.7796093693462828,1.0,1.0,0.03780597906077765,0.8035611565227834,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_z,global_strength_ratings,0.0,378,378,0.7766404472681762,0.7796093693462828,1.0,1.0,0.03780597906077765,0.8035611565227834,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,378,378,0.776451743220372,0.7796093712527755,1.0,1.0,0.037805976586854695,0.8035196426463399,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,378,358,0.7602261857213567,0.7808974733643118,1.0,1.0,0.049652064035161425,0.8000944655121618,False,True,True,26.0,selected
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,0.7650123207927997,0.7708953276455174,1.0,1.0,0.05314105217590315,0.7962068257572281,False,True,True,7.0,selected
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,378,378,0.7691449421284714,0.7670855567659789,1.0,1.0,0.033429102042462855,0.7960757904342352,False,True,True,23.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,378,378,0.7687986708987788,0.7670855567717436,1.0,1.0,0.03342910037122071,0.7959996108333195,False,False,False,,below_bounded_prescreen
diff__rating__elo_standard_z,dynamic_ratings,0.0,378,378,0.765239401848159,0.7627977616128665,1.0,1.0,0.05449359644048257,0.7923158501231515,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard,dynamic_ratings,0.0,378,378,0.7650783171344179,0.7627977566222188,1.0,1.0,0.05449359544432042,0.7922804091304642,False,True,False,,correlation_pruned_or_cap
interaction__strength_gap_squared_signed,matchup_interactions,0.0,378,378,0.7379531580123976,0.771967278612457,1.0,1.0,0.03348619055573865,0.7915545408744772,False,False,False,,below_bounded_prescreen
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,378,378,0.7615840634174099,0.7594676513818768,1.0,1.0,0.0403233331921542,0.7904800332874449,False,False,False,,below_bounded_prescreen
diff__norm__schedule__rpi__z,within_season_normalization,0.0,378,378,0.7581399011957336,0.7554093523871257,1.0,1.0,0.041851033932585824,0.7877132260515783,False,True,True,24.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,378,378,0.757884972479333,0.7554093509307981,1.0,1.0,0.04185103018382641,0.7876571411848833,False,False,False,,below_bounded_prescreen
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,378,378,0.7490490607803909,0.7543236861507753,1.0,1.0,0.037485863672689246,0.7853667281771505,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,378,378,0.7490490607803909,0.7543236861507753,1.0,1.0,0.037485863672689246,0.7853667281771505,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,378,378,0.7415063388285043,0.7456075372114416,1.0,1.0,0.05973748724371153,0.7786335129140145,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_preseason,dynamic_ratings,0.0,378,378,0.7404374822847702,0.7447546178207919,1.0,1.0,0.058425317798909804,0.7780414499446732,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,378,378,0.7372935793822738,0.741250384067704,1.0,1.0,0.037808630485943406,0.7764924265971604,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25,global_strength_ratings,0.0,378,378,0.7372264383565748,0.7412503845066958,1.0,1.0,0.03780863774356236,0.7764776554919179,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,378,289,0.7358709411569401,0.7409625738479283,1.0,1.0,0.03347764977748258,0.776214536510433,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,378,25,-0.739046430406053,0.7337598685476654,1.0,1.0,0.026374058019828728,0.7737399892714178,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,378,25,0.739046430406053,0.7337598685476654,1.0,1.0,0.026374058019828728,0.7737399892714178,False,False,False,,below_bounded_prescreen
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,378,44,0.7372129167789567,0.7347281662191598,1.0,1.0,0.037297310318593624,0.7733644690638234,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,378,215,0.7308267990378696,0.7347509234081369,1.0,1.0,0.02553925144627356,0.772440768966386,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,378,215,0.7304217530699175,0.7336244222115613,1.0,1.0,0.025853585930644685,0.7717983648997055,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,378,280,0.7236615122983012,0.7326675939732976,1.0,1.0,0.03723428412346741,0.7693966064478704,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,378,290,0.7229438087604843,0.7311761134906559,1.0,1.0,0.03449877078314789,0.7686322215714955,False,True,False,,correlation_pruned_or_cap
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,-0.7248189940577752,0.7213922513714671,1.0,1.0,0.026103213853589602,0.7646843307968711,False,True,True,8.0,selected
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,378,281,0.7227878117195627,0.7221827141791959,1.0,1.0,0.03905812690530053,0.7640986963081058,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,378,281,0.7227878117195627,0.7221827141791959,1.0,1.0,0.03905812690530053,0.7640986963081058,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,378,274,0.7229500397648291,0.7218389810332051,1.0,1.0,0.03746145163723458,0.7640332615787114,False,True,True,9.0,selected
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,378,274,0.7229500397648291,0.7218389810332051,1.0,1.0,0.03746145163723458,0.7640332615787114,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_preseason,dynamic_ratings,0.0,378,378,0.7121122824815407,0.7210511317459951,1.0,1.0,0.04716528219934912,0.7608826340960426,False,False,False,,below_bounded_prescreen
diff__norm__rating__colley__pct,within_season_normalization,0.0,378,291,0.7133529526390742,0.7122374854564602,1.0,1.0,0.007446374385118415,0.7585137876242924,False,True,True,25.0,selected
diff__rating__colley_percentile,global_strength_ratings,0.0,378,291,0.7133529526390742,0.7122374854564602,1.0,1.0,0.007446374385118415,0.7585137876242924,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,378,276,0.7149023931898603,0.7104406950751893,1.0,1.0,0.020794007302530337,0.7574582998457589,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,378,276,0.7149023931898603,0.7104406950751893,1.0,1.0,0.020794007302530337,0.7574582998457589,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q90,compact_performance,0.0,378,268,0.6953961816711555,0.7196245559406191,1.0,1.0,0.056433338262797506,0.7561496132886394,False,True,True,27.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,378,374,0.7105783509357427,0.7108040758325164,1.0,1.0,0.03567284348812705,0.7560862798659461,False,True,False,,correlation_pruned_or_cap
diff__schedule__oowp,schedule_and_accomplishment,0.0,378,378,0.709222874289389,0.707504701943511,1.0,1.0,0.028531030283750924,0.7544900480652008,False,False,False,,below_bounded_prescreen
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,378,312,0.7046407904175302,0.7076342605732084,1.0,1.0,0.04039894876463157,0.7530694610164115,False,False,False,,below_bounded_prescreen
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,378,312,0.7046407904175302,0.7076342605732084,1.0,1.0,0.04039894876463157,0.7530694610164115,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,378,287,0.7029272062373129,0.7048997012590621,1.0,1.0,0.04249098892724634,0.7512962024194688,False,False,False,,below_bounded_prescreen
diff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.7003886748408759,0.7029249814198765,1.0,1.0,0.06427127732341498,0.7489186484535967,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,378,281,0.6973024095088527,0.7029617109973145,1.0,1.0,0.053653504634487925,0.748682011185279,False,False,False,,below_bounded_prescreen
diff__norm__compact__margin_mean__z,within_season_normalization,0.0,378,378,0.7050965032566888,0.6983066114585266,1.0,1.0,0.056328326414542884,0.7480552711599826,False,False,False,,below_bounded_prescreen
diff__norm__compact__margin_trim02__z,within_season_normalization,0.0,378,378,0.7050965032566888,0.6983066114585266,1.0,1.0,0.056328326414542884,0.7480552711599826,False,False,False,,below_bounded_prescreen
diff__compact__margin_mean,compact_performance,0.0,378,375,0.7050280043908446,0.6983066100053292,1.0,1.0,0.05632832714575886,0.7480402006827135,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,378,308,0.6953459749241722,0.7000623254473207,1.0,1.0,0.029935533155145966,0.747808609371826,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,378,378,0.6873179074719975,0.7058040866191395,1.0,1.0,0.07453407977722071,0.7470145380299374,False,False,False,,below_bounded_prescreen
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,378,378,0.6873179074719975,0.7058040866191395,1.0,1.0,0.07453407977722071,0.7470145380299374,False,False,False,,below_bounded_prescreen
diff__compact__half_pointsformean_first,compact_performance,0.0,378,354,0.6945125371009097,0.6994838441272924,1.0,1.0,0.046502084533672994,0.7466849199619535,False,True,True,28.0,selected
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,378,378,0.6943100437097923,0.701582799598367,1.0,1.0,0.07984222990766843,0.7463142642270637,False,False,False,,below_bounded_prescreen
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,378,378,0.6942017594721758,0.7015828002681013,1.0,1.0,0.07984223019775216,0.7462904420046572,False,False,False,,below_bounded_prescreen
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,378,378,0.6942017594721758,0.7015828002681013,1.0,1.0,0.07984223019775216,0.7462904420046572,False,False,False,,below_bounded_prescreen
diff__detailed__clean__fourfactorcomposite_mean,detailed_efficiency,0.0,378,378,0.6934469435507158,0.6987915022608309,1.0,1.0,0.050156263539949175,0.7459719981247583,False,False,False,,below_bounded_prescreen
diff__compact__margin_winsor02,compact_performance,0.0,378,378,0.701714071303662,0.695157169549717,1.0,1.0,0.05461362502460354,0.7458679920696856,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,378,296,0.70398211637655,0.6939156343496923,1.0,1.0,0.05342699388735472,0.7458184903351991,False,False,False,,below_bounded_prescreen
diff__detailed__all__fourfactoredge_mean,detailed_efficiency,0.0,378,378,0.6954469387072694,0.6975162720725885,1.0,1.0,0.054333909787749546,0.7456327807189318,False,False,False,,below_bounded_prescreen
diff__detailed__all__fourfactorcomposite_mean,detailed_efficiency,0.0,378,378,0.6927745167269779,0.697250388072912,1.0,1.0,0.050501791124819784,0.7450705083099401,False,False,False,,below_bounded_prescreen
diff__detailed__clean__fourfactoredge_mean,detailed_efficiency,0.0,378,378,0.6950766390207402,0.6964751610071331,1.0,1.0,0.05662901394595776,0.7449597773101484,False,False,False,,below_bounded_prescreen
diff__norm__detailed__all__net_rtg_ros__z,within_season_normalization,0.0,378,378,0.6950622039629504,0.6920426318453075,1.0,1.0,0.055963040611736514,0.7428556265331272,False,False,False,,below_bounded_prescreen
diff__detailed__all__net_rtg_ros,detailed_efficiency,0.0,378,378,0.6950306114976593,0.6920426317712829,1.0,1.0,0.05596304058269497,0.7428486761563929,False,False,False,,below_bounded_prescreen
