Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,1115,1097,0.42783598398296313,0.4209789872602496,1.0,1.0,0.10607837591639285,0.5519506953245159,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1115,643,0.49492938294920175,0.5274217642751469,1.0,1.0,0.12520960679839555,0.617038526828959,False,True,True,25.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1115,643,0.49322459389563017,0.5242582404616318,1.0,1.0,0.12367836056791559,0.6152062316559052,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,1115,29,-0.4936146491296878,0.5220375117028367,1.0,1.0,0.11839548305851372,0.6144374091035524,False,True,True,32.0,selected
diff__seed__strength,selection_committee_prior,0.0,1115,29,0.4936146491296878,0.5220375117028367,1.0,1.0,0.11839548305851372,0.6144374091035524,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,1115,1000,0.4599452638172477,0.4554948236162775,1.0,1.0,0.11717583902502432,0.5751384398146068,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,1115,3,0.44426890176854106,0.45993310550389993,1.0,1.0,0.10414629137308762,0.5743411973760274,False,True,True,33.0,selected
diff__compact__margin_winsor02,compact_performance,0.0,1115,1115,0.42773954641885575,0.420059319432307,1.0,1.0,0.08705798499994899,0.5522488541396576,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,1115,1097,0.42783598398296313,0.4209789872602496,1.0,1.0,0.10607837591639285,0.5519506953245159,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp11p5,compact_performance,0.0,1115,1115,0.41627712092458785,0.41779157119685767,1.0,1.0,0.09588165668808013,0.5482856545103778,False,True,True,3.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,1115,1115,0.42028430287208096,0.41406933504580873,1.0,1.0,0.0978581508453617,0.5473015014200315,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp8p0,compact_performance,0.0,1115,1115,0.42382643259709135,0.4123684366164403,1.0,1.0,0.10426402913001126,0.547008103582051,False,True,False,,correlation_pruned_or_cap
diff__compact__pythag_exp13p91,compact_performance,0.0,1115,1115,0.407610902482799,0.40508592568091295,1.0,1.0,0.08971899230789476,0.5405268831807383,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,1115,1099,0.4199949365827833,0.401477391091249,1.0,1.0,0.15352586464858164,0.5389669991860685,False,True,True,4.0,selected
diff__compact__home_margin_mean,compact_performance,0.0,1115,1075,0.3993665320341992,0.3937584071297062,1.0,1.0,0.13505432820815444,0.5314624993414566,False,True,True,5.0,selected
diff__seed__top8,selection_committee_prior,0.0,1115,3,0.392031711203691,0.38603729190392766,1.0,1.0,0.09210413203123236,0.527860711297448,False,True,True,34.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,1115,834,0.39519172533603913,0.3812739770066258,1.0,1.0,0.12158478485564833,0.525090297142883,False,True,True,6.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,1115,380,0.3866789424488385,0.3819449981380126,1.0,1.0,0.08356218231515478,0.5250604791523843,False,True,True,7.0,selected
diff__compact__blowout_win10_rate,compact_performance,0.0,1115,829,0.37767431373751714,0.3878282236663791,1.0,1.0,0.15872629269281546,0.5228968446744031,False,True,True,8.0,selected
diff__compact__wins,compact_performance,0.0,1115,33,0.39103672910195914,0.374189201820022,1.0,1.0,0.07928384569806646,0.5224675434481189,False,True,True,9.0,selected
diff__compact__margin_median,compact_performance,0.0,1115,72,0.3666602961718796,0.3858774011521421,1.0,1.0,0.15688128522517952,0.5196111663018345,False,True,True,10.0,selected
diff__compact__margin_q75,compact_performance,0.0,1115,149,0.3926255514433878,0.3755884705141304,1.0,1.0,0.18335066950668683,0.5193260603840604,False,True,True,11.0,selected
diff__compact__margin_q90,compact_performance,0.0,1115,367,0.38477599460863493,0.3638416097160531,1.0,1.0,0.1522697650879007,0.5132039008740892,False,True,True,12.0,selected
diff__compact__downside_tail_mean,compact_performance,0.0,1115,1056,-0.35062326070537314,0.3516831065519783,1.0,1.0,0.08918358543707544,0.5023776650826487,False,True,True,13.0,selected
diff__compact__margin_slope,compact_performance,0.0,1115,1115,-0.3321600087507107,0.3600429100184219,1.0,1.0,0.11021538111916585,0.5014871834892322,False,True,True,14.0,selected
diff__compact__margin_q25,compact_performance,0.0,1115,143,0.35775519014815793,0.34735660116601375,1.0,1.0,0.13185584255903005,0.5001630766899201,False,True,True,15.0,selected
diff__compact__win_pct,compact_performance,0.0,1115,825,0.34801460841545095,0.349256236760219,1.0,1.0,0.14580086628255584,0.4983741728450021,False,True,True,16.0,selected
diff__compact__half_delta_marginmean,compact_performance,0.0,1115,1091,-0.324314927464869,0.35368338935665483,1.0,1.0,0.08650782627273557,0.497656997882556,False,True,True,17.0,selected
diff__compact__away_games,compact_performance,0.0,1115,22,-0.3384895099740538,0.33362156646749536,1.0,1.0,0.12583493270285706,0.48957264679057527,False,True,True,18.0,selected
diff__compact__ewm_h20_margin,compact_performance,0.0,1115,1115,0.34117344094034274,0.3279821464271286,1.0,1.0,0.11607169402424589,0.48784671953092723,False,True,True,19.0,selected
diff__compact__ewm_h20_win,compact_performance,0.0,1115,1115,0.3108635772237168,0.3358430033620819,1.0,1.0,0.1242554529921363,0.4846244104833315,False,True,True,20.0,selected
diff__compact__losses,compact_performance,0.0,1115,32,-0.32542802418131195,0.3260957735727257,1.0,1.0,0.1529055085098242,0.482003916294404,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q10,compact_performance,0.0,1115,317,0.32415149707800284,0.3223620919068584,1.0,1.0,0.10444318256676804,0.4818694061697819,False,True,True,21.0,selected
diff__compact__ewm_h10_margin,compact_performance,0.0,1115,1115,0.34034183328898815,0.3189435404765263,1.0,1.0,0.1982250519366709,0.4800391006748431,False,True,True,22.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,1115,991,0.29086041318926875,0.29696712967285016,1.0,1.0,0.10248584237064295,0.4624340794497815,False,True,True,23.0,selected
diff__compact__home_games,compact_performance,0.0,1115,19,0.29011872929657734,0.2867281198857116,1.0,1.0,0.11134057448238188,0.4570019950110933,False,True,True,24.0,selected
diff__compact__blowout_loss10_rate,compact_performance,0.0,1115,643,-0.30279432100629544,0.2734756841690622,1.0,1.0,0.12665932325808232,0.4528167060922116,False,True,True,38.0,selected
diff__compact__blowout_loss20_rate,compact_performance,0.0,1115,180,-0.24761256290128666,0.2756305217985859,1.0,1.0,0.07171925296997358,0.4439086441828053,False,True,True,39.0,selected
