Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,252,250,0.5006163560184486,0.5038420292914764,1.0,1.0,0.07950474996497947,0.6087995823853681,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,252,141,0.6300745873871636,0.6319231530774303,1.0,1.0,0.028380874938469636,0.7008042877048037,False,True,True,16.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,252,141,0.6297810507898058,0.6305909105448966,1.0,1.0,0.027895899671565805,0.700119632248445,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,252,24,-0.6239268426858926,0.6234150977203579,1.0,1.0,0.0096418341892468,0.6961174789290983,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,252,24,0.6239268426858926,0.6234150977203579,1.0,1.0,0.0096418341892468,0.6961174789290983,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,252,241,0.6006714898770351,0.6028728068435134,1.0,1.0,0.05500828337255326,0.679326343722932,False,True,True,2.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,252,234,0.5426990419944336,0.5665978241783185,1.0,1.0,0.05214768748652254,0.6492748373449073,False,True,True,3.0,selected
diff__seed__top8,selection_committee_prior,0.0,252,3,0.5344439158989933,0.5494979720893016,1.0,1.0,0.04811853099209262,0.6394119468609596,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q90,compact_performance,0.0,252,203,0.5429953301593542,0.5344089706867328,1.0,1.0,0.07752127079107729,0.6328744277330465,False,True,True,4.0,selected
diff__seed__top4,selection_committee_prior,0.0,252,3,0.5220067252618181,0.5377735666742778,1.0,1.0,0.0867650883699621,0.6295021880264549,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,252,249,0.5189972424634437,0.5086359392597295,1.0,1.0,0.08523208729697196,0.614915360694749,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,252,250,0.5006163560184486,0.5038420292914764,1.0,1.0,0.07950474996497947,0.6087995823853681,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,252,252,0.49785650065310594,0.5013586033608786,1.0,1.0,0.07780567825762419,0.6070683326266,False,True,False,,correlation_pruned_or_cap
diff__compact__half_winpct_first,compact_performance,0.0,252,117,0.49177292547205526,0.49027815099907196,1.0,1.0,0.03514688843503927,0.6021176805460051,False,True,True,5.0,selected
diff__compact__margin_q75,compact_performance,0.0,252,127,0.5023710573134729,0.47828107946697485,1.0,1.0,0.060930263294331655,0.5976593402213387,False,True,True,6.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,252,229,0.47979007270088764,0.4881499756141922,1.0,1.0,0.0931814313898966,0.5961385470334116,False,True,True,7.0,selected
diff__compact__home_margin_mean,compact_performance,0.05555555555555555,238,237,0.49909595868456746,0.4802314236206662,1.0,1.0,0.05353443421719428,0.5937263724353923,False,True,True,8.0,selected
diff__compact__points_for_mean,compact_performance,0.0,252,250,0.4523707369707023,0.4761946678901223,1.0,1.0,0.08334654653496065,0.5847611408594148,False,True,True,9.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,252,252,0.45576252366855774,0.4682028770957757,1.0,1.0,0.05983493883502011,0.5826117386596542,False,True,True,10.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,252,252,0.4388295522672715,0.45029440739658644,1.0,1.0,0.06352188844299161,0.5701429415114415,False,True,False,,correlation_pruned_or_cap
diff__compact__ewm_h20_margin,compact_performance,0.0,252,252,0.42068136365891645,0.4369239667783627,1.0,1.0,0.027969911946574944,0.5611546075807128,False,True,True,11.0,selected
diff__compact__pythag_exp11p5,compact_performance,0.0,252,252,0.4257272429184893,0.43685475118676537,1.0,1.0,0.06881976286350322,0.5605974834971749,False,True,False,,correlation_pruned_or_cap
