Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,646,646,0.6500375411659403,0.6343651023982643,1.0,1.0,0.08354095882251467,0.7041618698547731,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,646,487,0.6364298027169235,0.6251970262541322,1.0,1.0,0.08786937072574252,0.6965943543706768,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,646,28,-0.6251023760830843,0.6100806194550488,1.0,1.0,0.08283146113232787,0.6870479616314088,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,646,646,0.5801684650953886,0.5790295822980465,1.0,1.0,0.09068867675947434,0.6619437147536689,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,646,640,0.558191845599901,0.557419156551896,1.0,1.0,0.09613282677697277,0.6465180881058094,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,646,571,0.5487656167688093,0.5577206713649986,1.0,1.0,0.1026998076295828,0.644326365639154,True,True,True,4.0,selected
diff__rating__elo_mov_log,dynamic_ratings,0.0,646,646,0.6506761833918886,0.6563345010357544,1.0,1.0,0.0992062634604125,0.7142210703049611,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,646,646,0.6503494098272573,0.6563345038113848,1.0,1.0,0.09920626743297989,0.7141491812941421,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,646,646,0.6489616030145064,0.6552563857045786,1.0,1.0,0.10083884368775353,0.713261064053879,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,646,646,0.6486631123135103,0.655256385777789,1.0,1.0,0.10083884353995509,0.7131953961407128,False,True,True,19.0,selected
