Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1115,643,0.49492938294920175,0.5274217642751469,1.0,1.0,0.12520960679839555,0.617038526828959,False,True,True,1.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1115,643,0.49322459389563017,0.5242582404616318,1.0,1.0,0.12367836056791559,0.6152062316559052,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,1115,29,-0.4936146491296878,0.5220375117028367,1.0,1.0,0.11839548305851372,0.6144374091035524,False,True,True,8.0,selected
diff__seed__strength,selection_committee_prior,0.0,1115,29,0.4936146491296878,0.5220375117028367,1.0,1.0,0.11839548305851372,0.6144374091035524,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,1115,3,0.44426890176854106,0.45993310550389993,1.0,1.0,0.10414629137308762,0.5743411973760274,False,True,True,9.0,selected
diff__seed__top8,selection_committee_prior,0.0,1115,3,0.392031711203691,0.38603729190392766,1.0,1.0,0.09210413203123236,0.527860711297448,False,True,True,10.0,selected
diff__seed__playin,selection_committee_prior,0.0,1115,3,-0.11885098238389065,0.1341246360271594,0.8823529411764706,1.0,0.04355484146432824,0.32996131834715464,False,True,True,11.0,selected
seedprior__pooled_pair_games,prequential_seed_priors,0.051121076233183856,1058,128,-0.07359527654392359,0.10398600623049052,0.5294117647058824,1.0,0.1594566632383691,0.24034217355505036,False,True,True,2.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,1115,93,-0.06362668782623486,0.12726505232484941,0.29411764705882354,1.0,0.2331363154929797,0.21281846734739196,False,True,True,3.0,selected
absdiff__seed__number,selection_committee_prior,0.0,1115,15,-0.015358778838649669,0.08612610006149615,0.4117647058823529,1.0,0.12250706525936274,0.20570152970482306,False,True,True,12.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,1115,124,0.022539628270797626,0.08089868881250913,0.4117647058823529,1.0,0.15099750786113425,0.20363254147631096,False,True,True,4.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,1115,18,0.0011957287349725514,0.1111111111111111,0.29411764705882354,1.0,0.20409442332395153,0.19249144025148102,False,True,True,5.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,1115,313,-0.0006869957502153994,0.08972698612491732,0.29411764705882354,1.0,0.11261716406348686,0.18577422937188,False,True,True,6.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,1115,313,-0.0006869957502153994,0.08972698612491732,0.29411764705882354,1.0,0.11261716406348686,0.18577422937188,False,True,False,,correlation_pruned_or_cap
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,1115,453,-0.003152834091960895,0.1127128730567571,0.058823529411764705,1.0,0.19223570784132038,0.15651813895970434,False,True,True,7.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,1115,453,-0.0004747938701526692,0.1109382956343127,0.058823529411764705,1.0,0.19382029033875725,0.15501378964823576,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_gap_games,prequential_seed_priors,0.051121076233183856,1058,150,-0.017219134641197613,0.06401536396305271,0.058823529411764705,1.0,0.10806641230987823,0.1355150064381613,False,True,True,13.0,selected
seedprior__gap_games,prequential_seed_priors,0.0,1115,140,-0.0056697082747269156,0.04133854840276523,0.058823529411764705,1.0,0.07615278596307057,0.12745549232112677,False,True,True,14.0,selected
seedprior__history_games,prequential_seed_priors,0.0,1115,17,-0.011001919470131998,0.0,0.0,1.0,0.0,0.10242042228342904,False,True,True,15.0,selected
