Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__massey__strength_mean,massey_consensus,0.0,847,847,0.6310855319510347,0.6236612328435408,1.0,1.0,0.05274587914255424,0.696086373628425,True,True,True,6.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,847,607,0.6079266381158478,0.6095667391430409,1.0,1.0,0.09705280783143932,0.6824537828608886,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,847,29,-0.6078262973888237,0.60824023495803,1.0,1.0,0.08803144928693551,0.6821558402339182,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,847,847,0.5692232105587907,0.5643086017714117,1.0,1.0,0.11573808866334478,0.6514677116266777,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,847,837,0.5480004264703179,0.545832587152576,1.0,1.0,0.1292754954109086,0.6373887158402701,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,847,723,0.536929674606312,0.5088911512636319,1.0,1.0,0.07705543411760801,0.6193100636552276,True,True,True,4.0,selected
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,847,847,0.6267881617066533,0.6438129818983872,1.0,1.0,0.0896356781057066,0.7033381997624614,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,847,847,0.6277126654687732,0.644191549940979,1.0,1.0,0.10012562529709268,0.7033037053629163,False,True,True,19.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,847,847,0.6277037257845962,0.6441915495412414,1.0,1.0,0.100125623993642,0.7033017384926613,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,847,847,0.6266165811626087,0.6438129798037474,1.0,1.0,0.08963567581389464,0.7033004511290168,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,847,847,0.6257500707622398,0.6413950875830403,1.0,1.0,0.09562435589347873,0.7017096833718129,False,True,True,20.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,847,847,0.6257500707622398,0.6413950875830403,1.0,1.0,0.09562435589347873,0.7017096833718129,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,847,847,0.625532102406009,0.6413950859160352,1.0,1.0,0.09562435693136584,0.7016617294917643,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,847,847,0.6281442403342207,0.6381332766823331,1.0,1.0,0.07962931405526541,0.7013105331188377,False,True,True,21.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,847,847,0.6281442403342207,0.6381332766823331,1.0,1.0,0.07962931405526541,0.7013105331188377,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,847,847,0.627861247311995,0.6381332743255907,1.0,1.0,0.07962931275706953,0.7012482735746396,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,847,847,0.6409840561563743,0.6321254319314091,1.0,1.0,0.08796984127293872,0.7009179060305611,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,847,847,0.6402989122452488,0.6321254352186604,1.0,1.0,0.08796983494632937,0.7007671762010584,False,True,False,,correlation_pruned_or_cap
