Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,315,315,0.7427936477156285,0.7470945236163627,1.0,1.0,0.02774048920959804,0.7809103542649085,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,315,24,-0.735417286971496,0.7303078699997425,1.0,1.0,0.009480585699425781,0.7719603573056285,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,315,252,0.7183868955388873,0.7289867669961397,1.0,1.0,0.03751169435359214,0.7664582974025587,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,315,313,0.6957399753222553,0.6897144864207329,1.0,1.0,0.029413167444311994,0.7429492213550755,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,315,292,0.6356189704466675,0.6487265110440722,1.0,1.0,0.01181274580365077,0.7107523889672754,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,315,315,0.8384305420976734,0.8506725832098871,1.0,1.0,0.019963857217936254,0.8519790049135165,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,315,315,0.8379236643155528,0.8506725861457944,1.0,1.0,0.019963859860875677,0.8518674931049679,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,315,315,0.8121062358165438,0.8251921153873597,1.0,1.0,0.027701464243635288,0.8336475286958269,False,True,True,6.0,selected
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,315,315,0.8121062358165438,0.8251921153873597,1.0,1.0,0.027701464243635288,0.8336475286958269,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,315,315,0.8117175379239071,0.8251921163486637,1.0,1.0,0.027701457757573156,0.8335620158803152,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,315,315,0.8133529433607436,0.8224397453689702,1.0,1.0,0.021768753500207016,0.832837975176461,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,315,315,0.8133529433607436,0.8224397453689702,1.0,1.0,0.021768753500207016,0.832837975176461,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,315,315,0.8129677312953312,0.8224397481476905,1.0,1.0,0.02176875584003668,0.8327532297622627,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,315,315,0.7849076690350272,0.7738129046800619,1.0,1.0,0.046939118355812215,0.8022323166999031,False,True,True,18.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,315,315,0.7849076690350272,0.7738129046800619,1.0,1.0,0.046939118355812215,0.8022323166999031,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,315,315,0.7848019865211664,0.7738128991498131,1.0,1.0,0.04693911577096854,0.8022090639957281,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,315,315,0.7853197755332865,0.7736315234848357,1.0,1.0,0.04931555778471286,0.8021408595786557,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,315,315,0.7852211486032472,0.773631524607297,1.0,1.0,0.049315556605584177,0.8021191622399936,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,315,315,0.7709860962233432,0.7778604103211801,1.0,1.0,0.034867238526603006,0.8015952485822379,False,True,True,19.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,315,315,0.7709860962233432,0.7778604103211801,1.0,1.0,0.034867238526603006,0.8015952485822379,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,315,315,0.7708929535503343,0.7778604075412471,1.0,1.0,0.03486723974948469,0.8015747558108928,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,315,315,0.770164675197902,0.7718519955625058,1.0,1.0,0.03784816246582956,0.7984112599149081,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_z,global_strength_ratings,0.0,315,315,0.770164675197902,0.7718519955625058,1.0,1.0,0.03784816246582956,0.7984112599149081,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,315,315,0.7699972992831308,0.7718519989500355,1.0,1.0,0.03784815785304774,0.7983744390241839,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,315,315,0.7655858399611425,0.7599650863214569,1.0,1.0,0.017630519370492648,0.7925069054509309,False,True,True,20.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,315,315,0.7652076752282578,0.7599650852962263,1.0,1.0,0.01763051933337967,0.7924237087190701,False,False,False,,below_bounded_prescreen
diff__compact__half_marginmean_first,compact_performance,0.0,315,302,0.7554418009283134,0.7655802610151706,1.0,1.0,0.052155573653699494,0.7915894985453628,False,True,True,22.0,selected
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,315,315,0.7497908460435239,0.7650303410142208,1.0,1.0,0.04220183439573022,0.7904804764405721,False,True,True,7.0,selected
interaction__strength_gap_squared_signed,matchup_interactions,0.0,315,315,0.733277485023841,0.7701813919811992,1.0,1.0,0.04311753371054661,0.7892834135077987,False,False,False,,below_bounded_prescreen
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,315,315,0.7583252473518309,0.7499019640694485,1.0,1.0,0.020485784080985336,0.7859650658074987,False,False,False,,below_bounded_prescreen
diff__rating__elo_standard_z,dynamic_ratings,0.0,315,315,0.7569137600402024,0.750359411344892,1.0,1.0,0.03970606054892156,0.7851053022324358,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard,dynamic_ratings,0.0,315,315,0.7567337154605842,0.7503594025106552,1.0,1.0,0.039706056548673097,0.7850656883444962,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,315,315,0.7432213855391526,0.7470945198731718,1.0,1.0,0.02774048762676351,0.7810044548526655,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,315,315,0.7432213855391526,0.7470945198731718,1.0,1.0,0.02774048762676351,0.7810044548526655,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,315,315,0.7502370311762943,0.7401185444592439,1.0,1.0,0.03218066473239334,0.7790218216099261,False,True,True,21.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,315,315,0.7499586528668173,0.7401185466254885,1.0,1.0,0.03218065611307863,0.7789605797664111,False,False,False,,below_bounded_prescreen
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,315,43,0.7429567670384039,0.7369230065233769,1.0,1.0,0.04609162480779161,0.775329866887358,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,315,255,0.7330388544959134,0.7368156007874478,1.0,1.0,0.02169298483645743,0.7740723169736176,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,315,24,-0.735417286971496,0.7303078699997425,1.0,1.0,0.009480585699425781,0.7719603573056285,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,315,24,0.735417286971496,0.7303078699997425,1.0,1.0,0.009480585699425781,0.7719603573056285,False,False,False,,below_bounded_prescreen
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,315,315,0.7297847198856,0.7330067385545606,1.0,1.0,0.03739913726124222,0.7708999073905713,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c0p25,global_strength_ratings,0.0,315,315,0.7296883730239849,0.7330067394879397,1.0,1.0,0.03739913871768552,0.7708787114707802,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_preseason,dynamic_ratings,0.0,315,315,0.7376414909855913,0.7299352321553949,1.0,1.0,0.06802083328828179,0.7699292061198884,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,315,315,0.738386759445661,0.7292514505722553,1.0,1.0,0.06874592523215772,0.7697359463434417,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,315,180,0.7237092063021155,0.7265892147900422,1.0,1.0,0.027772013950648877,0.7668679679276597,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,315,252,0.7183868955388873,0.7289867669961397,1.0,1.0,0.03751169435359214,0.7664582974025587,False,False,False,,below_bounded_prescreen
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,315,315,-0.7290605186184427,0.7226445540323848,1.0,1.0,0.027259254385040843,0.7661723298562005,False,True,True,8.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,315,180,0.723120861022932,0.7252152412237303,1.0,1.0,0.025741162096172054,0.7661602587285887,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,315,257,0.7173676045163162,0.7271072705631352,1.0,1.0,0.035118003689167065,0.7654276427163278,False,False,False,,below_bounded_prescreen
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,315,244,0.7153783628541586,0.7220180954275146,1.0,1.0,0.015935461644573934,0.763314507167339,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,315,244,0.7153783628541586,0.7220180954275146,1.0,1.0,0.015935461644573934,0.763314507167339,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,315,240,0.716583710612064,0.7189954962880507,1.0,1.0,0.017541261486292425,0.7620646040934667,False,True,True,9.0,selected
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,315,240,0.716583710612064,0.7189954962880507,1.0,1.0,0.017541261486292425,0.7620646040934667,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_preseason,dynamic_ratings,0.0,315,315,0.7111337844251949,0.7167987163685658,1.0,1.0,0.060052099347512655,0.7581107324565539,False,False,False,,below_bounded_prescreen
diff__schedule__oowp,schedule_and_accomplishment,0.0,315,315,0.7158768666791094,0.7108150614288347,1.0,1.0,0.0193160610449693,0.7579114977134459,False,False,False,,below_bounded_prescreen
diff__norm__rating__colley__pct,within_season_normalization,0.0,315,254,0.7045578375590551,0.7120330944619712,1.0,1.0,0.009345495845138552,0.7564047897709327,False,False,False,,below_bounded_prescreen
diff__rating__colley_percentile,global_strength_ratings,0.0,315,254,0.7045578375590551,0.7120330944619712,1.0,1.0,0.009345495845138552,0.7564047897709327,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,315,312,0.7062882259240805,0.7106848816643225,1.0,1.0,0.015498278757839157,0.755892221751859,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,315,245,0.706809240911106,0.7087079943493139,1.0,1.0,0.010284016030356447,0.7552665096468997,False,False,False,,below_bounded_prescreen
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,315,245,0.706809240911106,0.7087079943493139,1.0,1.0,0.010284016030356447,0.7552665096468997,False,False,False,,below_bounded_prescreen
diff__compact__margin_q90,compact_performance,0.0,315,236,0.6874178938455152,0.7129826927170072,1.0,1.0,0.057049437806982906,0.7511816516378975,False,True,True,23.0,selected
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,315,250,0.6962612723340489,0.7031097559981201,1.0,1.0,0.02478977863884313,0.7496785716470347,False,False,False,,below_bounded_prescreen
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,315,315,0.6918686575693783,0.7107959046337027,1.0,1.0,0.09605089435991876,0.7495511031150437,False,False,False,,below_bounded_prescreen
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,315,315,0.6918686575693783,0.7107959046337027,1.0,1.0,0.09605089435991876,0.7495511031150437,False,False,False,,below_bounded_prescreen
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,315,249,0.6934202204722218,0.6997162039090143,1.0,1.0,0.04319133849451684,0.746688572840435,False,False,False,,below_bounded_prescreen
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,315,275,0.6971189621100481,0.6917367924500599,1.0,1.0,0.033319800038159375,0.7440670400387129,False,False,False,,below_bounded_prescreen
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,315,275,0.6971189621100481,0.6917367924500599,1.0,1.0,0.033319800038159375,0.7440670400387129,False,False,False,,below_bounded_prescreen
diff__norm__compact__margin_mean__z,within_season_normalization,0.0,315,315,0.6959629588903882,0.6897144905609293,1.0,1.0,0.029413169117422866,0.7429982796604345,False,False,False,,below_bounded_prescreen
diff__norm__compact__margin_trim02__z,within_season_normalization,0.0,315,315,0.6959629588903882,0.6897144905609293,1.0,1.0,0.029413169117422866,0.7429982796604345,False,False,False,,below_bounded_prescreen
