Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,189,189,0.5664578817914266,0.5725388128718618,1.0,1.0,0.05189578511858317,0.6573635327678642,True,True,True,4.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,189,154,0.5460420210246277,0.5638879057101213,1.0,1.0,0.014555240803031833,0.650213229734155,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,189,188,0.5285176392698799,0.5259919881297572,1.0,1.0,0.04860924618138773,0.6268056650944015,True,True,True,2.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,189,179,0.5196238291658772,0.5140443306509174,1.0,1.0,0.04329632263722494,0.6193266682234443,True,True,True,3.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,189,189,0.6615126096001436,0.6803298004230892,1.0,1.0,0.03808493928578527,0.730567680743683,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,189,189,0.6614177794314287,0.6803297988021161,1.0,1.0,0.03808494133945162,0.7305468172463518,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,189,189,0.6359731071591677,0.6494390540963779,1.0,1.0,0.048244713685434704,0.7097150409938608,False,False,False,,below_bounded_prescreen
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,189,189,0.6355840438167443,0.6494390547633143,1.0,1.0,0.04824471408407005,0.7096294473627118,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,189,189,0.6355840438167443,0.6494390547633143,1.0,1.0,0.04824471408407005,0.7096294473627118,False,False,False,,below_bounded_prescreen
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,189,189,0.6326590291116653,0.6501633656058705,1.0,1.0,0.04348504023717892,0.709524000285897,False,True,True,5.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,189,189,0.6322855468853708,0.6501633688959862,1.0,1.0,0.04348504114874996,0.709441835738905,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,189,189,0.6322855468853708,0.6501633688959862,1.0,1.0,0.04348504114874996,0.709441835738905,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,189,104,0.6460846601272813,0.6335518351288077,1.0,1.0,0.03274214857461022,0.7049338201468451,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,189,104,0.6455368866660561,0.6320800538465287,1.0,1.0,0.03334979543094052,0.7040825490956285,False,False,False,,below_bounded_prescreen
diff__seed__number,selection_committee_prior,0.0,189,24,-0.6263040501225894,0.6252292154448843,1.0,1.0,0.01384131520491394,0.6973432618323177,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,189,24,0.6263040501225894,0.6252292154448843,1.0,1.0,0.01384131520491394,0.6973432618323177,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log,dynamic_ratings,0.0,189,189,0.6162492712544769,0.6254024332033387,1.0,1.0,0.04577865521265945,0.6939368614050812,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,189,189,0.6160738385989458,0.6254024379063391,1.0,1.0,0.0457786551733832,0.6938982684798755,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538,dynamic_ratings,0.0,189,189,0.6156946600870982,0.6248205123435232,1.0,1.0,0.044478029543710385,0.6935875499623043,False,False,False,,below_bounded_prescreen
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,189,189,0.6154984245159595,0.6248205131106993,1.0,1.0,0.04447802962454028,0.6935443785016652,False,True,True,12.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,189,189,0.6154984245159595,0.6248205131106993,1.0,1.0,0.04447802962454028,0.6935443785016652,False,False,False,,below_bounded_prescreen
diff__compact__half_marginmean_first,compact_performance,0.0,189,182,0.6058645845061347,0.6261243161561365,1.0,1.0,0.04026203880723722,0.6922193987940056,False,True,False,,correlation_pruned_or_cap
