Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,780,595,0.4676706967916405,0.48031974557089885,1.0,1.0,0.052350194995030686,0.5913470233683912,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,780,570,0.4581930825144817,0.47276656538188455,1.0,1.0,0.046753242690356245,0.5858602998288763,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,780,780,0.45580910027872934,0.4476471956621365,1.0,1.0,0.11225723349001127,0.5706583666395455,True,True,True,4.0,selected
diff__compact__margin_trim02,compact_performance,0.0,780,772,0.43677362607295467,0.4233170073860592,1.0,1.0,0.11841491769858653,0.554545764573415,True,True,True,2.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,780,678,0.4141617693846098,0.3943199579425236,1.0,1.0,0.093716829307249,0.5366404959047355,True,True,True,3.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,780,780,0.5033306574100577,0.5061535542869825,1.0,1.0,0.08690882483888257,0.6102100976944089,False,True,True,51.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,780,780,0.5033141231283843,0.5061535546317985,1.0,1.0,0.0869088247414811,0.6102064603218486,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,780,780,0.4954145036294836,0.4916150245195436,1.0,1.0,0.08293417782604562,0.6016490354548254,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,780,780,0.4954145036294836,0.4916150245195436,1.0,1.0,0.08293417782604562,0.6016490354548254,False,True,True,6.0,selected
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,780,780,0.49494953668036595,0.49161502676801244,1.0,1.0,0.08293417831174954,0.6015467437858565,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,780,780,0.4893951464622306,0.49029835430652835,1.0,1.0,0.07193613343617267,0.6001326969513774,False,True,True,7.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,780,780,0.4883721825829539,0.4902983527979573,1.0,1.0,0.0719361317900542,0.5999076442396671,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,780,29,-0.49513162520483583,0.48866559097884016,1.0,1.0,0.10396810689969038,0.5993297169389196,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,780,29,0.49513162520483583,0.48866559097884016,1.0,1.0,0.10396810689969038,0.5993297169389196,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,780,452,0.4964744153172158,0.4901805241867385,1.0,1.0,0.13080765323109161,0.5992787168501783,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,780,452,0.49496632602423374,0.49016019957693957,1.0,1.0,0.12927191898235563,0.5989986107629682,False,False,False,,below_bounded_prescreen
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,780,780,0.4921138562049421,0.48766490574430865,1.0,1.0,0.08461645781091431,0.5989595448099188,False,True,False,,correlation_pruned_or_cap
