Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
matchup__seed_diff,matchup_context,0.0,1225,29,-0.5379756262612206,0.5423247031035874,1.0,1.0,0.16568737375827525,0.6320430003168594,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1225,1225,0.47808801320813293,0.49438928076267047,1.0,1.0,0.13097426300797654,0.597247247151552,True,True,True,5.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1225,838,0.47911047042392646,0.48745253499659613,1.0,1.0,0.07700512970440632,0.5963013151034537,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1225,1203,0.45408036628725973,0.4722482304353682,1.0,1.0,0.13601674850727724,0.5811361612518827,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1225,1037,0.45298714513336064,0.45576520109696245,1.0,1.0,0.13499047960992216,0.5730248492714844,True,True,True,4.0,selected
context__women,matchup_context,0.0,1225,2,0.055981738713713015,0.0,0.0,1.0,0.0,0.11231598251701687,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1225,1225,0.5553473352667629,0.5497039981912916,1.0,1.0,0.12005028061884981,0.6412323216657538,False,True,True,61.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1225,1225,0.5487722044134669,0.5497040001042997,1.0,1.0,0.12005028519566541,0.6397857936131999,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1225,704,0.5451695602579438,0.55440379125372,1.0,1.0,0.17905305145853412,0.6388890010001919,False,True,True,67.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1225,704,0.5439615312659009,0.5520420269480673,1.0,1.0,0.18080713371276225,0.63741942446506,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,1225,29,-0.5379756262612206,0.5423247031035874,1.0,1.0,0.16568737375827525,0.6320430003168594,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,1225,29,0.5379756262612206,0.5423247031035874,1.0,1.0,0.16568737375827525,0.6320430003168594,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1225,1225,0.5370823416548651,0.5354889658307569,1.0,1.0,0.13486027787580335,0.6297984076478015,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1225,1225,0.5370823416548651,0.5354889658307569,1.0,1.0,0.13486027787580335,0.6297984076478015,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1225,1225,0.5374203270880493,0.5314743596619689,1.0,1.0,0.13362187792935176,0.6279952894799419,False,True,True,13.0,selected
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1225,1225,0.5374203270880493,0.5314743596619689,1.0,1.0,0.13362187792935176,0.6279952894799419,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1225,1225,0.5282272415613735,0.5354889665724771,1.0,1.0,0.13486027540318168,0.6278502860821639,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1225,1225,0.529752286077316,0.5314743544901915,1.0,1.0,0.13362187725643704,0.6263083180020439,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,1225,44,0.5161624282830004,0.5375014606968486,1.0,1.0,0.1377766872975515,0.6260453678648453,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1225,1225,0.5284565520675104,0.5318851991647321,1.0,1.0,0.13937729909022112,0.6259902450903149,False,True,True,28.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1225,1225,0.5284565520675104,0.5318851991647321,1.0,1.0,0.13937729909022112,0.6259902450903149,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1225,1225,0.5269225612887052,0.5318851989053491,1.0,1.0,0.13937729626130324,0.6256527671076306,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1225,1225,0.5293597576864244,0.5302036928078614,1.0,1.0,0.13781067473512082,0.625444492249382,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,1225,1225,0.5277100604709835,0.530203693807413,1.0,1.0,0.13781067271647918,0.6250815594225154,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,1225,1225,0.5278430370486565,0.5217498121693354,1.0,1.0,0.12948157173209507,0.6213861151227016,False,True,True,29.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,1225,1225,0.5278430370486565,0.5217498121693354,1.0,1.0,0.12948157173209507,0.6213861151227016,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,1225,1225,0.5277416953418481,0.5217498120773104,1.0,1.0,0.1294815691843063,0.6213638200049434,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1225,1225,0.5307526782782908,0.516916785130249,1.0,1.0,0.10518086509208469,0.62067841148006,False,True,True,30.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1225,1225,0.53003207601916,0.5169167827030455,1.0,1.0,0.10518086821093309,0.6205198776932397,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1225,1225,0.523841478430506,0.5150377810337421,1.0,1.0,0.12772297189452064,0.6173543412751267,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1225,1225,0.5185143306976854,0.516663180699118,1.0,1.0,0.13685575036701275,0.6165972494743869,False,True,True,31.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,1225,1225,0.5185143306976854,0.516663180699118,1.0,1.0,0.13685575036701275,0.6165972494743869,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,1225,1225,0.5172630742675322,0.5166631810620019,1.0,1.0,0.1368557498474549,0.6163219732547197,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1225,1225,0.5109802304917967,0.5075174285967676,1.0,1.0,0.09265048153117489,0.6123179971733967,False,True,True,32.0,selected
diff__schedule__rpi,schedule_and_accomplishment,0.0,1225,1225,0.510401479928638,0.5075174296786406,1.0,1.0,0.09265048621611399,0.6121906723814032,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,1225,1106,0.5069620725767002,0.5105525542487425,1.0,1.0,0.1251595708032457,0.6115904991741405,False,True,True,38.0,selected
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,1225,879,0.48840671731105123,0.5089457320097485,1.0,1.0,0.07144093793649481,0.6088857916556507,False,True,True,62.0,selected
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,1225,1225,0.48595676394996523,0.5126175180473608,1.0,1.0,0.15817885575190016,0.6066397425016494,False,True,True,63.0,selected
diff__rating__bt_c0p25,global_strength_ratings,0.0,1225,1225,0.48543012888175163,0.5126175145082814,1.0,1.0,0.15817885764272854,0.6065238810122512,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard_z,dynamic_ratings,0.0,1225,1225,0.5020119532986476,0.4988186997014203,1.0,1.0,0.1559009398243908,0.6036395679894085,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,1225,916,0.47843553865275923,0.5055096163832093,1.0,1.0,0.10666154890234164,0.6036339724114538,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_standard,dynamic_ratings,0.0,1225,1225,0.5009960612670111,0.4988187013339618,1.0,1.0,0.15590093511147174,0.6034160727145852,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__pct,within_season_normalization,0.0,1225,845,0.4817436476699697,0.49341515333698777,1.0,1.0,0.06945281757765376,0.6000447633860413,False,True,True,33.0,selected
diff__rating__colley_percentile,global_strength_ratings,0.0,1225,845,0.4817436476699697,0.49341515333698777,1.0,1.0,0.06945281757765376,0.6000447633860413,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1225,855,0.48096517369727704,0.49258683152054444,1.0,1.0,0.07218608095430601,0.59936657410509,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,1225,1225,0.48749998832643765,0.49438928342843336,1.0,1.0,0.13097426541912444,0.5993178828606993,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,1225,1225,0.48749998832643765,0.49438928342843336,1.0,1.0,0.13097426541912444,0.5993178828606993,False,True,False,,correlation_pruned_or_cap
matchup__team1_seed,matchup_context,0.0,1225,16,-0.47921848871718575,0.495839556277986,1.0,1.0,0.1408573828250726,0.5977967592182113,False,True,True,7.0,selected
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1225,857,0.4762915207724506,0.48900403094468914,1.0,1.0,0.050453757758029294,0.5974879191130688,False,True,True,34.0,selected
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,1225,841,0.4772657709872907,0.48989783960010236,1.0,1.0,0.08260442018177172,0.5968452558179822,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,1225,841,0.4772657709872907,0.48989783960010236,1.0,1.0,0.08260442018177172,0.5968452558179822,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1225,838,0.47911047042392646,0.48745253499659613,1.0,1.0,0.07700512970440632,0.5963013151034537,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,1225,938,0.480438108970958,0.4887059924418194,1.0,1.0,0.10635050061088736,0.5960212403212485,False,True,True,35.0,selected
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,1225,938,0.480438108970958,0.4887059924418194,1.0,1.0,0.10635050061088736,0.5960212403212485,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,1225,842,0.4746897164754539,0.48277303661650994,1.0,1.0,0.08616950365269271,0.592716015054417,False,True,True,14.0,selected
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,1225,842,0.4746897164754539,0.48277303661650994,1.0,1.0,0.08616950365269271,0.592716015054417,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,1225,1225,0.4729698715302638,0.4853733619487982,1.0,1.0,0.13685470619055878,0.5915583972244588,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,1225,1225,0.47110762992854,0.48537336219619726,1.0,1.0,0.13685470376631964,0.5911487042878006,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,1225,1225,0.47110762992854,0.48537336219619726,1.0,1.0,0.13685470376631964,0.5911487042878006,False,True,False,,correlation_pruned_or_cap
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,1225,1225,0.46625729260944543,0.48522374636020593,1.0,1.0,0.12128226837942968,0.5906327118917996,False,True,True,64.0,selected
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,1225,1224,-0.45518641741159627,0.48178456824682075,1.0,1.0,0.08054747571430443,0.588175705560453,False,True,False,,correlation_pruned_or_cap
diff__conference__strength_max,conference_context,0.0,1225,1051,0.4380835606531258,0.4907600631948379,1.0,1.0,0.12527248909537214,0.586932314113395,False,False,False,,below_bounded_prescreen
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,1225,849,0.4713498183475138,0.47163162840677203,1.0,1.0,0.08268684308730573,0.5867726679482114,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,1225,849,0.4713498183475138,0.47163162840677203,1.0,1.0,0.08268684308730573,0.5867726679482114,False,True,False,,correlation_pruned_or_cap
diff__compact__upside_tail_mean,compact_performance,0.0,1225,1204,0.4508744482336941,0.4845246986167994,1.0,1.0,0.14233553862794418,0.5860708124023587,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1225,867,0.47659068559411205,0.4650498515167104,1.0,1.0,0.08642931222653344,0.5846167070696643,False,True,True,36.0,selected
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,1225,1225,0.46798610053695167,0.47030980554689683,1.0,1.0,0.13693546529358774,0.5832282301688962,False,True,True,37.0,selected
