Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1095,773,0.6377075127485418,0.6856650009607617,1.0,1.0,0.09749669670202343,0.7255149853977638,True,True,True,2.0,selected
matchup__seed_diff,matchup_context,0.0,1095,29,-0.6415245043418716,0.6516552331748756,1.0,1.0,0.15421578260047208,0.7077612715751331,True,True,True,1.0,selected
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1095,1095,0.6515412668779528,0.6020920670257182,1.0,1.0,0.18068634293553487,0.6851158171680729,True,True,True,5.0,selected
diff__compact__margin_trim02,compact_performance,0.0,1095,1078,0.6166667479562903,0.5881693334690672,1.0,1.0,0.18572121153957705,0.670559116153953,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1095,947,0.5694758487214889,0.5752419611826878,1.0,1.0,0.1430097673958035,0.6556804373905855,True,True,True,4.0,selected
context__women,matchup_context,0.0,1095,2,0.06805490479656834,0.0,0.0,1.0,0.0,0.11497207905524504,True,True,True,6.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1095,1095,0.7348646483300173,0.6686455924617809,1.0,1.0,0.18765440996947358,0.7351139306154797,False,True,True,61.0,selected
diff__rating__elo_mov_log,dynamic_ratings,0.0,1095,1095,0.6973843652704127,0.6780146536047874,1.0,1.0,0.1592737673291601,0.7325006433966224,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1095,1095,0.7223508707668075,0.6686455973008096,1.0,1.0,0.18765440813057033,0.7323609019478635,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_538,dynamic_ratings,0.0,1095,1095,0.6962847061606746,0.6756910101210477,1.0,1.0,0.15847973257072423,0.7311751309106224,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1095,1095,0.6898429446004319,0.6780146508279964,1.0,1.0,0.15927377035083745,0.7308415293954998,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1095,1095,0.6885683165091246,0.6756910144599718,1.0,1.0,0.15847973185816655,0.7294775272984673,False,True,True,7.0,selected
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1095,1095,0.6885683165091246,0.6756910144599718,1.0,1.0,0.15847973185816655,0.7294775272984673,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1095,1095,0.6833183019182458,0.6762249918808759,1.0,1.0,0.16866611924391517,0.7281713777550779,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1095,782,0.639037002989035,0.6903493985030211,1.0,1.0,0.09918465786989139,0.7279884656242422,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1095,1095,0.6798576082574246,0.6762249921462424,1.0,1.0,0.1686661139278799,0.7274100254897146,False,True,True,8.0,selected
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1095,773,0.6377075127485418,0.6856650009607617,1.0,1.0,0.09749669670202343,0.7255149853977638,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,1095,1095,0.6849108644709612,0.6679075210200909,1.0,1.0,0.15944561481830222,0.724898175680523,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1095,1095,0.7126142930595026,0.655411704454024,1.0,1.0,0.1815163541896384,0.7241121084434364,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,1095,1095,0.6812060923892617,0.6679075197843894,1.0,1.0,0.15944561500043297,0.7240831252221271,False,True,True,9.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,1095,1095,0.6812060923892617,0.6679075197843894,1.0,1.0,0.15944561500043297,0.7240831252221271,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1095,1095,0.676225688408666,0.6702340772588384,1.0,1.0,0.16700614635332856,0.7238017626800158,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1095,1095,0.7138836837171245,0.6532578901395456,1.0,1.0,0.1730095325548846,0.7236978163825538,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1095,1095,0.7021693347775848,0.655411704445874,1.0,1.0,0.18151635789164478,0.7218142174694224,False,True,True,10.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1095,1095,0.7021693347775848,0.655411704445874,1.0,1.0,0.18151635789164478,0.7218142174694224,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1095,1095,0.7051342591648703,0.6532578882289805,1.0,1.0,0.17300953034198985,0.7217729421525025,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1095,1095,0.7051342591648703,0.6532578882289805,1.0,1.0,0.17300953034198985,0.7217729421525025,False,True,False,,correlation_pruned_or_cap
diff__schedule__rpi,schedule_and_accomplishment,0.0,1095,1095,0.6638467745178548,0.6620121048695495,1.0,1.0,0.1420498527998464,0.718130106619318,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1095,1095,0.6600720211464175,0.6620121005547319,1.0,1.0,0.14204985179794294,0.7172996588465654,False,True,True,11.0,selected
