Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,315,292,0.5331858922826456,0.554639237406132,1.0,1.0,0.05512248486720761,0.6413228308624371,True,True,True,3.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,315,252,0.5329763784575418,0.5352646163318067,1.0,1.0,0.0363636303823337,0.632727273884633,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,315,313,0.5079023744281025,0.5259919881297572,1.0,1.0,0.04777392365363159,0.6223037197303207,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,315,248,0.4608214004048235,0.4509173764767699,1.0,1.0,0.02753803953044187,0.5767195272166931,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,315,315,0.6471903632998107,0.647401309170695,1.0,1.0,0.057192956767855296,0.7108467900571778,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,315,315,0.6469964936310881,0.6474013106558258,1.0,1.0,0.05719296074916913,0.710804139283669,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,315,180,0.6313144564045562,0.630294471026053,1.0,1.0,0.008894135389478142,0.7010747610859287,False,False,False,,below_bounded_prescreen
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,315,180,0.6314242969773116,0.6291017672432645,1.0,1.0,0.005801807650912982,0.700650121305739,False,False,False,,below_bounded_prescreen
diff__seed__number,selection_committee_prior,0.0,315,24,-0.6239643588851055,0.6216009799958313,1.0,1.0,0.00628687870793565,0.6953891542044047,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,315,24,0.6239643588851055,0.6216009799958313,1.0,1.0,0.00628687870793565,0.6953891542044047,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,315,315,0.6163066830411741,0.6161086709805712,1.0,1.0,0.062005296821732614,0.6888394204668632,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,315,315,0.6159240107771446,0.6161086703959175,1.0,1.0,0.06200529866615223,0.6887552322143662,False,True,True,5.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,315,315,0.6159240107771446,0.6161086703959175,1.0,1.0,0.06200529866615223,0.6887552322143662,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,315,315,0.6127999645747854,0.61165803774357,1.0,1.0,0.06110493967253772,0.6859676527364649,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,315,315,0.59314062631864,0.6117513219352081,1.0,1.0,0.04891868419600143,0.6821748249511607,False,True,True,6.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,315,315,0.59314062631864,0.6117513219352081,1.0,1.0,0.04891868419600143,0.6821748249511607,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,315,315,0.5928671857405877,0.611751321407969,1.0,1.0,0.048918680253518754,0.6821146679286136,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,315,43,0.6074203401272141,0.5996501150746653,1.0,1.0,0.011409578406668675,0.6810081469275597,False,False,False,,below_bounded_prescreen
diff__norm__rating__colley__z,within_season_normalization,0.0,315,315,0.5986209883648063,0.6026558424935715,1.0,1.0,0.043760792816562755,0.6792209901245092,False,True,False,,correlation_pruned_or_cap
diff__rating__colley_z,global_strength_ratings,0.0,315,315,0.5986209883648063,0.6026558424935715,1.0,1.0,0.043760792816562755,0.6792209901245092,False,True,False,,correlation_pruned_or_cap
