Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,630,625,0.49942757980697217,0.5153903337663535,1.0,1.0,0.03903471233805722,0.6157000392718612,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,630,345,0.6415354494190565,0.6404001046997327,1.0,1.0,0.05901686323154298,0.7061691745988025,False,True,True,21.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,630,345,0.6413401341188462,0.6391593944422118,1.0,1.0,0.057905310822549017,0.7055751264055059,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,630,25,-0.624501254233309,0.6234150977203579,1.0,1.0,0.03143322469071008,0.6953721938494714,False,True,True,27.0,selected
diff__seed__strength,selection_committee_prior,0.0,630,25,0.624501254233309,0.6234150977203579,1.0,1.0,0.03143322469071008,0.6953721938494714,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,630,583,0.5737214433448717,0.5756024505389588,1.0,1.0,0.04827659976645149,0.660576829803914,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,630,3,0.5500737577171488,0.5876281223065678,1.0,1.0,0.07233298480493944,0.6601844060127277,False,True,True,28.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,630,572,0.5219425834017797,0.5393569969370032,1.0,1.0,0.10430755641110329,0.6295464246217088,False,True,True,3.0,selected
diff__compact__margin_q90,compact_performance,0.0,630,368,0.5150285071255472,0.5155462080889643,1.0,1.0,0.06817168889752645,0.6180415838944222,False,True,True,4.0,selected
diff__compact__margin_mean,compact_performance,0.0,630,625,0.49942757980697217,0.5153903337663535,1.0,1.0,0.03903471233805722,0.6157000392718612,False,True,False,,correlation_pruned_or_cap
diff__seed__top8,selection_committee_prior,0.0,630,3,0.5065908116314846,0.5127845320829056,1.0,1.0,0.057884301126296445,0.6152711819136695,False,True,True,29.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,630,620,0.505098576591118,0.5112284767037953,1.0,1.0,0.04336064666208872,0.6147769298013842,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,630,630,0.49697396890400025,0.5090668041961844,1.0,1.0,0.034642361550806244,0.6123006447110163,False,True,False,,correlation_pruned_or_cap
diff__compact__home_margin_mean,compact_performance,0.022222222222222223,616,608,0.5058104556361674,0.4955695394389167,1.0,1.0,0.0914223678954405,0.6037170066770414,False,True,True,5.0,selected
diff__compact__margin_q75,compact_performance,0.0,630,195,0.488456013660916,0.4898025003957612,1.0,1.0,0.03186909459705789,0.6012907594114845,False,True,True,6.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,630,224,0.4799784747915326,0.48148083313107304,1.0,1.0,0.06402709572962623,0.5941449805278671,False,True,True,7.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,630,507,0.47494037544759593,0.48149498736426,1.0,1.0,0.048430832418724756,0.5936672432365669,False,True,True,8.0,selected
diff__compact__points_for_mean,compact_performance,0.0,630,622,0.4531847080179666,0.4763626798967866,1.0,1.0,0.08248756701881016,0.5850552194336578,False,True,True,9.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,630,630,0.46274785661702444,0.4673143312482493,1.0,1.0,0.030098536427788092,0.5849114659977934,False,True,True,10.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,630,630,0.4471280223418605,0.45013222830775523,1.0,1.0,0.0329473026213169,0.5731137423980791,False,True,False,,correlation_pruned_or_cap
diff__compact__ewm_h20_margin,compact_performance,0.0,630,630,0.4504071434704308,0.4458706733417738,1.0,1.0,0.0646842312591126,0.5705201255171817,False,True,True,11.0,selected
diff__compact__margin_median,compact_performance,0.0,630,104,0.4330067500340991,0.44349431089870334,1.0,1.0,0.05202953634003066,0.5660575727852781,False,True,True,12.0,selected
diff__compact__pythag_exp11p5,compact_performance,0.0,630,630,0.4348152521506659,0.4381868303771942,1.0,1.0,0.03701353031457838,0.5645084928416165,False,True,False,,correlation_pruned_or_cap
diff__compact__blowout_win10_rate,compact_performance,0.0,630,492,0.422836127280473,0.43141328646183863,1.0,1.0,0.07877726670618734,0.5569512348351391,False,True,True,13.0,selected
diff__compact__rest_days_mean,compact_performance,0.0,630,436,-0.4209100337278046,0.4297892025570472,1.0,1.0,0.05110245619906456,0.556854926399537,False,True,True,14.0,selected
diff__compact__margin_q25,compact_performance,0.0,630,194,0.40490396067818907,0.4324800340284801,1.0,1.0,0.06766389524861094,0.5539627318729277,False,True,True,15.0,selected
diff__compact__wins,compact_performance,0.0,630,34,0.4082820112426542,0.42718892534860525,1.0,1.0,0.05784298772465141,0.5525590071317283,False,True,True,16.0,selected
diff__compact__ewm_h10_margin,compact_performance,0.0,630,630,0.41574497781063846,0.4215514571680889,1.0,1.0,0.06114588542972588,0.5513627591418341,False,True,True,17.0,selected
diff__compact__ewm_h20_points_for,compact_performance,0.0,630,630,0.42186662994618657,0.41740551458327224,1.0,1.0,0.06163882655529207,0.5506997525259201,False,True,True,18.0,selected
diff__compact__pythag_exp13p91,compact_performance,0.0,630,630,0.41480281787617423,0.41822999013015716,1.0,1.0,0.04407475355410151,0.5502440250530697,False,True,True,19.0,selected
diff__compact__margin_q10,compact_performance,0.0,630,340,0.3931024499459927,0.4116354878944577,1.0,1.0,0.04448778341423226,0.5422880618408887,False,True,True,20.0,selected
