Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,713,412,0.5047508836422254,0.5300781721385593,1.0,1.0,0.11912300934631959,0.6207177966539453,False,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,713,412,0.5064849839995154,0.5280136706969388,1.0,1.0,0.12102797879264016,0.6200321392627184,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,713,28,-0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,False,True,True,8.0,selected
diff__seed__strength,selection_committee_prior,0.0,713,28,0.5052461177529607,0.5220375117028367,1.0,1.0,0.09748029926078056,0.6178329395525818,False,True,False,,correlation_pruned_or_cap
diff__seed__top4,selection_committee_prior,0.0,713,3,0.45931688797598613,0.4609928606081862,1.0,1.0,0.0655530966269306,0.579704164581569,False,True,True,9.0,selected
diff__seed__top8,selection_committee_prior,0.0,713,3,0.40133032714649075,0.38603729190392766,1.0,1.0,0.06787858425662768,0.5308754287158481,False,True,True,10.0,selected
diff__seed__playin,selection_committee_prior,0.0,713,3,-0.09546979578739749,0.12998877418150556,0.8181818181818182,1.0,0.022522137456594066,0.3134061720911772,False,True,True,11.0,selected
seedprior__favorite_seed_games,prequential_seed_priors,0.0,713,83,0.04357836210898986,0.08089868881250913,0.6363636363636364,1.0,0.07574621147557198,0.2472069436531411,False,True,True,2.0,selected
seedprior__effective_games_pc2p0,prequential_seed_priors,0.0,713,218,0.04234995714215606,0.09677765108361146,0.45454545454545453,1.0,0.10144781509418369,0.22443962321491323,False,True,True,3.0,selected
seedprior__effective_games_pc8p0,prequential_seed_priors,0.0,713,218,0.04234995714215606,0.09677765108361146,0.45454545454545453,1.0,0.10144781509418369,0.22443962321491323,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_pair_games,prequential_seed_priors,0.03927068723702665,685,96,-0.04758851272592729,0.10398600623049052,0.45454545454545453,1.0,0.1680127578331445,0.22324786322532425,False,True,True,4.0,selected
seedprior__exact_pair_games,prequential_seed_priors,0.0,713,75,-0.03877259098178326,0.12597018626257953,0.2727272727272727,1.0,0.2068444709274715,0.20435824422129525,False,True,True,5.0,selected
absdiff__seed__number,selection_committee_prior,0.0,713,15,-0.014168949872183138,0.06496710027988009,0.45454545454545453,1.0,0.08454200004042275,0.20364696983187855,False,True,True,12.0,selected
seedprior__generic_gender_games,prequential_seed_priors,0.0,713,12,0.029812185753001985,0.1111111111111111,0.2727272727272727,1.0,0.17972885009282485,0.1963392238316444,False,True,True,6.0,selected
seedprior__favorite_prob_pc2p0,prequential_seed_priors,0.0,713,295,0.002847513071352065,0.08288199470444453,0.09090909090909091,1.0,0.1582188103560237,0.14862651246504444,False,True,True,7.0,selected
seedprior__favorite_prob_pc8p0,prequential_seed_priors,0.0,713,295,-0.00015151588973030738,0.07952283478456328,0.09090909090909091,1.0,0.15357800889127443,0.1466066283821346,False,True,False,,correlation_pruned_or_cap
seedprior__pooled_gap_games,prequential_seed_priors,0.03927068723702665,685,99,0.02224186778863139,0.054344191179768936,0.09090909090909091,1.0,0.08871674439318254,0.13883355247055312,False,True,True,13.0,selected
seedprior__gap_games,prequential_seed_priors,0.0,713,96,0.032597115654689916,0.039127042125970915,0.09090909090909091,1.0,0.11162155526372884,0.13603293799940322,False,True,True,14.0,selected
seedprior__history_games,prequential_seed_priors,0.0,713,11,0.016324312222449386,0.0,0.0,1.0,0.0,0.10359134868893886,False,True,True,15.0,selected
