Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,0.7502808929010151,0.7615528535037343,1.0,1.0,0.03315976707818069,0.7892807754368886,True,True,True,5.0,selected
matchup__seed_diff,matchup_context,0.0,441,25,-0.7422651918165928,0.7372118670955883,1.0,1.0,0.03403467643776259,0.7757986513480223,True,True,True,1.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,441,306,0.7317347060590323,0.7363484209504556,1.0,1.0,0.03931251612243625,0.7728563767443084,True,True,True,2.0,selected
diff__compact__margin_trim02,compact_performance,0.0,441,437,0.706723369369834,0.7068987335899257,1.0,1.0,0.05387107508466382,0.7526356903811413,True,True,True,3.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,441,374,0.6358480855305323,0.6487265110440722,1.0,1.0,0.030875166660439435,0.7100402974514541,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,441,441,0.8434731403641887,0.8523318600333875,1.0,1.0,0.013550032573739657,0.8541413823931979,False,True,True,49.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,441,441,0.8432498658448123,0.8523318619526709,1.0,1.0,0.013550031235001647,0.8540922629737406,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,441,441,0.8189686852605277,0.8299802185369265,1.0,1.0,0.01947716117775733,0.8377845292079305,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,441,441,0.818723320020172,0.829980219020164,1.0,1.0,0.019477159955276435,0.8377305491359055,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,441,441,0.818723320020172,0.829980219020164,1.0,1.0,0.019477159955276435,0.8377305491359055,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,0.8176426092382993,0.8291154443721753,1.0,1.0,0.019129991725605033,0.8370915876620458,False,True,True,6.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,441,441,0.8173283606611347,0.8291154438352227,1.0,1.0,0.019129996537989635,0.837022452524837,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,441,441,0.8173283606611347,0.8291154438352227,1.0,1.0,0.019129996537989635,0.837022452524837,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,441,441,0.7968730037263613,0.8193566389168597,1.0,1.0,0.04824669656391967,0.8266733796373353,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,441,441,0.7967270217777586,0.819356635891129,1.0,1.0,0.048246698294496126,0.8266412620870689,False,True,False,,correlation_pruned_or_cap
